------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Mississippi",28000,2.3,68894,"49 of 51"
"United States",00000,13.4,43028127,"N/A"
"Kemper County",28069,0.0,0,"3128 of 3140"
"Wilkinson County",28157,0.0,0,"3128 of 3140"
"Lawrence County",28077,0.1,8,"3125 of 3140"
"Jefferson Davis County",28065,0.1,10,"3121 of 3140"
"Smith County",28129,0.1,20,"3115 of 3140"
"Holmes County",28051,0.2,28,"3107 of 3140"
"Jasper County",28061,0.2,31,"3101 of 3140"
"Choctaw County",28019,0.3,21,"3090 of 3140"
"Wayne County",28153,0.3,53,"3086 of 3140"
"Perry County",28111,0.3,32,"3085 of 3140"
"Grenada County",28043,0.3,57,"3084 of 3140"
"Issaquena County",28055,0.3,4,"3068 of 3140"
"Clarke County",28023,0.3,56,"3054 of 3140"
"Yalobusha County",28161,0.4,44,"3053 of 3140"
"Coahoma County",28027,0.4,92,"3045 of 3140"
"Simpson County",28127,0.4,118,"3027 of 3140"
"Amite County",28005,0.4,56,"3021 of 3140"
"Webster County",28155,0.5,45,"3013 of 3140"
"Franklin County",28037,0.5,36,"3009 of 3140"
"Winston County",28159,0.5,88,"3003 of 3140"
"Claiborne County",28021,0.5,45,"2997 of 3140"
"Lincoln County",28085,0.5,174,"2992 of 3140"
"Clay County",28025,0.5,109,"2969 of 3140"
"Jefferson County",28063,0.5,41,"2964 of 3140"
"Pike County",28113,0.6,227,"2952 of 3140"
"Monroe County",28095,0.6,213,"2942 of 3140"
"Stone County",28131,0.6,111,"2925 of 3140"
"Sunflower County",28133,0.7,187,"2864 of 3140"
"Walthall County",28147,0.7,102,"2863 of 3140"
"Prentiss County",28117,0.7,189,"2832 of 3140"
"Itawamba County",28057,0.8,176,"2826 of 3140"
"Quitman County",28119,0.8,62,"2774 of 3140"
"Montgomery County",28097,0.9,91,"2734 of 3140"
"Covington County",28031,0.9,177,"2703 of 3140"
"Attala County",28007,0.9,175,"2696 of 3140"
"Greene County",28041,0.9,131,"2685 of 3140"
"Panola County",28107,1.1,360,"2605 of 3140"
"Neshoba County",28099,1.1,320,"2580 of 3140"
"Marion County",28091,1.1,285,"2551 of 3140"
"Carroll County",28015,1.1,117,"2542 of 3140"
"Washington County",28151,1.2,560,"2521 of 3140"
"Newton County",28101,1.2,264,"2453 of 3140"
"Warren County",28149,1.2,588,"2448 of 3140"
"Noxubee County",28103,1.4,153,"2320 of 3140"
"Benton County",28009,1.4,120,"2290 of 3140"
"Tishomingo County",28141,1.5,283,"2284 of 3140"
"Marshall County",28093,1.5,553,"2222 of 3140"
"Pearl River County",28109,1.6,898,"2155 of 3140"
"Sharkey County",28125,1.6,76,"2149 of 3140"
"Leflore County",28083,1.6,495,"2147 of 3140"
"Alcorn County",28003,1.7,643,"2089 of 3140"
"Lee County",28081,1.7,1468,"2083 of 3140"
"Lauderdale County",28075,1.7,1367,"2068 of 3140"
"Hinds County",28049,1.8,4354,"2040 of 3140"
"George County",28039,1.8,423,"2038 of 3140"
"Tunica County",28143,1.8,189,"2023 of 3140"
"Humphreys County",28053,1.9,161,"2013 of 3140"
"Copiah County",28029,1.9,543,"1989 of 3140"
"Leake County",28079,1.9,437,"1979 of 3140"
"Tate County",28137,2.0,554,"1950 of 3140"
"Bolivar County",28011,2.0,669,"1924 of 3140"
"Hancock County",28045,2.1,975,"1863 of 3140"
"Chickasaw County",28017,2.2,387,"1788 of 3140"
"Tippah County",28139,2.3,502,"1752 of 3140"
"Forrest County",28035,2.7,2032,"1581 of 3140"
"Jones County",28067,2.7,1840,"1569 of 3140"
"Rankin County",28121,2.7,4071,"1558 of 3140"
"Lowndes County",28087,2.7,1628,"1545 of 3140"
"Union County",28145,2.8,778,"1530 of 3140"
"Lamar County",28073,2.8,1683,"1520 of 3140"
"Calhoun County",28013,3.0,444,"1403 of 3140"
"Jackson County",28059,3.4,4868,"1274 of 3140"
"DeSoto County",28033,3.5,6007,"1269 of 3140"
"Lafayette County",28071,3.5,1834,"1265 of 3140"
"Pontotoc County",28115,3.6,1108,"1238 of 3140"
"Yazoo County",28163,3.7,1025,"1197 of 3140"
"Madison County",28089,3.9,3970,"1153 of 3140"
"Oktibbeha County",28105,4.2,2063,"1071 of 3140"
"Harrison County",28047,4.8,9554,"957 of 3140"
