------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.4,11759554,"N/A"
"Mississippi",28000,5.6,109885,"44 of 52"
"Madison County",28089,2.8,1875,"757 of 3141"
"Lafayette County",28071,2.8,854,"791 of 3141"
"Rankin County",28121,3.0,3038,"880 of 3141"
"DeSoto County",28033,3.2,3574,"993 of 3141"
"Lamar County",28073,3.2,1253,"1004 of 3141"
"Jasper County",28061,3.7,418,"1298 of 3141"
"Warren County",28149,3.8,1202,"1339 of 3141"
"Lincoln County",28085,3.8,886,"1370 of 3141"
"Hinds County",28049,4.1,6324,"1486 of 3141"
"Forrest County",28035,4.4,2039,"1609 of 3141"
"Jackson County",28059,4.4,4198,"1618 of 3141"
"Oktibbeha County",28105,4.5,1127,"1663 of 3141"
"Hancock County",28045,4.5,1466,"1667 of 3141"
"Harrison County",28047,4.6,6074,"1726 of 3141"
"Lee County",28081,4.7,2613,"1744 of 3141"
"Lauderdale County",28075,4.7,2465,"1777 of 3141"
"Stone County",28131,4.9,571,"1831 of 3141"
"Lawrence County",28077,5.2,436,"1909 of 3141"
"Covington County",28031,5.2,653,"1914 of 3141"
"Clay County",28025,5.2,697,"1919 of 3141"
"Clarke County",28023,5.2,577,"1920 of 3141"
"Newton County",28101,5.2,710,"1924 of 3141"
"Pearl River County",28109,5.3,1985,"1974 of 3141"
"Carroll County",28015,5.5,391,"2010 of 3141"
"Lowndes County",28087,5.5,2172,"2034 of 3141"
"Webster County",28155,5.7,381,"2087 of 3141"
"Perry County",28111,5.7,468,"2094 of 3141"
"Pike County",28113,5.8,1465,"2136 of 3141"
"Tate County",28137,5.8,1073,"2149 of 3141"
"Yalobusha County",28161,5.9,505,"2174 of 3141"
"Marshall County",28093,6.1,1496,"2232 of 3141"
"Walthall County",28147,6.1,595,"2243 of 3141"
"Marion County",28091,6.2,1063,"2256 of 3141"
"Neshoba County",28099,6.2,1155,"2260 of 3141"
"Tunica County",28143,6.3,418,"2283 of 3141"
"Greene County",28041,6.3,622,"2284 of 3141"
"George County",28039,6.3,957,"2291 of 3141"
"Kemper County",28069,6.4,440,"2315 of 3141"
"Franklin County",28037,6.4,347,"2328 of 3141"
"Grenada County",28043,6.7,963,"2409 of 3141"
"Jefferson Davis County",28065,6.7,547,"2413 of 3141"
"Tishomingo County",28141,6.7,918,"2414 of 3141"
"Jones County",28067,6.8,3052,"2428 of 3141"
"Itawamba County",28057,7.1,1112,"2492 of 3141"
"Amite County",28005,7.1,664,"2499 of 3141"
"Panola County",28107,7.2,1602,"2512 of 3141"
"Sharkey County",28125,7.2,226,"2517 of 3141"
"Winston County",28159,7.2,922,"2518 of 3141"
"Montgomery County",28097,7.3,517,"2530 of 3141"
"Union County",28145,7.4,1394,"2566 of 3141"
"Alcorn County",28003,7.5,1895,"2573 of 3141"
"Attala County",28007,7.5,937,"2582 of 3141"
"Smith County",28129,7.6,822,"2596 of 3141"
"Prentiss County",28117,7.6,1292,"2602 of 3141"
"Simpson County",28127,7.7,1397,"2614 of 3141"
"Washington County",28151,7.9,2417,"2630 of 3141"
"Copiah County",28029,8.0,1521,"2653 of 3141"
"Claiborne County",28021,8.5,450,"2704 of 3141"
"Calhoun County",28013,8.6,848,"2725 of 3141"
"Coahoma County",28027,8.7,1292,"2741 of 3141"
"Tallahatchie County",28135,8.7,904,"2745 of 3141"
"Yazoo County",28163,8.7,1591,"2748 of 3141"
"Monroe County",28095,8.8,2166,"2752 of 3141"
"Bolivar County",28011,8.8,1870,"2763 of 3141"
"Leake County",28079,8.9,1299,"2769 of 3141"
"Wayne County",28153,8.9,1219,"2772 of 3141"
"Pontotoc County",28115,9.1,1816,"2778 of 3141"
"Scott County",28123,9.3,1713,"2799 of 3141"
"Adams County",28001,9.4,2048,"2808 of 3141"
"Sunflower County",28133,9.4,1662,"2814 of 3141"
"Choctaw County",28019,9.6,559,"2843 of 3141"
"Chickasaw County",28017,9.7,1094,"2845 of 3141"
"Tippah County",28139,9.7,1389,"2848 of 3141"
"Leflore County",28083,10.0,1806,"2866 of 3141"
"Benton County",28009,10.5,595,"2904 of 3141"
"Holmes County",28051,10.7,1190,"2915 of 3141"
"Issaquena County",28055,10.8,111,"2923 of 3141"
"Humphreys County",28053,11.0,606,"2934 of 3141"
"Wilkinson County",28157,11.4,717,"2950 of 3141"
"Jefferson County",28063,12.1,597,"2979 of 3141"
"Quitman County",28119,12.7,636,"3009 of 3141"
"Noxubee County",28103,12.9,926,"3015 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
