------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Mississippi",28000,22.1,161410,"44 of 51"
"Coahoma County",28027,15.8,1432,"1349 of 3139"
"Tunica County",28143,16.2,691,"1399 of 3139"
"Holmes County",28051,17.6,1318,"1590 of 3139"
"Humphreys County",28053,17.6,620,"1590 of 3139"
"Leflore County",28083,17.7,2052,"1606 of 3139"
"Lauderdale County",28075,18.0,3430,"1648 of 3139"
"Sunflower County",28133,18.1,1555,"1660 of 3139"
"Claiborne County",28021,18.5,577,"1728 of 3139"
"Yazoo County",28163,18.5,1472,"1728 of 3139"
"Pike County",28113,19.3,2451,"1840 of 3139"
"Washington County",28151,19.3,3341,"1840 of 3139"
"Quitman County",28119,19.4,574,"1859 of 3139"
"Tallahatchie County",28135,19.4,765,"1859 of 3139"
"Jefferson County",28063,19.5,493,"1882 of 3139"
"Sharkey County",28125,19.5,304,"1882 of 3139"
"Hinds County",28049,19.6,13075,"1895 of 3139"
"Clay County",28025,19.8,1169,"1928 of 3139"
"Panola County",28107,19.8,1976,"1928 of 3139"
"Bolivar County",28011,19.9,2229,"1948 of 3139"
"Attala County",28007,20.1,1034,"1976 of 3139"
"Grenada County",28043,20.3,1118,"2007 of 3139"
"Adams County",28001,20.5,1720,"2037 of 3139"
"Montgomery County",28097,20.6,568,"2053 of 3139"
"Choctaw County",28019,20.8,431,"2092 of 3139"
"Marshall County",28093,20.8,1764,"2092 of 3139"
"Alcorn County",28003,21.1,2046,"2120 of 3139"
"Lee County",28081,21.3,3988,"2143 of 3139"
"Yalobusha County",28161,21.3,756,"2143 of 3139"
"Lowndes County",28087,21.4,3175,"2158 of 3139"
"Wilkinson County",28157,21.4,541,"2158 of 3139"
"DeSoto County",28033,21.8,5513,"2202 of 3139"
"Warren County",28149,21.8,2690,"2202 of 3139"
"Marion County",28091,21.9,1537,"2217 of 3139"
"Webster County",28155,21.9,540,"2217 of 3139"
"Monroe County",28095,22.1,1813,"2245 of 3139"
"Stone County",28131,22.1,800,"2245 of 3139"
"Clarke County",28023,22.4,835,"2285 of 3139"
"Copiah County",28029,22.4,1818,"2285 of 3139"
"Neshoba County",28099,22.4,1869,"2285 of 3139"
"Winston County",28159,22.5,1099,"2296 of 3139"
"Noxubee County",28103,22.6,824,"2311 of 3139"
"Lincoln County",28085,22.7,1831,"2322 of 3139"
"Simpson County",28127,22.7,1685,"2322 of 3139"
"Forrest County",28035,22.8,4942,"2337 of 3139"
"Tippah County",28139,22.8,1267,"2337 of 3139"
"Covington County",28031,22.9,1197,"2348 of 3139"
"Prentiss County",28117,22.9,1503,"2348 of 3139"
"Chickasaw County",28017,23.0,1178,"2360 of 3139"
"Franklin County",28037,23.0,421,"2360 of 3139"
"Pearl River County",28109,23.1,2761,"2373 of 3139"
"Jasper County",28061,23.2,1004,"2384 of 3139"
"Rankin County",28121,23.2,4734,"2384 of 3139"
"Wayne County",28153,23.2,1263,"2384 of 3139"
"Benton County",28009,23.3,551,"2398 of 3139"
"Jefferson Davis County",28065,23.3,843,"2398 of 3139"
"Harrison County",28047,23.4,11720,"2406 of 3139"
"Newton County",28101,23.4,1253,"2406 of 3139"
"Itawamba County",28057,23.6,1185,"2427 of 3139"
"Tate County",28137,23.9,1457,"2457 of 3139"
"Jones County",28067,24.2,4463,"2485 of 3139"
"Walthall County",28147,24.2,1016,"2485 of 3139"
"George County",28039,24.3,1169,"2495 of 3139"
"Lawrence County",28077,24.3,728,"2495 of 3139"
"Oktibbeha County",28105,24.5,3680,"2514 of 3139"
"Smith County",28129,24.5,916,"2514 of 3139"
"Lamar County",28073,24.9,3096,"2552 of 3139"
"Lafayette County",28071,25.0,2966,"2556 of 3139"
"Perry County",28111,25.0,799,"2556 of 3139"
"Jackson County",28059,25.3,6708,"2589 of 3139"
"Tishomingo County",28141,25.6,1227,"2606 of 3139"
"Madison County",28089,25.8,3582,"2616 of 3139"
"Calhoun County",28013,26.2,1089,"2649 of 3139"
"Carroll County",28015,26.2,506,"2649 of 3139"
"Kemper County",28069,26.2,698,"2649 of 3139"
"Leake County",28079,26.2,1561,"2649 of 3139"
"Issaquena County",28055,26.3,77,"2657 of 3139"
"Hancock County",28045,26.4,2586,"2668 of 3139"
"Pontotoc County",28115,26.9,2001,"2708 of 3139"
