------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Mississippi",28000,29.4,877704,"28 of 52"
"United States",00000,29.8,95565066,"N/A"
"Amite County",28005,22.7,2853,"599 of 3141"
"Choctaw County",28019,22.9,1912,"649 of 3141"
"Carroll County",28015,23.4,2389,"786 of 3141"
"Franklin County",28037,23.4,1817,"790 of 3141"
"Yalobusha County",28161,23.9,2967,"935 of 3141"
"Attala County",28007,24.5,4584,"1105 of 3141"
"Tishomingo County",28141,24.6,4791,"1152 of 3141"
"Hancock County",28045,24.7,11432,"1193 of 3141"
"Winston County",28159,24.7,4570,"1201 of 3141"
"Calhoun County",28013,24.9,3641,"1282 of 3141"
"Clarke County",28023,24.9,4011,"1289 of 3141"
"Lawrence County",28077,25.1,3173,"1341 of 3141"
"Jefferson Davis County",28065,25.2,2936,"1390 of 3141"
"Pearl River County",28109,25.3,13933,"1419 of 3141"
"Neshoba County",28099,25.3,7460,"1428 of 3141"
"Smith County",28129,25.4,4090,"1443 of 3141"
"Montgomery County",28097,25.5,2625,"1476 of 3141"
"Walthall County",28147,25.6,3750,"1512 of 3141"
"Sharkey County",28125,25.7,1190,"1558 of 3141"
"Webster County",28155,25.8,2543,"1580 of 3141"
"Grenada County",28043,25.8,5513,"1585 of 3141"
"Jasper County",28061,26.1,4322,"1690 of 3141"
"Perry County",28111,26.2,3153,"1705 of 3141"
"Monroe County",28095,26.2,9428,"1720 of 3141"
"Alcorn County",28003,26.2,9766,"1725 of 3141"
"Simpson County",28127,26.3,7145,"1735 of 3141"
"Adams County",28001,26.5,8357,"1798 of 3141"
"Marion County",28091,26.5,6741,"1804 of 3141"
"Panola County",28107,26.5,9064,"1805 of 3141"
"Tippah County",28139,26.6,5854,"1855 of 3141"
"Pike County",28113,26.7,10633,"1894 of 3141"
"Benton County",28009,26.8,2224,"1906 of 3141"
"Kemper County",28069,26.8,2705,"1918 of 3141"
"Pontotoc County",28115,26.9,8363,"1941 of 3141"
"Humphreys County",28053,27.0,2344,"1971 of 3141"
"Union County",28145,27.1,7641,"1997 of 3141"
"Wayne County",28153,27.2,5564,"2021 of 3141"
"Quitman County",28119,27.2,2053,"2036 of 3141"
"Clay County",28025,27.3,5459,"2059 of 3141"
