------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Mississippi",28000,51.5,1537503,"45 of 52"
"Issaquena County",28055,41.3,535,"49 of 3141"
"Greene County",28041,41.5,5724,"53 of 3141"
"Tallahatchie County",28135,41.6,6056,"55 of 3141"
"Yazoo County",28163,46.0,12650,"161 of 3141"
"Wilkinson County",28157,46.9,4258,"232 of 3141"
"Sunflower County",28133,47.6,12801,"294 of 3141"
"Benton County",28009,48.7,4049,"517 of 3141"
"Stone County",28131,49.4,8885,"783 of 3141"
"George County",28039,49.5,11651,"809 of 3141"
"Carroll County",28015,49.5,5064,"841 of 3141"
"Oktibbeha County",28105,49.7,24532,"922 of 3141"
"Leake County",28079,49.7,11402,"953 of 3141"
"Itawamba County",28057,50.3,11788,"1463 of 3141"
"Adams County",28001,50.4,15903,"1523 of 3141"
"Marshall County",28093,50.5,18188,"1740 of 3141"
"Pontotoc County",28115,50.6,15729,"1827 of 3141"
"Harrison County",28047,50.7,101563,"1896 of 3141"
"Jackson County",28059,50.7,71618,"1922 of 3141"
"Kemper County",28069,50.7,5112,"1945 of 3141"
"Alcorn County",28003,50.7,18897,"1989 of 3141"
"Pearl River County",28109,50.8,27943,"2011 of 3141"
"Jefferson County",28063,50.8,3792,"2067 of 3141"
"Yalobusha County",28161,50.9,6325,"2155 of 3141"
"Choctaw County",28019,51.0,4260,"2214 of 3141"
"Tate County",28137,51.0,14454,"2257 of 3141"
"Walthall County",28147,51.0,7484,"2259 of 3141"
"Webster County",28155,51.0,5036,"2279 of 3141"
"Wayne County",28153,51.1,10447,"2315 of 3141"
"Tippah County",28139,51.1,11231,"2318 of 3141"
"Jones County",28067,51.2,34996,"2463 of 3141"
"Amite County",28005,51.2,6441,"2468 of 3141"
"Marion County",28091,51.2,13045,"2469 of 3141"
"Jefferson Davis County",28065,51.3,5968,"2507 of 3141"
"Winston County",28159,51.3,9484,"2528 of 3141"
"Prentiss County",28117,51.3,13029,"2532 of 3141"
"Hancock County",28045,51.3,23750,"2537 of 3141"
"Union County",28145,51.3,14475,"2542 of 3141"
"Smith County",28129,51.4,8276,"2564 of 3141"
"Simpson County",28127,51.4,13981,"2577 of 3141"
"Perry County",28111,51.4,6189,"2578 of 3141"
"Lauderdale County",28075,51.4,40219,"2605 of 3141"
"Lawrence County",28077,51.4,6509,"2607 of 3141"
"Lafayette County",28071,51.4,27133,"2620 of 3141"
"Scott County",28123,51.5,14618,"2637 of 3141"
"Chickasaw County",28017,51.5,8912,"2646 of 3141"
"Jasper County",28061,51.6,8539,"2715 of 3141"
"DeSoto County",28033,51.6,89429,"2722 of 3141"
"Panola County",28107,51.6,17676,"2739 of 3141"
"Franklin County",28037,51.7,4020,"2783 of 3141"
"Tishomingo County",28141,51.7,10076,"2789 of 3141"
"Rankin County",28121,51.8,77447,"2799 of 3141"
"Covington County",28031,51.9,9953,"2865 of 3141"
"Quitman County",28119,52.0,3919,"2893 of 3141"
"Lamar County",28073,52.1,31511,"2914 of 3141"
"Madison County",28089,52.1,53246,"2917 of 3141"
"Lowndes County",28087,52.1,31027,"2918 of 3141"
"Lee County",28081,52.1,44205,"2919 of 3141"
"Neshoba County",28099,52.1,15342,"2925 of 3141"
"Copiah County",28029,52.1,14986,"2927 of 3141"
"Calhoun County",28013,52.2,7623,"2941 of 3141"
"Lincoln County",28085,52.2,18047,"2960 of 3141"
"Monroe County",28095,52.3,18819,"2969 of 3141"
"Holmes County",28051,52.3,9560,"2973 of 3141"
"Forrest County",28035,52.4,39729,"2983 of 3141"
"Warren County",28149,52.4,24901,"2989 of 3141"
"Noxubee County",28103,52.4,5736,"2994 of 3141"
"Pike County",28113,52.5,20873,"3004 of 3141"
"Humphreys County",28053,52.7,4570,"3026 of 3141"
"Attala County",28007,52.7,9871,"3031 of 3141"
"Grenada County",28043,52.8,11282,"3040 of 3141"
"Bolivar County",28011,52.9,17508,"3053 of 3141"
"Clarke County",28023,52.9,8514,"3058 of 3141"
"Sharkey County",28125,53.0,2454,"3061 of 3141"
"Washington County",28151,53.1,25482,"3070 of 3141"
"Tunica County",28143,53.1,5458,"3073 of 3141"
"Claiborne County",28021,53.1,4837,"3075 of 3141"
"Newton County",28101,53.2,11394,"3078 of 3141"
"Hinds County",28049,53.3,129616,"3088 of 3141"
"Leflore County",28083,53.5,16100,"3096 of 3141"
"Clay County",28025,53.6,10717,"3099 of 3141"
"Montgomery County",28097,53.7,5540,"3104 of 3141"
"Coahoma County",28027,53.9,13094,"3113 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
