------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Mississippi",28000,46.3,1382215,"39 of 52"
"United States",00000,47.3,151838062,"N/A"
"Oktibbeha County",28105,33.0,16304,"3118 of 3141"
"Lafayette County",28071,37.1,19564,"3072 of 3141"
"Tunica County",28143,40.1,4122,"2979 of 3141"
"Forrest County",28035,40.7,30850,"2948 of 3141"
"Claiborne County",28021,41.2,3755,"2928 of 3141"
"Leflore County",28083,41.7,12555,"2905 of 3141"
"Hinds County",28049,42.8,104202,"2848 of 3141"
"Yazoo County",28163,42.9,11805,"2844 of 3141"
"Lamar County",28073,43.0,26046,"2839 of 3141"
"Tallahatchie County",28135,43.4,6312,"2806 of 3141"
"Sunflower County",28133,43.5,11707,"2791 of 3141"
"Coahoma County",28027,43.6,10594,"2788 of 3141"
"Holmes County",28051,43.8,7993,"2779 of 3141"
"Leake County",28079,44.2,10137,"2733 of 3141"
"Bolivar County",28011,44.3,14675,"2726 of 3141"
"George County",28039,44.8,10537,"2686 of 3141"
"Harrison County",28047,45.0,90312,"2656 of 3141"
"DeSoto County",28033,45.3,78432,"2633 of 3141"
"Scott County",28123,45.3,12858,"2630 of 3141"
"Madison County",28089,45.4,46423,"2616 of 3141"
"Washington County",28151,45.5,21860,"2609 of 3141"
"Chickasaw County",28017,45.7,7914,"2593 of 3141"
"Lowndes County",28087,45.8,27272,"2585 of 3141"
"Jefferson County",28063,45.8,3419,"2581 of 3141"
"Humphreys County",28053,45.9,3981,"2573 of 3141"
"Covington County",28031,46.0,8818,"2558 of 3141"
