------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Mississippi",28000,33.3,961316,"51 of 52"
"DeSoto County",28033,17.5,30091,"447 of 3141"
"Madison County",28089,18.0,18109,"492 of 3141"
"Rankin County",28121,18.3,26359,"518 of 3141"
"Greene County",28041,21.8,2274,"981 of 3141"
"Carroll County",28015,22.6,2271,"1085 of 3141"
"Lamar County",28073,24.1,14487,"1306 of 3141"
"Jackson County",28059,24.3,33977,"1326 of 3141"
"George County",28039,24.7,5679,"1392 of 3141"
"Pearl River County",28109,26.9,14379,"1728 of 3141"
"Hancock County",28045,27.7,12751,"1838 of 3141"
"Tate County",28137,28.2,7463,"1901 of 3141"
"Lee County",28081,28.3,23644,"1918 of 3141"
"Stone County",28131,29.3,5078,"2055 of 3141"
"Pontotoc County",28115,30.4,9345,"2191 of 3141"
"Union County",28145,30.6,8503,"2206 of 3141"
"Marshall County",28093,30.6,10396,"2210 of 3141"
"Clarke County",28023,30.9,4941,"2245 of 3141"
"Lawrence County",28077,31.8,4015,"2337 of 3141"
"Benton County",28009,31.8,2617,"2338 of 3141"
"Harrison County",28047,31.8,61980,"2343 of 3141"
"Lowndes County",28087,31.9,18490,"2349 of 3141"
"Itawamba County",28057,32.5,7262,"2406 of 3141"
"Monroe County",28095,32.5,11533,"2408 of 3141"
"Smith County",28129,32.9,5268,"2443 of 3141"
"Lafayette County",28071,33.4,15901,"2497 of 3141"
"Franklin County",28037,33.8,2589,"2529 of 3141"
