------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '28', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=28&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Mississippi by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Mississippi",28000,3.0,88261,"49 of 52"
"United States",00000,17.6,56510571,"N/A"
"Jasper County",28061,0.0,0,"3133 of 3141"
"Jefferson County",28063,0.1,9,"3127 of 3141"
"Coahoma County",28027,0.1,35,"3124 of 3141"
"Amite County",28005,0.2,29,"3116 of 3141"
"Holmes County",28051,0.3,50,"3107 of 3141"
"Wilkinson County",28157,0.3,26,"3103 of 3141"
"Jefferson Davis County",28065,0.3,39,"3093 of 3141"
"Claiborne County",28021,0.4,33,"3088 of 3141"
"Grenada County",28043,0.4,92,"3079 of 3141"
"Carroll County",28015,0.5,50,"3070 of 3141"
"Choctaw County",28019,0.5,41,"3069 of 3141"
"Simpson County",28127,0.5,137,"3067 of 3141"
"Lawrence County",28077,0.5,68,"3057 of 3141"
"Walthall County",28147,0.6,87,"3045 of 3141"
"Warren County",28149,0.6,282,"3043 of 3141"
"Sharkey County",28125,0.6,28,"3041 of 3141"
"Clay County",28025,0.6,128,"3033 of 3141"
"Wayne County",28153,0.6,131,"3033 of 3141"
"Tunica County",28143,0.7,77,"3006 of 3141"
"Franklin County",28037,0.8,65,"2986 of 3141"
"Clarke County",28023,0.9,138,"2980 of 3141"
"Lincoln County",28085,1.1,369,"2912 of 3141"
"Greene County",28041,1.1,156,"2887 of 3141"
"Issaquena County",28055,1.2,15,"2882 of 3141"
"Winston County",28159,1.2,215,"2879 of 3141"
"Monroe County",28095,1.2,421,"2874 of 3141"
"Quitman County",28119,1.3,98,"2803 of 3141"
"Noxubee County",28103,1.4,148,"2774 of 3141"
"Prentiss County",28117,1.4,353,"2761 of 3141"
"Perry County",28111,1.4,172,"2734 of 3141"
"Washington County",28151,1.5,697,"2715 of 3141"
"Webster County",28155,1.5,145,"2704 of 3141"
"Itawamba County",28057,1.5,347,"2695 of 3141"
"Marion County",28091,1.5,379,"2691 of 3141"
"Hinds County",28049,1.5,3642,"2684 of 3141"
"Yalobusha County",28161,1.5,187,"2675 of 3141"
"Pike County",28113,1.6,622,"2627 of 3141"
"Sunflower County",28133,1.6,434,"2601 of 3141"
"Smith County",28129,1.6,265,"2585 of 3141"
"Oktibbeha County",28105,1.6,813,"2584 of 3141"
"Kemper County",28069,1.7,171,"2562 of 3141"
"Panola County",28107,1.8,599,"2524 of 3141"
"Newton County",28101,1.8,387,"2491 of 3141"
"Stone County",28131,1.9,345,"2427 of 3141"
"Neshoba County",28099,1.9,573,"2413 of 3141"
"Attala County",28007,2.0,376,"2375 of 3141"
"Lowndes County",28087,2.0,1201,"2365 of 3141"
"Bolivar County",28011,2.1,696,"2325 of 3141"
"Lauderdale County",28075,2.2,1751,"2247 of 3141"
"Montgomery County",28097,2.3,235,"2229 of 3141"
"Covington County",28031,2.4,460,"2164 of 3141"
"Benton County",28009,2.5,204,"2141 of 3141"
"Lafayette County",28071,2.5,1314,"2124 of 3141"
"Tate County",28137,2.5,715,"2105 of 3141"
"Lamar County",28073,2.5,1543,"2088 of 3141"
"Lee County",28081,2.6,2167,"2085 of 3141"
"Leflore County",28083,2.6,773,"2080 of 3141"
"Rankin County",28121,2.6,3965,"2050 of 3141"
"George County",28039,2.7,636,"2025 of 3141"
"Humphreys County",28053,2.9,248,"1936 of 3141"
"Madison County",28089,2.9,2926,"1931 of 3141"
"Tishomingo County",28141,2.9,571,"1908 of 3141"
"Copiah County",28029,3.0,850,"1901 of 3141"
"Pearl River County",28109,3.0,1635,"1891 of 3141"
"Alcorn County",28003,3.0,1124,"1875 of 3141"
"Forrest County",28035,3.0,2308,"1863 of 3141"
"Marshall County",28093,3.5,1256,"1701 of 3141"
"Hancock County",28045,3.8,1740,"1626 of 3141"
"Union County",28145,4.2,1197,"1487 of 3141"
"Jones County",28067,4.3,2921,"1477 of 3141"
"Chickasaw County",28017,4.4,765,"1448 of 3141"
"Leake County",28079,4.4,1015,"1446 of 3141"
"Tippah County",28139,4.7,1026,"1385 of 3141"
"DeSoto County",28033,4.8,8253,"1369 of 3141"
"Harrison County",28047,5.3,10718,"1250 of 3141"
"Yazoo County",28163,5.6,1551,"1196 of 3141"
"Calhoun County",28013,5.7,829,"1186 of 3141"
"Jackson County",28059,5.9,8342,"1142 of 3141"
"Pontotoc County",28115,6.2,1940,"1091 of 3141"
"Adams County",28001,8.4,2667,"854 of 3141"
"Scott County",28123,10.8,3069,"684 of 3141"
"Tallahatchie County",28135,15.0,2176,"514 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
