------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Nebraska",31000,4.1,50097,"26 of 52"
"United States",00000,5.4,11759554,"N/A"
"Arthur County",31005,0.0,0,"1 of 3141"
"Banner County",31007,0.0,0,"1 of 3141"
"Blaine County",31009,0.0,0,"1 of 3141"
"Frontier County",31063,0.7,13,"24 of 3141"
"Cass County",31025,0.9,165,"37 of 3141"
"Hitchcock County",31087,1.0,20,"40 of 3141"
"Loup County",31115,1.0,4,"42 of 3141"
"Washington County",31177,1.0,142,"47 of 3141"
"Grant County",31075,1.2,6,"77 of 3141"
"Nemaha County",31127,1.4,62,"101 of 3141"
"Garden County",31069,1.4,21,"107 of 3141"
"Gosper County",31073,1.5,22,"127 of 3141"
"Saunders County",31155,1.5,212,"134 of 3141"
"Wayne County",31179,1.5,81,"141 of 3141"
"Wheeler County",31183,1.5,10,"155 of 3141"
"Red Willow County",31145,1.6,121,"184 of 3141"
"Phelps County",31137,1.7,106,"204 of 3141"
"Kearney County",31099,1.7,77,"214 of 3141"
"Sarpy County",31153,1.7,1932,"219 of 3141"
"York County",31185,1.7,163,"220 of 3141"
"Thayer County",31169,1.8,68,"256 of 3141"
"Harlan County",31083,1.8,46,"259 of 3141"
"Richardson County",31147,1.9,110,"272 of 3141"
"Boone County",31011,1.9,71,"281 of 3141"
