------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Nebraska",31000,45.5,861140,"43 of 52"
"United States",00000,47.3,151838062,"N/A"
"Thurston County",31173,37.4,2637,"3066 of 3141"
"Buffalo County",31019,40.9,19980,"2937 of 3141"
"Lancaster County",31109,41.1,125866,"2932 of 3141"
"Sarpy County",31153,41.5,72702,"2914 of 3141"
"Dakota County",31043,41.6,8539,"2910 of 3141"
"Douglas County",31055,42.0,230880,"2891 of 3141"
"Colfax County",31037,42.3,4491,"2875 of 3141"
"Wayne County",31179,42.6,4006,"2862 of 3141"
"Dawes County",31045,44.0,3947,"2753 of 3141"
"Hall County",31079,44.3,27144,"2723 of 3141"
"Saline County",31151,44.8,6414,"2684 of 3141"
"Dawson County",31047,45.2,10809,"2639 of 3141"
"Madison County",31119,46.7,16373,"2475 of 3141"
"Adams County",31001,47.5,14987,"2368 of 3141"
"Seward County",31159,47.9,8171,"2284 of 3141"
"Platte County",31141,48.0,15793,"2262 of 3141"
"Nemaha County",31127,48.4,3405,"2213 of 3141"
"Scotts Bluff County",31157,49.2,17979,"2053 of 3141"
"Dodge County",31053,49.3,18035,"2044 of 3141"
"Logan County",31113,49.7,457,"1966 of 3141"
"Lincoln County",31111,50.5,17970,"1788 of 3141"
"York County",31185,50.7,7014,"1741 of 3141"
