------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Nebraska",31000,49.8,943547,"41 of 52"
"Hooker County",31091,46.1,315,"26 of 3141"
"Brown County",31017,48.0,1468,"250 of 3141"
"Deuel County",31049,48.1,915,"287 of 3141"
"Jefferson County",31095,48.3,3511,"348 of 3141"
"Scotts Bluff County",31157,48.4,17659,"409 of 3141"
"Loup County",31115,48.4,260,"435 of 3141"
"Arthur County",31005,48.5,204,"458 of 3141"
"Pawnee County",31133,48.7,1317,"624 of 3141"
"Knox County",31107,48.8,4147,"703 of 3141"
"Banner County",31007,48.9,356,"795 of 3141"
"Cheyenne County",31033,48.9,4899,"819 of 3141"
"Gosper County",31073,48.9,988,"828 of 3141"
"Furnas County",31065,48.9,2356,"834 of 3141"
"Otoe County",31131,49.0,7783,"916 of 3141"
"Dakota County",31043,49.1,10074,"960 of 3141"
"York County",31185,49.1,6795,"1009 of 3141"
"Dodge County",31053,49.2,17980,"1044 of 3141"
"Polk County",31143,49.2,2578,"1048 of 3141"
"Lincoln County",31111,49.2,17490,"1057 of 3141"
"Douglas County",31055,49.3,270917,"1186 of 3141"
"Webster County",31181,49.3,1774,"1218 of 3141"
"Kearney County",31099,49.3,3229,"1221 of 3141"
"Burt County",31021,49.4,3231,"1273 of 3141"
"Nemaha County",31127,49.4,3476,"1286 of 3141"
"Greeley County",31077,49.4,1203,"1316 of 3141"
"Nance County",31125,49.4,1764,"1371 of 3141"
"Custer County",31041,49.4,5357,"1384 of 3141"
"Garfield County",31071,49.5,970,"1509 of 3141"
"Washington County",31177,49.6,10118,"1530 of 3141"
"Cherry County",31031,49.6,2871,"1540 of 3141"
"Thayer County",31169,49.6,2547,"1589 of 3141"
"Thurston County",31173,49.6,3502,"1612 of 3141"
"Valley County",31175,49.6,2111,"1620 of 3141"
"Sheridan County",31161,49.7,2604,"1653 of 3141"
"Madison County",31119,49.7,17437,"1702 of 3141"
"Chase County",31029,49.8,1892,"1721 of 3141"
"Hitchcock County",31087,49.8,1423,"1731 of 3141"
"Dundy County",31057,49.8,1004,"1749 of 3141"
