------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Nebraska",31000,19.4,54201,"34 of 51"
"Grant County",31075,15.0,17,"1247 of 3139"
"Hooker County",31091,15.1,16,"1259 of 3139"
"Gage County",31067,15.5,464,"1314 of 3139"
"Lincoln County",31111,15.5,759,"1314 of 3139"
"Jefferson County",31095,15.8,155,"1349 of 3139"
"Cheyenne County",31033,16.1,188,"1385 of 3139"
"Hamilton County",31081,16.3,139,"1415 of 3139"
"Box Butte County",31013,16.5,266,"1433 of 3139"
"Richardson County",31147,16.5,205,"1433 of 3139"
"McPherson County",31117,16.7,15,"1453 of 3139"
"Nemaha County",31127,16.9,142,"1471 of 3139"
"Thurston County",31173,16.9,419,"1471 of 3139"
"York County",31185,16.9,276,"1471 of 3139"
"Red Willow County",31145,17.1,252,"1501 of 3139"
"Scotts Bluff County",31157,17.1,1130,"1501 of 3139"
"Stanton County",31167,17.1,125,"1501 of 3139"
"Adams County",31001,17.2,767,"1519 of 3139"
"Keith County",31101,17.2,200,"1519 of 3139"
"Lancaster County",31109,17.2,8517,"1519 of 3139"
"Nance County",31125,17.2,90,"1519 of 3139"
"Seward County",31159,17.2,290,"1519 of 3139"
"Wayne County",31179,17.3,209,"1541 of 3139"
"Fillmore County",31059,17.5,107,"1575 of 3139"
"Saunders County",31155,17.6,349,"1590 of 3139"
"Webster County",31181,17.6,92,"1590 of 3139"
"Nuckolls County",31129,17.7,114,"1606 of 3139"
"Washington County",31177,17.7,305,"1606 of 3139"
"Harlan County",31083,18.1,89,"1660 of 3139"
"Kearney County",31099,18.1,139,"1660 of 3139"
"Butler County",31023,18.3,173,"1695 of 3139"
"Cass County",31025,18.3,422,"1695 of 3139"
"Furnas County",31065,18.3,140,"1695 of 3139"
"Phelps County",31137,18.3,184,"1695 of 3139"
"Pierce County",31139,18.3,151,"1695 of 3139"
"Kimball County",31105,18.4,113,"1714 of 3139"
"Merrick County",31121,18.4,198,"1714 of 3139"
"Garfield County",31071,18.8,66,"1765 of 3139"
"Sarpy County",31153,18.8,2754,"1765 of 3139"
"Thayer County",31169,18.8,116,"1765 of 3139"
"Otoe County",31131,19.0,374,"1796 of 3139"
"Gosper County",31073,19.2,45,"1823 of 3139"
"Burt County",31021,19.3,171,"1840 of 3139"
"Dawes County",31045,19.4,310,"1859 of 3139"
"Howard County",31093,19.4,150,"1859 of 3139"
"Custer County",31041,19.5,328,"1882 of 3139"
"Dodge County",31053,19.5,1093,"1882 of 3139"
"Antelope County",31003,19.6,190,"1895 of 3139"
"Boone County",31011,19.8,131,"1928 of 3139"
"Frontier County",31063,19.8,84,"1928 of 3139"
"Holt County",31089,19.8,291,"1928 of 3139"
"Douglas County",31055,20.1,17846,"1976 of 3139"
"Johnson County",31097,20.1,124,"1976 of 3139"
"Knox County",31107,20.1,263,"1976 of 3139"
"Madison County",31119,20.1,1149,"1976 of 3139"
"Logan County",31113,20.3,27,"2007 of 3139"
"Valley County",31175,20.3,141,"2007 of 3139"
"Franklin County",31061,20.4,93,"2024 of 3139"
"Buffalo County",31019,20.6,1595,"2053 of 3139"
"Deuel County",31049,20.6,59,"2053 of 3139"
"Pawnee County",31133,20.6,98,"2053 of 3139"
"Banner County",31007,20.8,30,"2092 of 3139"
"Cedar County",31027,21.1,207,"2120 of 3139"
"Hitchcock County",31087,21.4,106,"2158 of 3139"
"Loup County",31115,21.4,25,"2158 of 3139"
"Brown County",31017,21.6,114,"2182 of 3139"
"Polk County",31143,22.2,142,"2259 of 3139"
"Cherry County",31031,22.3,223,"2268 of 3139"
"Clay County",31035,22.5,199,"2296 of 3139"
"Platte County",31141,22.6,892,"2311 of 3139"
"Blaine County",31009,22.7,25,"2322 of 3139"
"Dixon County",31051,22.7,175,"2322 of 3139"
"Hall County",31079,22.7,2518,"2322 of 3139"
"Garden County",31069,22.8,83,"2337 of 3139"
"Sheridan County",31161,22.9,233,"2348 of 3139"
"Dawson County",31047,23.0,968,"2360 of 3139"
"Morrill County",31123,23.0,196,"2360 of 3139"
"Cuming County",31039,24.0,267,"2465 of 3139"
