------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Nebraska",31000,30.8,582542,"7 of 52"
"United States",00000,32.4,104105673,"N/A"
"Thurston County",31173,25.4,1791,"54 of 3141"
"Dawes County",31045,26.5,2376,"94 of 3141"
"Buffalo County",31019,27.7,13526,"163 of 3141"
"Wayne County",31179,27.9,2622,"176 of 3141"
"Lancaster County",31109,28.5,87172,"228 of 3141"
"Dakota County",31043,28.6,5868,"237 of 3141"
"Greeley County",31077,28.6,697,"240 of 3141"
"Nemaha County",31127,29.4,2071,"314 of 3141"
"Colfax County",31037,29.8,3165,"370 of 3141"
"Douglas County",31055,30.1,165235,"406 of 3141"
"Hall County",31079,30.2,18519,"441 of 3141"
"Logan County",31113,30.4,279,"464 of 3141"
"Dawson County",31047,30.5,7287,"479 of 3141"
"Deuel County",31049,30.6,582,"507 of 3141"
"Adams County",31001,30.6,9674,"515 of 3141"
"Dodge County",31053,30.7,11215,"519 of 3141"
"Sheridan County",31161,30.7,1608,"524 of 3141"
"Saline County",31151,30.7,4398,"529 of 3141"
"Garfield County",31071,30.8,603,"549 of 3141"
"Sarpy County",31153,30.9,54214,"587 of 3141"
"Hooker County",31091,31.1,213,"632 of 3141"
"Nuckolls County",31129,31.2,1347,"644 of 3141"
"Seward County",31159,31.2,5323,"655 of 3141"
"Scotts Bluff County",31157,31.4,11447,"690 of 3141"
"Madison County",31119,31.5,11027,"727 of 3141"
"York County",31185,31.6,4365,"759 of 3141"
"Platte County",31141,31.7,10433,"817 of 3141"
"Red Willow County",31145,31.8,3456,"833 of 3141"
"Frontier County",31063,31.8,835,"839 of 3141"
"Perkins County",31135,31.9,925,"855 of 3141"
"Custer County",31041,31.9,3458,"877 of 3141"
"Grant County",31075,32.0,218,"896 of 3141"
"Kearney County",31099,32.2,2109,"992 of 3141"
"Valley County",31175,32.3,1372,"1020 of 3141"
"Thayer County",31169,32.6,1671,"1132 of 3141"
"Phelps County",31137,32.6,2986,"1145 of 3141"
"Howard County",31093,32.6,2082,"1157 of 3141"
"Knox County",31107,32.8,2785,"1230 of 3141"
"Antelope County",31003,32.8,2103,"1253 of 3141"
"Lincoln County",31111,32.8,11682,"1261 of 3141"
"Cuming County",31039,32.9,2970,"1265 of 3141"
"Kimball County",31105,32.9,1214,"1299 of 3141"
"Hitchcock County",31087,33.0,944,"1339 of 3141"
"Arthur County",31005,33.0,139,"1343 of 3141"
"Dundy County",31057,33.1,667,"1364 of 3141"
"Cedar County",31027,33.2,2838,"1405 of 3141"
"Keya Paha County",31103,33.2,239,"1430 of 3141"
"Pierce County",31139,33.2,2382,"1432 of 3141"
"Otoe County",31131,33.2,5275,"1440 of 3141"
"Cherry County",31031,33.2,1925,"1445 of 3141"
"Furnas County",31065,33.2,1600,"1446 of 3141"
"Dixon County",31051,33.3,1917,"1455 of 3141"
"Boone County",31011,33.3,1784,"1475 of 3141"
"Franklin County",31061,33.4,1007,"1502 of 3141"
"Clay County",31035,33.4,2093,"1539 of 3141"
"Holt County",31089,33.4,3440,"1545 of 3141"
"Thomas County",31171,33.4,215,"1551 of 3141"
"Merrick County",31121,33.5,2619,"1564 of 3141"
"Cheyenne County",31033,33.6,3365,"1644 of 3141"
"Jefferson County",31095,33.6,2448,"1675 of 3141"
"Saunders County",31155,33.7,7057,"1695 of 3141"
"Sioux County",31165,33.8,424,"1733 of 3141"
"Johnson County",31097,33.8,1756,"1741 of 3141"
"Webster County",31181,33.8,1215,"1747 of 3141"
"Blaine County",31009,33.9,170,"1801 of 3141"
"Morrill County",31123,33.9,1663,"1830 of 3141"
"Box Butte County",31013,33.9,3802,"1847 of 3141"
"Boyd County",31015,34.0,696,"1853 of 3141"
"Pawnee County",31133,34.1,922,"1920 of 3141"
"Fillmore County",31059,34.3,1922,"2013 of 3141"
"Rock County",31149,34.3,474,"2027 of 3141"
"Keith County",31101,34.4,2794,"2053 of 3141"
"Hamilton County",31081,34.4,3147,"2069 of 3141"
"Burt County",31021,34.6,2262,"2140 of 3141"
"Hayes County",31085,34.6,331,"2166 of 3141"
"Polk County",31143,34.8,1823,"2246 of 3141"
"Harlan County",31083,34.8,1206,"2250 of 3141"
"Sherman County",31163,34.8,1062,"2295 of 3141"
"Stanton County",31167,34.9,2101,"2318 of 3141"
"Chase County",31029,34.9,1328,"2328 of 3141"
"Richardson County",31147,35.0,2818,"2378 of 3141"
"Washington County",31177,35.1,7167,"2413 of 3141"
