------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Nebraska",31000,10.5,198300,"21 of 52"
"United States",00000,17.6,56510571,"N/A"
"Arthur County",31005,0.0,0,"3133 of 3141"
"Blaine County",31009,0.0,0,"3133 of 3141"
"Loup County",31115,0.0,0,"3133 of 3141"
"Thomas County",31171,0.6,4,"3039 of 3141"
"Wheeler County",31183,0.7,6,"3017 of 3141"
"Boyd County",31015,0.7,15,"3014 of 3141"
"Hitchcock County",31087,0.8,22,"3003 of 3141"
"McPherson County",31117,0.9,4,"2955 of 3141"
"Rock County",31149,0.9,13,"2949 of 3141"
"Keya Paha County",31103,1.1,8,"2893 of 3141"
"Brown County",31017,1.2,37,"2856 of 3141"
"Frontier County",31063,1.4,37,"2747 of 3141"
"Pierce County",31139,1.6,115,"2607 of 3141"
"Cedar County",31027,1.7,146,"2558 of 3141"
"Pawnee County",31133,1.8,49,"2485 of 3141"
"Grant County",31075,1.9,13,"2433 of 3141"
"Richardson County",31147,1.9,154,"2430 of 3141"
"Boone County",31011,2.0,106,"2398 of 3141"
"Greeley County",31077,2.0,49,"2369 of 3141"
"Gosper County",31073,2.0,41,"2361 of 3141"
"Sherman County",31163,2.0,62,"2360 of 3141"
"Franklin County",31061,2.1,62,"2354 of 3141"
"Garfield County",31071,2.1,41,"2331 of 3141"
"Saunders County",31155,2.1,442,"2320 of 3141"
"Gage County",31067,2.3,490,"2236 of 3141"
"Thayer County",31169,2.3,117,"2230 of 3141"
"Seward County",31159,2.5,422,"2131 of 3141"
"Howard County",31093,2.5,161,"2108 of 3141"
"Nance County",31125,2.5,90,"2107 of 3141"
"Knox County",31107,2.6,219,"2077 of 3141"
"Nuckolls County",31129,2.6,112,"2071 of 3141"
"Nemaha County",31127,2.6,183,"2068 of 3141"
"Burt County",31021,2.7,178,"2014 of 3141"
"Valley County",31175,2.8,119,"1969 of 3141"
"Washington County",31177,2.8,576,"1956 of 3141"
"Custer County",31041,2.9,315,"1916 of 3141"
"Hooker County",31091,2.9,20,"1911 of 3141"
"Logan County",31113,2.9,27,"1907 of 3141"
"Butler County",31023,3.0,246,"1869 of 3141"
"Cass County",31025,3.1,787,"1841 of 3141"
"Cherry County",31031,3.1,182,"1824 of 3141"
"Hamilton County",31081,3.2,290,"1811 of 3141"
"Antelope County",31003,3.2,204,"1806 of 3141"
"Jefferson County",31095,3.6,259,"1684 of 3141"
"Furnas County",31065,3.7,177,"1647 of 3141"
"Harlan County",31083,3.7,129,"1634 of 3141"
"Sioux County",31165,3.8,48,"1608 of 3141"
"Perkins County",31135,3.8,111,"1607 of 3141"
"Fillmore County",31059,3.9,216,"1600 of 3141"
"Garden County",31069,3.9,74,"1597 of 3141"
"Merrick County",31121,4.1,322,"1530 of 3141"
"Holt County",31089,4.3,440,"1478 of 3141"
"Webster County",31181,4.7,168,"1384 of 3141"
"Sheridan County",31161,4.7,245,"1383 of 3141"
"Polk County",31143,4.8,251,"1360 of 3141"
"Dawes County",31045,4.8,430,"1359 of 3141"
"York County",31185,4.9,678,"1340 of 3141"
"Red Willow County",31145,4.9,538,"1330 of 3141"
"Thurston County",31173,5.1,361,"1290 of 3141"
"Stanton County",31167,5.3,318,"1259 of 3141"
"Phelps County",31137,5.4,499,"1228 of 3141"
"Wayne County",31179,5.5,522,"1210 of 3141"
"Kearney County",31099,5.8,380,"1160 of 3141"
"Hayes County",31085,5.9,56,"1150 of 3141"
"Cheyenne County",31033,6.7,669,"1033 of 3141"
"Lancaster County",31109,6.7,20625,"1026 of 3141"
"Keith County",31101,6.8,549,"1025 of 3141"
"Otoe County",31131,7.6,1207,"924 of 3141"
"Deuel County",31049,7.8,148,"907 of 3141"
"Banner County",31007,7.8,57,"903 of 3141"
"Lincoln County",31111,8.2,2934,"879 of 3141"
"Buffalo County",31019,8.7,4231,"835 of 3141"
"Sarpy County",31153,8.7,15294,"829 of 3141"
"Kimball County",31105,8.8,324,"826 of 3141"
"Clay County",31035,8.9,555,"816 of 3141"
"Adams County",31001,9.4,2972,"778 of 3141"
"Cuming County",31039,9.9,894,"742 of 3141"
"Johnson County",31097,9.9,516,"740 of 3141"
"Chase County",31029,10.5,399,"705 of 3141"
"Dodge County",31053,11.8,4300,"637 of 3141"
"Box Butte County",31013,12.1,1354,"621 of 3141"
"Douglas County",31055,12.2,67246,"610 of 3141"
"Dixon County",31051,12.6,726,"590 of 3141"
