------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Nebraska",31000,8.0,38789,"17 of 52"
"United States",00000,10.5,8253388,"N/A"
"Wheeler County",31183,0.4,1,"4 of 3141"
"Garfield County",31071,2.7,16,"38 of 3141"
"Perkins County",31135,2.7,23,"41 of 3141"
"Phelps County",31137,2.9,70,"47 of 3141"
"Keya Paha County",31103,3.5,8,"83 of 3141"
"Sarpy County",31153,3.6,1685,"89 of 3141"
"Pierce County",31139,4.0,80,"119 of 3141"
"Box Butte County",31013,4.1,125,"139 of 3141"
"Arthur County",31005,4.2,4,"147 of 3141"
"Holt County",31089,4.2,123,"148 of 3141"
"Gage County",31067,4.5,269,"184 of 3141"
"Cass County",31025,4.5,314,"187 of 3141"
"Polk County",31143,4.6,67,"190 of 3141"
"Morrill County",31123,4.6,57,"191 of 3141"
"Cedar County",31027,4.7,111,"202 of 3141"
"Boone County",31011,4.8,72,"214 of 3141"
"Loup County",31115,4.8,9,"220 of 3141"
"Gosper County",31073,5.0,30,"235 of 3141"
"Seward County",31159,5.0,221,"238 of 3141"
"Saunders County",31155,5.1,287,"253 of 3141"
"Chase County",31029,5.1,56,"257 of 3141"
"Cherry County",31031,5.1,88,"258 of 3141"
"Cuming County",31039,5.1,127,"262 of 3141"
"Merrick County",31121,5.2,113,"279 of 3141"
"Banner County",31007,5.5,13,"317 of 3141"
"Jefferson County",31095,5.5,111,"325 of 3141"
"Butler County",31023,5.6,126,"330 of 3141"
"Rock County",31149,5.6,23,"344 of 3141"
"Hayes County",31085,5.7,17,"363 of 3141"
"Boyd County",31015,5.8,35,"378 of 3141"
"Nance County",31125,5.9,58,"405 of 3141"
"Nuckolls County",31129,6.0,75,"418 of 3141"
"Dundy County",31057,6.0,33,"430 of 3141"
"Hamilton County",31081,6.1,166,"437 of 3141"
"Nemaha County",31127,6.1,115,"442 of 3141"
"Kearney County",31099,6.3,109,"472 of 3141"
"Colfax County",31037,6.3,160,"473 of 3141"
"Platte County",31141,6.3,532,"475 of 3141"
"Blaine County",31009,6.6,10,"548 of 3141"
"York County",31185,6.7,247,"565 of 3141"
"Webster County",31181,6.8,62,"573 of 3141"
"Howard County",31093,6.9,121,"604 of 3141"
"Wayne County",31179,6.9,163,"613 of 3141"
"Washington County",31177,7.0,416,"644 of 3141"
"Clay County",31035,7.1,125,"651 of 3141"
"Otoe County",31131,7.1,304,"654 of 3141"
"Harlan County",31083,7.1,67,"659 of 3141"
"Johnson County",31097,7.1,89,"665 of 3141"
"Red Willow County",31145,7.2,202,"698 of 3141"
"Logan County",31113,7.4,19,"723 of 3141"
"Valley County",31175,7.4,101,"737 of 3141"
"Adams County",31001,7.5,583,"752 of 3141"
"Kimball County",31105,7.6,77,"785 of 3141"
"Sherman County",31163,7.6,67,"800 of 3141"
"Frontier County",31063,7.7,58,"809 of 3141"
"Cheyenne County",31033,7.7,197,"820 of 3141"
"Fillmore County",31059,7.7,120,"825 of 3141"
"Saline County",31151,7.7,266,"832 of 3141"
"Dixon County",31051,7.8,125,"841 of 3141"
"Custer County",31041,7.8,249,"850 of 3141"
"Sheridan County",31161,7.9,113,"859 of 3141"
"Greeley County",31077,7.9,53,"861 of 3141"
"Deuel County",31049,8.0,44,"887 of 3141"
"Antelope County",31003,8.1,156,"917 of 3141"
"Knox County",31107,8.4,202,"1008 of 3141"
"Dodge County",31053,8.5,847,"1026 of 3141"
"Furnas County",31065,8.6,111,"1056 of 3141"
"Garden County",31069,8.6,47,"1061 of 3141"
"Stanton County",31167,8.7,155,"1066 of 3141"
"Buffalo County",31019,8.7,1014,"1069 of 3141"
"Thayer County",31169,8.7,130,"1070 of 3141"
"Lancaster County",31109,8.7,6350,"1079 of 3141"
"Lincoln County",31111,9.2,905,"1192 of 3141"
"Burt County",31021,9.3,180,"1214 of 3141"
"Scotts Bluff County",31157,9.3,877,"1219 of 3141"
"Douglas County",31055,9.4,12391,"1237 of 3141"
"Hooker County",31091,9.5,19,"1268 of 3141"
"Thomas County",31171,10.0,19,"1413 of 3141"
"Keith County",31101,10.5,262,"1522 of 3141"
"Franklin County",31061,10.6,96,"1555 of 3141"
"Dawson County",31047,10.8,690,"1601 of 3141"
"Madison County",31119,10.8,998,"1621 of 3141"
"Sioux County",31165,10.8,41,"1625 of 3141"
"Richardson County",31147,10.9,257,"1629 of 3141"
"Hall County",31079,11.1,1716,"1690 of 3141"
"Hitchcock County",31087,11.2,84,"1702 of 3141"
"McPherson County",31117,11.7,16,"1823 of 3141"
"Grant County",31075,12.5,24,"1992 of 3141"
"Dawes County",31045,12.8,273,"2053 of 3141"
"Pawnee County",31133,14.3,113,"2349 of 3141"
"Brown County",31017,15.8,145,"2554 of 3141"
"Dakota County",31043,15.9,889,"2557 of 3141"
"Thurston County",31173,24.0,375,"3030 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
