------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Nebraska",31000,3.8,38881,"3 of 52"
"United States",00000,6.6,10560305,"N/A"
"McPherson County",31117,0.0,0,"1 of 3141"
"Sioux County",31165,0.0,0,"1 of 3141"
"Wheeler County",31183,0.4,2,"16 of 3141"
"Arthur County",31005,0.6,1,"21 of 3141"
"Brown County",31017,0.6,9,"22 of 3141"
"Loup County",31115,0.7,2,"23 of 3141"
"Phelps County",31137,0.7,34,"24 of 3141"
"Dawes County",31045,1.0,45,"33 of 3141"
"Hooker County",31091,1.0,3,"34 of 3141"
"Blaine County",31009,1.1,3,"40 of 3141"
"Perkins County",31135,1.1,16,"42 of 3141"
"Holt County",31089,1.1,62,"43 of 3141"
"Logan County",31113,1.1,5,"45 of 3141"
"Keya Paha County",31103,1.2,5,"48 of 3141"
"Thayer County",31169,1.2,31,"51 of 3141"
"Garden County",31069,1.4,13,"65 of 3141"
"Rock County",31149,1.4,11,"67 of 3141"
"Valley County",31175,1.5,36,"76 of 3141"
"Sheridan County",31161,1.5,41,"79 of 3141"
"Hayes County",31085,1.6,8,"83 of 3141"
"Cedar County",31027,1.6,76,"90 of 3141"
"Boyd County",31015,1.6,17,"92 of 3141"
"Sherman County",31163,1.7,26,"97 of 3141"
"Washington County",31177,1.7,188,"101 of 3141"
"Nuckolls County",31129,1.7,39,"106 of 3141"
"Boone County",31011,1.7,49,"108 of 3141"
"Greeley County",31077,1.7,21,"109 of 3141"
"Garfield County",31071,1.9,19,"125 of 3141"
"Antelope County",31003,1.9,61,"128 of 3141"
"Thomas County",31171,1.9,7,"129 of 3141"
"Hamilton County",31081,2.0,97,"139 of 3141"
"Nance County",31125,2.0,36,"143 of 3141"
"Harlan County",31083,2.0,33,"147 of 3141"
"Wayne County",31179,2.0,107,"148 of 3141"
"Webster County",31181,2.1,37,"151 of 3141"
"Jefferson County",31095,2.1,81,"160 of 3141"
"Johnson County",31097,2.2,44,"162 of 3141"
"Saunders County",31155,2.2,252,"169 of 3141"
"Chase County",31029,2.3,48,"182 of 3141"
"York County",31185,2.4,172,"188 of 3141"
"Fillmore County",31059,2.5,73,"205 of 3141"
"Cheyenne County",31033,2.5,142,"209 of 3141"
"Furnas County",31065,2.5,62,"216 of 3141"
"Custer County",31041,2.5,146,"217 of 3141"
"Seward County",31159,2.5,229,"222 of 3141"
"Cherry County",31031,2.6,87,"229 of 3141"
"Franklin County",31061,2.6,40,"230 of 3141"
"Cuming County",31039,2.6,129,"231 of 3141"
"Pawnee County",31133,2.7,33,"246 of 3141"
"Lincoln County",31111,2.7,481,"248 of 3141"
"Cass County",31025,2.8,387,"269 of 3141"
"Saline County",31151,2.8,206,"274 of 3141"
"Keith County",31101,2.8,120,"276 of 3141"
"Otoe County",31131,3.0,254,"319 of 3141"
"Clay County",31035,3.0,97,"328 of 3141"
"Stanton County",31167,3.1,101,"331 of 3141"
"Knox County",31107,3.1,135,"333 of 3141"
"Buffalo County",31019,3.1,872,"337 of 3141"
"Hitchcock County",31087,3.1,43,"341 of 3141"
"Banner County",31007,3.2,13,"356 of 3141"
"Madison County",31119,3.2,602,"357 of 3141"
"Frontier County",31063,3.2,42,"374 of 3141"
"Gage County",31067,3.2,373,"376 of 3141"
"Merrick County",31121,3.3,143,"391 of 3141"
"Sarpy County",31153,3.3,3168,"403 of 3141"
"Dixon County",31051,3.3,102,"404 of 3141"
"Kearney County",31099,3.4,121,"414 of 3141"
"Colfax County",31037,3.5,193,"448 of 3141"
"Burt County",31021,3.5,110,"457 of 3141"
"Dundy County",31057,3.6,35,"504 of 3141"
"Morrill County",31123,3.7,93,"525 of 3141"
"Pierce County",31139,3.8,146,"553 of 3141"
"Platte County",31141,3.9,711,"576 of 3141"
"Lancaster County",31109,3.9,6713,"581 of 3141"
"Richardson County",31147,4.0,163,"616 of 3141"
"Howard County",31093,4.0,139,"631 of 3141"
"Deuel County",31049,4.1,43,"659 of 3141"
"Adams County",31001,4.2,689,"670 of 3141"
"Dawson County",31047,4.2,533,"680 of 3141"
"Douglas County",31055,4.4,13164,"781 of 3141"
"Butler County",31023,4.4,191,"796 of 3141"
"Dodge County",31053,4.4,860,"803 of 3141"
"Grant County",31075,4.5,16,"838 of 3141"
"Gosper County",31073,4.6,54,"850 of 3141"
"Polk County",31143,4.6,131,"852 of 3141"
"Red Willow County",31145,4.9,290,"1010 of 3141"
"Box Butte County",31013,5.1,295,"1078 of 3141"
"Scotts Bluff County",31157,5.2,969,"1152 of 3141"
"Hall County",31079,5.4,1814,"1243 of 3141"
"Nemaha County",31127,5.7,208,"1380 of 3141"
"Kimball County",31105,6.0,110,"1521 of 3141"
"Dakota County",31043,7.3,800,"2147 of 3141"
