------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Nebraska",31000,12.0,220330,"15 of 52"
"United States",00000,14.6,45650345,"N/A"
"Wheeler County",31183,2.6,22,"2 of 3141"
"Perkins County",31135,4.8,137,"28 of 3141"
"Sarpy County",31153,5.3,9155,"51 of 3141"
"Gosper County",31073,5.7,113,"75 of 3141"
"Cass County",31025,6.3,1584,"104 of 3141"
"Pierce County",31139,6.8,479,"132 of 3141"
"Phelps County",31137,7.1,626,"153 of 3141"
"Hamilton County",31081,7.2,643,"157 of 3141"
"Garfield County",31071,7.2,137,"161 of 3141"
"Boone County",31011,7.3,381,"165 of 3141"
"Polk County",31143,7.6,389,"191 of 3141"
"Keya Paha County",31103,7.7,55,"198 of 3141"
"Butler County",31023,7.8,619,"217 of 3141"
"Cuming County",31039,8.0,705,"229 of 3141"
"Chase County",31029,8.0,297,"236 of 3141"
"Colfax County",31037,8.2,849,"263 of 3141"
"Platte County",31141,8.6,2777,"302 of 3141"
"Holt County",31089,8.9,899,"333 of 3141"
"Banner County",31007,8.9,65,"343 of 3141"
"Loup County",31115,8.9,48,"344 of 3141"
"Hayes County",31085,9.0,86,"351 of 3141"
"Saunders County",31155,9.0,1860,"354 of 3141"
"Cherry County",31031,9.0,515,"362 of 3141"
"Gage County",31067,9.1,1925,"372 of 3141"
"Seward County",31159,9.2,1436,"394 of 3141"
"Kearney County",31099,9.4,605,"428 of 3141"
"Morrill County",31123,9.4,444,"429 of 3141"
"Stanton County",31167,9.5,568,"448 of 3141"
"Cedar County",31027,9.7,810,"468 of 3141"
"Logan County",31113,9.7,88,"469 of 3141"
"Rock County",31149,9.7,128,"472 of 3141"
"York County",31185,9.7,1253,"484 of 3141"
"Washington County",31177,9.8,1959,"489 of 3141"
"Blaine County",31009,9.8,49,"491 of 3141"
"Greeley County",31077,9.8,236,"500 of 3141"
"Boyd County",31015,9.8,197,"505 of 3141"
"Fillmore County",31059,9.9,531,"518 of 3141"
"Merrick County",31121,10.0,759,"536 of 3141"
"Otoe County",31131,10.0,1555,"539 of 3141"
"Johnson County",31097,10.1,405,"556 of 3141"
"Howard County",31093,10.2,646,"560 of 3141"
"Dixon County",31051,10.3,585,"592 of 3141"
"Dundy County",31057,10.5,208,"630 of 3141"
"Jefferson County",31095,10.6,755,"632 of 3141"
"Sherman County",31163,10.7,318,"656 of 3141"
"Nuckolls County",31129,10.8,451,"669 of 3141"
"Box Butte County",31013,10.9,1195,"686 of 3141"
"Frontier County",31063,10.9,270,"689 of 3141"
"Cheyenne County",31033,10.9,1078,"694 of 3141"
"Arthur County",31005,10.9,46,"699 of 3141"
"Thayer County",31169,10.9,545,"700 of 3141"
"Deuel County",31049,11.1,207,"726 of 3141"
"Clay County",31035,11.1,682,"728 of 3141"
"Webster County",31181,11.3,395,"780 of 3141"
"Kimball County",31105,11.4,412,"790 of 3141"
"Nemaha County",31127,11.5,751,"821 of 3141"
"Valley County",31175,11.5,482,"826 of 3141"
"Antelope County",31003,11.5,729,"828 of 3141"
"Saline County",31151,11.6,1544,"840 of 3141"
"Red Willow County",31145,11.7,1220,"862 of 3141"
"Garden County",31069,11.7,218,"863 of 3141"
"Nance County",31125,11.7,405,"865 of 3141"
"Custer County",31041,11.9,1271,"910 of 3141"
"Burt County",31021,12.3,791,"966 of 3141"
"Knox County",31107,12.3,1018,"981 of 3141"
"Sioux County",31165,12.4,156,"995 of 3141"
"Adams County",31001,12.4,3698,"1001 of 3141"
"Thomas County",31171,12.4,80,"1002 of 3141"
"Lincoln County",31111,12.6,4373,"1031 of 3141"
"Harlan County",31083,12.9,441,"1088 of 3141"
"Keith County",31101,13.1,1051,"1128 of 3141"
"Dodge County",31053,13.2,4677,"1156 of 3141"
"Scotts Bluff County",31157,13.2,4698,"1161 of 3141"
"Franklin County",31061,13.3,391,"1183 of 3141"
"Douglas County",31055,13.5,72562,"1236 of 3141"
"Wayne County",31179,13.5,1102,"1242 of 3141"
"Hall County",31079,13.5,8133,"1243 of 3141"
"Furnas County",31065,13.5,636,"1244 of 3141"
"Dawson County",31047,13.7,3214,"1264 of 3141"
"Lancaster County",31109,14.0,40887,"1335 of 3141"
"Hitchcock County",31087,14.2,398,"1388 of 3141"
"Dawes County",31045,14.3,1129,"1407 of 3141"
"Buffalo County",31019,14.4,6669,"1424 of 3141"
"Sheridan County",31161,15.8,816,"1689 of 3141"
"McPherson County",31117,16.0,69,"1736 of 3141"
"Brown County",31017,16.0,480,"1740 of 3141"
"Madison County",31119,16.0,5440,"1746 of 3141"
"Richardson County",31147,16.3,1289,"1794 of 3141"
"Dakota County",31043,16.8,3408,"1909 of 3141"
"Hooker County",31091,17.4,114,"2024 of 3141"
"Pawnee County",31133,20.5,546,"2479 of 3141"
"Grant County",31075,21.1,138,"2548 of 3141"
"Thurston County",31173,30.5,2124,"3042 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
