------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Nebraska",31000,50.2,950374,"12 of 52"
"United States",00000,50.8,162985654,"N/A"
"Johnson County",31097,40.6,2113,"44 of 3141"
"Thomas County",31171,46.5,299,"198 of 3141"
"Wheeler County",31183,47.5,402,"287 of 3141"
"Harlan County",31083,47.8,1658,"327 of 3141"
"Colfax County",31037,47.9,5089,"349 of 3141"
"Hayes County",31085,48.4,463,"436 of 3141"
"Sioux County",31165,48.5,609,"459 of 3141"
"Logan County",31113,48.7,448,"518 of 3141"
"Clay County",31035,48.8,3054,"523 of 3141"
"McPherson County",31117,48.8,211,"552 of 3141"
"Dawson County",31047,48.9,11690,"555 of 3141"
"Keya Paha County",31103,48.9,352,"563 of 3141"
"Saline County",31151,48.9,7005,"570 of 3141"
"Red Willow County",31145,48.9,5318,"579 of 3141"
"Blaine County",31009,49.0,246,"607 of 3141"
"Cedar County",31027,49.2,4212,"666 of 3141"
"Perkins County",31135,49.2,1430,"682 of 3141"
"Grant County",31075,49.3,336,"691 of 3141"
"Wayne County",31179,49.3,4637,"702 of 3141"
"Keith County",31101,49.3,4008,"713 of 3141"
"Platte County",31141,49.3,16213,"719 of 3141"
"Boyd County",31015,49.3,1011,"735 of 3141"
"Box Butte County",31013,49.4,5529,"755 of 3141"
"Adams County",31001,49.4,15583,"756 of 3141"
"Frontier County",31063,49.5,1300,"838 of 3141"
"Cuming County",31039,49.6,4482,"857 of 3141"
"Butler County",31023,49.6,4020,"868 of 3141"
"Dixon County",31051,49.6,2860,"878 of 3141"
"Hall County",31079,49.6,30390,"890 of 3141"
"Seward County",31159,49.7,8463,"912 of 3141"
"Saunders County",31155,49.7,10407,"923 of 3141"
"Howard County",31093,49.7,3173,"942 of 3141"
"Phelps County",31137,49.8,4560,"992 of 3141"
"Boone County",31011,49.8,2666,"996 of 3141"
"Cass County",31025,49.8,12700,"1010 of 3141"
"Lancaster County",31109,49.8,152569,"1030 of 3141"
"Garden County",31069,49.8,953,"1041 of 3141"
"Morrill County",31123,49.8,2443,"1052 of 3141"
"Richardson County",31147,49.8,4009,"1058 of 3141"
"Antelope County",31003,49.8,3193,"1070 of 3141"
"Franklin County",31061,49.9,1505,"1076 of 3141"
"Pierce County",31139,49.9,3577,"1079 of 3141"
"Holt County",31089,49.9,5136,"1112 of 3141"
"Dawes County",31045,49.9,4477,"1115 of 3141"
"Nuckolls County",31129,49.9,2155,"1121 of 3141"
"Stanton County",31167,50.0,3007,"1157 of 3141"
"Gage County",31067,50.0,10816,"1192 of 3141"
"Sarpy County",31153,50.0,87620,"1210 of 3141"
"Fillmore County",31059,50.0,2803,"1220 of 3141"
"Rock County",31149,50.0,691,"1228 of 3141"
"Hamilton County",31081,50.1,4583,"1279 of 3141"
"Buffalo County",31019,50.1,24467,"1286 of 3141"
"Kimball County",31105,50.1,1848,"1293 of 3141"
"Sherman County",31163,50.2,1530,"1372 of 3141"
"Merrick County",31121,50.2,3931,"1382 of 3141"
"Dundy County",31057,50.2,1013,"1393 of 3141"
"Hitchcock County",31087,50.2,1437,"1411 of 3141"
"Chase County",31029,50.2,1911,"1421 of 3141"
"Madison County",31119,50.3,17625,"1440 of 3141"
"Sheridan County",31161,50.3,2637,"1489 of 3141"
"Valley County",31175,50.4,2141,"1522 of 3141"
"Thurston County",31173,50.4,3553,"1530 of 3141"
"Thayer County",31169,50.4,2586,"1553 of 3141"
"Cherry County",31031,50.4,2921,"1602 of 3141"
"Washington County",31177,50.4,10296,"1612 of 3141"
"Garfield County",31071,50.5,988,"1632 of 3141"
"Custer County",31041,50.6,5479,"1758 of 3141"
"Nance County",31125,50.6,1805,"1771 of 3141"
"Greeley County",31077,50.6,1233,"1825 of 3141"
"Nemaha County",31127,50.6,3565,"1856 of 3141"
"Burt County",31021,50.6,3315,"1869 of 3141"
"Kearney County",31099,50.7,3318,"1921 of 3141"
"Webster County",31181,50.7,1823,"1924 of 3141"
"Douglas County",31055,50.7,278789,"1956 of 3141"
"Lincoln County",31111,50.8,18079,"2085 of 3141"
"Polk County",31143,50.8,2666,"2094 of 3141"
"Dodge County",31053,50.8,18596,"2098 of 3141"
"York County",31185,50.9,7037,"2133 of 3141"
"Dakota County",31043,50.9,10455,"2182 of 3141"
"Otoe County",31131,51.0,8092,"2225 of 3141"
"Furnas County",31065,51.1,2458,"2308 of 3141"
"Gosper County",31073,51.1,1031,"2314 of 3141"
"Cheyenne County",31033,51.1,5113,"2323 of 3141"
"Banner County",31007,51.1,372,"2347 of 3141"
"Knox County",31107,51.2,4349,"2439 of 3141"
"Pawnee County",31133,51.3,1387,"2518 of 3141"
"Arthur County",31005,51.5,217,"2684 of 3141"
"Loup County",31115,51.6,277,"2707 of 3141"
"Scotts Bluff County",31157,51.6,18850,"2733 of 3141"
"Jefferson County",31095,51.7,3765,"2794 of 3141"
"Deuel County",31049,51.9,986,"2855 of 3141"
"Brown County",31017,52.0,1590,"2892 of 3141"
"Hooker County",31091,53.9,369,"3116 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
