------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Nebraska",31000,2.7,50176,"23 of 51"
"Arthur County",31005,0.0,0,"1 of 3140"
"Blaine County",31009,0.0,0,"1 of 3140"
"Garfield County",31071,0.0,0,"1 of 3140"
"Brown County",31017,0.2,6,"45 of 3140"
"Butler County",31023,0.2,19,"57 of 3140"
"Keya Paha County",31103,0.3,2,"72 of 3140"
"Wheeler County",31183,0.4,3,"108 of 3140"
"Hamilton County",31081,0.5,45,"172 of 3140"
"Cuming County",31039,0.5,46,"191 of 3140"
"Dixon County",31051,0.6,33,"229 of 3140"
"Kearney County",31099,0.6,42,"284 of 3140"
"Sherman County",31163,0.7,20,"300 of 3140"
"Boyd County",31015,0.8,16,"416 of 3140"
"Fillmore County",31059,0.8,46,"455 of 3140"
"Pierce County",31139,0.9,60,"474 of 3140"
"Grant County",31075,0.9,6,"513 of 3140"
"Gosper County",31073,0.9,18,"531 of 3140"
"Howard County",31093,0.9,59,"574 of 3140"
"Merrick County",31121,0.9,73,"590 of 3140"
"McPherson County",31117,1.0,4,"594 of 3140"
"Valley County",31175,1.0,40,"600 of 3140"
"Nance County",31125,1.0,34,"607 of 3140"
"Burt County",31021,1.1,69,"715 of 3140"
"Furnas County",31065,1.1,53,"780 of 3140"
"Colfax County",31037,1.2,119,"842 of 3140"
"Polk County",31143,1.2,60,"843 of 3140"
"Cass County",31025,1.2,301,"889 of 3140"
"Boone County",31011,1.2,64,"900 of 3140"
"Richardson County",31147,1.2,96,"905 of 3140"
"Sioux County",31165,1.2,15,"913 of 3140"
"Saunders County",31155,1.2,253,"925 of 3140"
"Johnson County",31097,1.3,66,"984 of 3140"
"Frontier County",31063,1.3,34,"1018 of 3140"
"Thayer County",31169,1.4,69,"1079 of 3140"
"Platte County",31141,1.4,469,"1190 of 3140"
"Box Butte County",31013,1.5,163,"1228 of 3140"
"Antelope County",31003,1.5,94,"1234 of 3140"
"Holt County",31089,1.6,164,"1386 of 3140"
"Clay County",31035,1.6,101,"1400 of 3140"
