------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Nebraska",31000,24.8,469819,"5 of 52"
"Hooker County",31091,15.5,106,"3075 of 3141"
"Rock County",31149,16.7,230,"3012 of 3141"
"Wheeler County",31183,18.2,154,"2866 of 3141"
"Dawes County",31045,18.2,1635,"2861 of 3141"
"Garden County",31069,18.8,359,"2781 of 3141"
"Johnson County",31097,18.8,978,"2769 of 3141"
"Franklin County",31061,19.2,581,"2692 of 3141"
"Loup County",31115,19.4,104,"2655 of 3141"
"Wayne County",31179,19.5,1836,"2611 of 3141"
"Deuel County",31049,19.5,371,"2609 of 3141"
"Gosper County",31073,19.7,398,"2562 of 3141"
"Garfield County",31071,19.7,386,"2561 of 3141"
"Nuckolls County",31129,19.9,861,"2508 of 3141"
"Sioux County",31165,20.0,251,"2494 of 3141"
"Keith County",31101,20.0,1628,"2481 of 3141"
"Keya Paha County",31103,20.1,145,"2452 of 3141"
"Hayes County",31085,20.2,193,"2442 of 3141"
"Frontier County",31063,20.4,535,"2371 of 3141"
"Fillmore County",31059,20.5,1148,"2329 of 3141"
"Thomas County",31171,20.5,132,"2323 of 3141"
"Brown County",31017,20.7,632,"2285 of 3141"
"Pawnee County",31133,20.7,561,"2257 of 3141"
"Richardson County",31147,20.9,1684,"2191 of 3141"
"Nemaha County",31127,21.0,1477,"2169 of 3141"
"Blaine County",31009,21.1,106,"2117 of 3141"
"Sherman County",31163,21.2,647,"2078 of 3141"
"Thayer County",31169,21.4,1097,"2016 of 3141"
"Jefferson County",31095,21.5,1565,"1976 of 3141"
"Valley County",31175,21.6,920,"1936 of 3141"
"Gage County",31067,22.1,4791,"1703 of 3141"
"Cherry County",31031,22.3,1289,"1652 of 3141"
"Harlan County",31083,22.3,773,"1629 of 3141"
"Sheridan County",31161,22.4,1172,"1599 of 3141"
"Burt County",31021,22.4,1464,"1595 of 3141"
"Hitchcock County",31087,22.4,641,"1570 of 3141"
"McPherson County",31117,22.5,97,"1558 of 3141"
"Merrick County",31121,22.5,1765,"1526 of 3141"
"York County",31185,22.6,3132,"1481 of 3141"
"Webster County",31181,22.7,818,"1439 of 3141"
"Furnas County",31065,22.8,1098,"1407 of 3141"
"Nance County",31125,22.8,815,"1395 of 3141"
"Boyd County",31015,22.8,468,"1391 of 3141"
"Grant County",31075,22.9,156,"1378 of 3141"
"Chase County",31029,23.0,875,"1315 of 3141"
"Red Willow County",31145,23.0,2501,"1314 of 3141"
"Antelope County",31003,23.0,1474,"1312 of 3141"
"Lancaster County",31109,23.0,70530,"1304 of 3141"
"Kimball County",31105,23.1,851,"1280 of 3141"
"Buffalo County",31019,23.2,11317,"1243 of 3141"
"Boone County",31011,23.2,1243,"1228 of 3141"
"Polk County",31143,23.2,1218,"1218 of 3141"
"Custer County",31041,23.3,2521,"1199 of 3141"
"Seward County",31159,23.5,4013,"1083 of 3141"
"Banner County",31007,23.6,172,"1044 of 3141"
"Dodge County",31053,23.6,8642,"1043 of 3141"
"Perkins County",31135,23.8,690,"989 of 3141"
"Holt County",31089,23.8,2446,"987 of 3141"
"Adams County",31001,23.8,7523,"952 of 3141"
"Cheyenne County",31033,23.8,2387,"951 of 3141"
"Otoe County",31131,23.9,3799,"912 of 3141"
"Butler County",31023,23.9,1941,"903 of 3141"
"Morrill County",31123,24.0,1175,"896 of 3141"
"Greeley County",31077,24.0,584,"888 of 3141"
"Lincoln County",31111,24.0,8548,"863 of 3141"
"Washington County",31177,24.1,4918,"844 of 3141"
"Knox County",31107,24.1,2050,"822 of 3141"
"Clay County",31035,24.1,1512,"816 of 3141"
"Phelps County",31137,24.2,2222,"767 of 3141"
"Hamilton County",31081,24.3,2219,"766 of 3141"
"Howard County",31093,24.3,1551,"753 of 3141"
"Saline County",31151,24.5,3505,"699 of 3141"
"Cass County",31025,24.5,6246,"692 of 3141"
"Cuming County",31039,24.5,2215,"689 of 3141"
"Dundy County",31057,24.6,496,"661 of 3141"
"Kearney County",31099,24.7,1617,"632 of 3141"
"Pierce County",31139,24.8,1781,"596 of 3141"
"Madison County",31119,24.8,8712,"585 of 3141"
"Scotts Bluff County",31157,24.9,9079,"577 of 3141"
"Saunders County",31155,25.0,5241,"538 of 3141"
"Cedar County",31027,25.1,2148,"521 of 3141"
"Dixon County",31051,25.2,1452,"500 of 3141"
"Box Butte County",31013,25.5,2860,"433 of 3141"
"Douglas County",31055,25.8,141885,"386 of 3141"
