------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Nebraska",31000,89.5,1695621,"21 of 52"
"Colfax County",31037,55.2,5862,"124 of 3141"
"Dakota County",31043,61.6,12640,"162 of 3141"
"Dawson County",31047,66.9,15998,"202 of 3141"
"Hall County",31079,73.2,44849,"266 of 3141"
"Saline County",31151,75.7,10841,"297 of 3141"
"Scotts Bluff County",31157,76.6,27964,"314 of 3141"
"Platte County",31141,82.4,27091,"438 of 3141"
"Morrill County",31123,84.6,4148,"500 of 3141"
"Dundy County",31057,85.4,1722,"525 of 3141"
"Madison County",31119,85.5,29965,"529 of 3141"
"Dixon County",31051,87.4,5039,"590 of 3141"
"Douglas County",31055,87.8,482460,"610 of 3141"
"Box Butte County",31013,87.9,9846,"621 of 3141"
"Dodge County",31053,88.2,32276,"637 of 3141"
"Chase County",31029,89.5,3404,"705 of 3141"
"Johnson County",31097,90.1,4684,"740 of 3141"
"Cuming County",31039,90.1,8145,"742 of 3141"
"Adams County",31001,90.6,28592,"778 of 3141"
"Clay County",31035,91.1,5709,"816 of 3141"
"Kimball County",31105,91.2,3364,"826 of 3141"
"Sarpy County",31153,91.3,159894,"829 of 3141"
"Buffalo County",31019,91.3,44603,"835 of 3141"
"Lincoln County",31111,91.8,32635,"879 of 3141"
