------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Nebraska",31000,2.3,43732,"31 of 52"
"United States",00000,5.5,17756436,"N/A"
"Arthur County",31005,0.0,0,"2927 of 3141"
"Banner County",31007,0.0,0,"2927 of 3141"
"Chase County",31029,0.0,0,"2927 of 3141"
"Dundy County",31057,0.0,0,"2927 of 3141"
"Grant County",31075,0.0,0,"2927 of 3141"
"Hayes County",31085,0.0,0,"2927 of 3141"
"Hitchcock County",31087,0.0,0,"2927 of 3141"
"Hooker County",31091,0.0,0,"2927 of 3141"
"Logan County",31113,0.0,0,"2927 of 3141"
"Loup County",31115,0.0,0,"2927 of 3141"
"McPherson County",31117,0.0,0,"2927 of 3141"
"Pawnee County",31133,0.0,0,"2927 of 3141"
"Perkins County",31135,0.0,0,"2927 of 3141"
"Rock County",31149,0.0,0,"2927 of 3141"
"Thayer County",31169,0.0,0,"2927 of 3141"
"Thomas County",31171,0.0,0,"2927 of 3141"
"Valley County",31175,0.0,0,"2927 of 3141"
"Polk County",31143,0.1,3,"2860 of 3141"
"Morrill County",31123,0.1,3,"2853 of 3141"
"Hamilton County",31081,0.1,6,"2847 of 3141"
"Dawson County",31047,0.1,18,"2830 of 3141"
"Frontier County",31063,0.1,2,"2827 of 3141"
"Cedar County",31027,0.1,8,"2795 of 3141"
"Merrick County",31121,0.1,8,"2773 of 3141"
"Wheeler County",31183,0.1,1,"2743 of 3141"
"Jefferson County",31095,0.1,10,"2705 of 3141"
"Dixon County",31051,0.1,8,"2702 of 3141"
"Keya Paha County",31103,0.1,1,"2701 of 3141"
"Nance County",31125,0.1,5,"2700 of 3141"
"Howard County",31093,0.1,9,"2696 of 3141"
"Fillmore County",31059,0.2,9,"2667 of 3141"
"Phelps County",31137,0.2,15,"2658 of 3141"
"Richardson County",31147,0.2,14,"2636 of 3141"
"Furnas County",31065,0.2,10,"2563 of 3141"
"Franklin County",31061,0.2,7,"2524 of 3141"
"Sioux County",31165,0.2,3,"2512 of 3141"
"Kearney County",31099,0.2,16,"2500 of 3141"
"York County",31185,0.3,35,"2483 of 3141"
"Boone County",31011,0.3,14,"2468 of 3141"
"Stanton County",31167,0.3,16,"2461 of 3141"
"Red Willow County",31145,0.3,31,"2421 of 3141"
"Washington County",31177,0.3,61,"2395 of 3141"
"Garfield County",31071,0.3,6,"2378 of 3141"
"Saunders County",31155,0.3,65,"2366 of 3141"
"Deuel County",31049,0.3,6,"2352 of 3141"
"Clay County",31035,0.3,21,"2311 of 3141"
"Cuming County",31039,0.3,31,"2290 of 3141"
"Cherry County",31031,0.3,20,"2285 of 3141"
"Harlan County",31083,0.3,12,"2283 of 3141"
"Antelope County",31003,0.4,23,"2262 of 3141"
"Brown County",31017,0.4,12,"2167 of 3141"
"Greeley County",31077,0.4,10,"2125 of 3141"
"Knox County",31107,0.4,36,"2088 of 3141"
"Burt County",31021,0.4,28,"2075 of 3141"
"Pierce County",31139,0.4,32,"2026 of 3141"
"Wayne County",31179,0.5,45,"1937 of 3141"
"Butler County",31023,0.5,39,"1929 of 3141"
