------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Nebraska",31000,83.8,1566033,"36 of 51"
"United States",00000,85.4,270854872,"N/A"
"Dawes County",31045,74.9,6656,"3086 of 3140"
"Dundy County",31057,75.5,1495,"3080 of 3140"
"Buffalo County",31019,75.9,36645,"3078 of 3140"
"Thomas County",31171,78.2,503,"3024 of 3140"
"Lancaster County",31109,79.1,238975,"2988 of 3140"
"Wayne County",31179,80.4,7485,"2899 of 3140"
"Nemaha County",31127,81.0,5637,"2849 of 3140"
"Kimball County",31105,82.5,3004,"2694 of 3140"
"Gosper County",31073,82.6,1659,"2672 of 3140"
"Blaine County",31009,82.7,410,"2667 of 3140"
"Logan County",31113,82.8,739,"2653 of 3140"
"Douglas County",31055,82.8,448519,"2649 of 3140"
"Madison County",31119,82.8,28698,"2645 of 3140"
"Red Willow County",31145,83.5,8988,"2540 of 3140"
"Deuel County",31049,83.7,1579,"2499 of 3140"
"Seward County",31159,83.7,14042,"2487 of 3140"
"Hall County",31079,83.9,50748,"2460 of 3140"
"Sarpy County",31153,84.2,145280,"2400 of 3140"
"Keith County",31101,84.5,6797,"2340 of 3140"
"Adams County",31001,84.6,26381,"2307 of 3140"
"York County",31185,84.7,11600,"2283 of 3140"
"Dodge County",31053,84.9,30679,"2230 of 3140"
"Dawson County",31047,85.4,20095,"2107 of 3140"
"Saline County",31151,85.4,12155,"2106 of 3140"
"Lincoln County",31111,85.6,30043,"2057 of 3140"
"Frontier County",31063,86.2,2243,"1901 of 3140"
"Cheyenne County",31033,86.2,8487,"1896 of 3140"
"Scotts Bluff County",31157,86.2,31064,"1870 of 3140"
"Cherry County",31031,86.4,4951,"1829 of 3140"
"Kearney County",31099,86.5,5612,"1807 of 3140"
"Arthur County",31005,86.5,364,"1805 of 3140"
"Nuckolls County",31129,86.6,3693,"1756 of 3140"
"Merrick County",31121,86.7,6663,"1721 of 3140"
"Box Butte County",31013,86.8,9550,"1676 of 3140"
"Valley County",31175,86.8,3626,"1674 of 3140"
"Greeley County",31077,87.0,2091,"1622 of 3140"
"Rock County",31149,87.0,1188,"1604 of 3140"
"Phelps County",31137,87.0,7932,"1601 of 3140"
"Clay County",31035,87.2,5416,"1561 of 3140"
"Johnson County",31097,87.2,4505,"1555 of 3140"
"Perkins County",31135,87.2,2513,"1536 of 3140"
"Platte County",31141,87.3,28444,"1491 of 3140"
"Jefferson County",31095,87.4,6263,"1487 of 3140"
"Custer County",31041,87.4,9363,"1462 of 3140"
"Otoe County",31131,87.4,13673,"1458 of 3140"
"Morrill County",31123,87.5,4276,"1436 of 3140"
"Thurston County",31173,87.7,6095,"1379 of 3140"
