------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Nebraska",31000,0.5,9089,"20 of 51"
"United States",00000,0.7,2074097,"N/A"
"Banner County",31007,0.0,0,"1 of 3140"
"Blaine County",31009,0.0,0,"1 of 3140"
"Box Butte County",31013,0.0,0,"1 of 3140"
"Burt County",31021,0.0,0,"1 of 3140"
"Cuming County",31039,0.0,0,"1 of 3140"
"Franklin County",31061,0.0,0,"1 of 3140"
"Garfield County",31071,0.0,0,"1 of 3140"
"Gosper County",31073,0.0,0,"1 of 3140"
"Grant County",31075,0.0,0,"1 of 3140"
"Harlan County",31083,0.0,0,"1 of 3140"
"Hooker County",31091,0.0,0,"1 of 3140"
"Jefferson County",31095,0.0,0,"1 of 3140"
"Kearney County",31099,0.0,0,"1 of 3140"
"Keya Paha County",31103,0.0,0,"1 of 3140"
"Logan County",31113,0.0,0,"1 of 3140"
"Loup County",31115,0.0,0,"1 of 3140"
"McPherson County",31117,0.0,0,"1 of 3140"
"Morrill County",31123,0.0,0,"1 of 3140"
"Nance County",31125,0.0,0,"1 of 3140"
"Pierce County",31139,0.0,0,"1 of 3140"
"Richardson County",31147,0.0,0,"1 of 3140"
"Sheridan County",31161,0.0,0,"1 of 3140"
"Sioux County",31165,0.0,0,"1 of 3140"
"Stanton County",31167,0.0,0,"1 of 3140"
"Wayne County",31179,0.0,0,"1 of 3140"
"Wheeler County",31183,0.0,0,"1 of 3140"
"Cherry County",31031,0.0,1,"404 of 3140"
"Valley County",31175,0.0,1,"437 of 3140"
"Howard County",31093,0.0,2,"474 of 3140"
"Dixon County",31051,0.0,2,"497 of 3140"
"Frontier County",31063,0.0,1,"515 of 3140"
"Thayer County",31169,0.0,2,"518 of 3140"
"Garden County",31069,0.1,1,"594 of 3140"
