------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Nebraska",31000,87.8,1663612,"9 of 52"
"Thurston County",31173,39.7,2802,"3044 of 3141"
"Dakota County",31043,71.1,14604,"2531 of 3141"
"Douglas County",31055,79.8,438788,"2227 of 3141"
"Sheridan County",31161,83.3,4367,"2046 of 3141"
"Johnson County",31097,86.1,4476,"1910 of 3141"
"Lancaster County",31109,86.5,265051,"1876 of 3141"
"Knox County",31107,86.8,7374,"1854 of 3141"
"Colfax County",31037,87.6,9303,"1792 of 3141"
"Sarpy County",31153,88.6,155145,"1688 of 3141"
"Dawes County",31045,88.7,7954,"1675 of 3141"
"Hall County",31079,89.2,54618,"1627 of 3141"
"Dawson County",31047,89.8,21474,"1576 of 3141"
"Saline County",31151,90.5,12966,"1512 of 3141"
"Cherry County",31031,90.9,5263,"1471 of 3141"
"Madison County",31119,91.6,32121,"1376 of 3141"
"Box Butte County",31013,92.0,10304,"1318 of 3141"
"Scotts Bluff County",31157,92.4,33718,"1276 of 3141"
"Buffalo County",31019,93.0,45402,"1199 of 3141"
"Cuming County",31039,93.3,8429,"1143 of 3141"
"Adams County",31001,93.3,29445,"1138 of 3141"
"Richardson County",31147,93.3,7505,"1136 of 3141"
"Sioux County",31165,93.8,1178,"1045 of 3141"
"Dodge County",31053,94.2,34443,"993 of 3141"
"Kimball County",31105,94.6,3488,"906 of 3141"
"Dixon County",31051,94.8,5463,"869 of 3141"
"York County",31185,94.8,13118,"859 of 3141"
"Wayne County",31179,95.1,8947,"810 of 3141"
"Cheyenne County",31033,95.2,9530,"788 of 3141"
"Otoe County",31131,95.3,15134,"769 of 3141"
"Burt County",31021,95.4,6245,"760 of 3141"
"Morrill County",31123,95.4,4679,"753 of 3141"
"Lincoln County",31111,95.5,33965,"737 of 3141"
"Platte County",31141,95.5,31395,"734 of 3141"
"Merrick County",31121,95.5,7477,"732 of 3141"
"Boyd County",31015,95.5,1957,"729 of 3141"
"Webster County",31181,95.7,3441,"695 of 3141"
"Logan County",31113,95.8,880,"667 of 3141"
"Deuel County",31049,95.8,1822,"648 of 3141"
"Hamilton County",31081,95.9,8775,"629 of 3141"
"Harlan County",31083,96.3,3340,"529 of 3141"
"Nemaha County",31127,96.4,6785,"508 of 3141"
"Washington County",31177,96.4,19687,"491 of 3141"
"Keith County",31101,96.5,7846,"476 of 3141"
"Gage County",31067,96.5,20883,"469 of 3141"
"Seward County",31159,96.6,16457,"464 of 3141"
"Cass County",31025,96.6,24648,"439 of 3141"
"Pawnee County",31133,96.7,2614,"418 of 3141"
"Butler County",31023,96.7,7838,"410 of 3141"
"Howard County",31093,96.7,6176,"405 of 3141"
"Custer County",31041,96.7,10482,"402 of 3141"
"Furnas County",31065,96.7,4657,"400 of 3141"
"Jefferson County",31095,96.8,7040,"394 of 3141"
"Clay County",31035,96.8,6063,"384 of 3141"
"Phelps County",31137,96.9,8882,"343 of 3141"
"Banner County",31007,97.0,706,"332 of 3141"
"Red Willow County",31145,97.1,10551,"309 of 3141"
"Fillmore County",31059,97.1,5439,"304 of 3141"
"Polk County",31143,97.2,5095,"279 of 3141"
"Stanton County",31167,97.2,5853,"264 of 3141"
"Holt County",31089,97.3,10015,"243 of 3141"
"Saunders County",31155,97.3,20389,"241 of 3141"
"Brown County",31017,97.4,2979,"214 of 3141"
"Thayer County",31169,97.4,5001,"209 of 3141"
"Pierce County",31139,97.6,7002,"171 of 3141"
"Antelope County",31003,97.6,6252,"170 of 3141"
"Arthur County",31005,97.6,411,"165 of 3141"
"Thomas County",31171,97.7,628,"158 of 3141"
"McPherson County",31117,97.7,422,"156 of 3141"
"Kearney County",31099,97.8,6401,"139 of 3141"
"Keya Paha County",31103,97.8,704,"136 of 3141"
"Frontier County",31063,97.8,2566,"134 of 3141"
"Greeley County",31077,97.8,2383,"126 of 3141"
"Garden County",31069,97.9,1872,"121 of 3141"
"Nuckolls County",31129,97.9,4227,"112 of 3141"
"Rock County",31149,98.0,1353,"98 of 3141"
"Blaine County",31009,98.0,492,"89 of 3141"
"Gosper County",31073,98.1,1980,"82 of 3141"
"Grant County",31075,98.1,669,"78 of 3141"
"Garfield County",31071,98.1,1921,"77 of 3141"
"Cedar County",31027,98.2,8403,"68 of 3141"
"Franklin County",31061,98.2,2964,"67 of 3141"
"Sherman County",31163,98.4,2998,"52 of 3141"
"Valley County",31175,98.4,4186,"51 of 3141"
"Boone County",31011,98.5,5274,"50 of 3141"
"Hooker County",31091,98.8,676,"33 of 3141"
"Wheeler County",31183,98.9,837,"28 of 3141"
"Dundy County",31057,99.0,1996,"27 of 3141"
"Perkins County",31135,99.1,2877,"24 of 3141"
"Nance County",31125,99.2,3541,"22 of 3141"
"Chase County",31029,99.2,3774,"21 of 3141"
"Hayes County",31085,99.3,950,"18 of 3141"
"Hitchcock County",31087,99.5,2846,"10 of 3141"
"Loup County",31115,99.6,535,"8 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
