------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Nebraska",31000,3.7,68648,"38 of 51"
"Banner County",31007,0.4,3,"14 of 3140"
"Richardson County",31147,1.0,80,"51 of 3140"
"Box Butte County",31013,1.2,137,"84 of 3140"
"Dakota County",31043,1.3,263,"100 of 3140"
"Sherman County",31163,1.3,40,"107 of 3140"
"Kimball County",31105,1.4,51,"122 of 3140"
"Scotts Bluff County",31157,1.6,580,"184 of 3140"
"Sioux County",31165,1.6,20,"188 of 3140"
"Garden County",31069,1.6,31,"196 of 3140"
"McPherson County",31117,1.7,7,"202 of 3140"
"Custer County",31041,1.7,183,"217 of 3140"
"Cheyenne County",31033,1.7,171,"229 of 3140"
"Chase County",31029,1.8,66,"236 of 3140"
"Sheridan County",31161,2.1,107,"362 of 3140"
"Hitchcock County",31087,2.2,62,"448 of 3140"
"Pawnee County",31133,2.3,61,"487 of 3140"
"Platte County",31141,2.3,755,"510 of 3140"
"Douglas County",31055,2.4,12876,"543 of 3140"
"Boyd County",31015,2.5,51,"632 of 3140"
"Thurston County",31173,2.5,176,"649 of 3140"
"Polk County",31143,2.6,132,"664 of 3140"
"Brown County",31017,2.6,78,"670 of 3140"
"Dixon County",31051,2.8,158,"830 of 3140"
"Colfax County",31037,2.9,297,"909 of 3140"
"Hooker County",31091,2.9,20,"929 of 3140"
"Knox County",31107,2.9,246,"933 of 3140"
"Red Willow County",31145,3.1,331,"1022 of 3140"
"Howard County",31093,3.1,194,"1028 of 3140"
"Thayer County",31169,3.1,160,"1079 of 3140"
"Butler County",31023,3.2,257,"1138 of 3140"
"Harlan County",31083,3.3,113,"1210 of 3140"
"Lincoln County",31111,3.4,1183,"1240 of 3140"
"Grant County",31075,3.4,23,"1257 of 3140"
"Holt County",31089,3.4,346,"1261 of 3140"
"Nance County",31125,3.4,121,"1275 of 3140"
"Perkins County",31135,3.4,99,"1286 of 3140"
"Hall County",31079,3.5,2128,"1359 of 3140"
"Franklin County",31061,3.6,106,"1386 of 3140"
"Cedar County",31027,3.6,302,"1412 of 3140"
"Webster County",31181,3.6,130,"1460 of 3140"
"Boone County",31011,3.7,197,"1506 of 3140"
"Lancaster County",31109,3.8,11398,"1553 of 3140"
"Cherry County",31031,3.8,220,"1601 of 3140"
"Cuming County",31039,3.9,346,"1621 of 3140"
"Gage County",31067,3.9,830,"1628 of 3140"
"Wheeler County",31183,3.9,32,"1633 of 3140"
"Nuckolls County",31129,3.9,167,"1653 of 3140"
"Dodge County",31053,4.0,1428,"1675 of 3140"
"Dawson County",31047,4.0,946,"1720 of 3140"
"Keith County",31101,4.1,329,"1756 of 3140"
"Burt County",31021,4.2,273,"1815 of 3140"
"Morrill County",31123,4.3,208,"1856 of 3140"
"Furnas County",31065,4.4,208,"1901 of 3140"
"Hamilton County",31081,4.4,396,"1906 of 3140"
"Phelps County",31137,4.4,400,"1921 of 3140"
"Otoe County",31131,4.4,694,"1954 of 3140"
"Greeley County",31077,4.5,108,"1991 of 3140"
"Loup County",31115,4.6,24,"2030 of 3140"
"Hayes County",31085,4.7,44,"2093 of 3140"
"Sarpy County",31153,4.9,8436,"2199 of 3140"
"Adams County",31001,4.9,1542,"2227 of 3140"
"Antelope County",31003,5.0,315,"2249 of 3140"
"Saunders County",31155,5.0,1031,"2255 of 3140"
"Washington County",31177,5.1,1031,"2297 of 3140"
"Clay County",31035,5.1,319,"2321 of 3140"
"Gosper County",31073,5.2,105,"2369 of 3140"
"Deuel County",31049,5.3,100,"2396 of 3140"
"Dundy County",31057,5.3,105,"2398 of 3140"
"Keya Paha County",31103,5.4,38,"2442 of 3140"
"Pierce County",31139,5.4,379,"2444 of 3140"
"Garfield County",31071,5.6,109,"2520 of 3140"
"Jefferson County",31095,5.6,403,"2525 of 3140"
"Madison County",31119,5.7,1969,"2546 of 3140"
"Logan County",31113,5.7,51,"2556 of 3140"
"Valley County",31175,5.7,239,"2561 of 3140"
"York County",31185,5.8,798,"2595 of 3140"
"Kearney County",31099,5.9,383,"2608 of 3140"
"Nemaha County",31127,6.0,419,"2636 of 3140"
"Fillmore County",31059,6.2,342,"2672 of 3140"
"Seward County",31159,6.3,1049,"2692 of 3140"
"Saline County",31151,6.3,890,"2694 of 3140"
"Dawes County",31045,6.3,557,"2698 of 3140"
"Rock County",31149,6.3,86,"2705 of 3140"
"Cass County",31025,6.5,1628,"2732 of 3140"
"Stanton County",31167,6.5,387,"2736 of 3140"
"Buffalo County",31019,6.9,3320,"2810 of 3140"
"Merrick County",31121,7.0,537,"2826 of 3140"
"Johnson County",31097,7.5,390,"2907 of 3140"
"Frontier County",31063,8.0,209,"2954 of 3140"
"Wayne County",31179,9.7,904,"3052 of 3140"
"Arthur County",31005,10.9,46,"3090 of 3140"
"Blaine County",31009,11.5,57,"3099 of 3140"
"Thomas County",31171,12.8,82,"3114 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
