------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Nebraska",31000,33.8,640186,"40 of 52"
"United States",00000,34.5,110609456,"N/A"
"Sarpy County",31153,28.0,49007,"2992 of 3141"
"Thurston County",31173,28.1,1981,"2982 of 3141"
"Lancaster County",31109,29.9,91525,"2886 of 3141"
"Douglas County",31055,29.9,164556,"2882 of 3141"
"Colfax County",31037,30.4,3229,"2849 of 3141"
"Buffalo County",31019,30.5,14888,"2841 of 3141"
"Dakota County",31043,30.8,6319,"2823 of 3141"
"Saline County",31151,32.1,4604,"2707 of 3141"
"Wayne County",31179,32.3,3037,"2692 of 3141"
"Hall County",31079,32.6,19940,"2664 of 3141"
"Dawson County",31047,33.3,7962,"2591 of 3141"
"Dawes County",31045,34.7,3109,"2413 of 3141"
"Madison County",31119,35.7,12508,"2250 of 3141"
"Seward County",31159,36.3,6192,"2143 of 3141"
"Platte County",31141,36.6,12025,"2108 of 3141"
"Adams County",31001,37.0,11672,"2024 of 3141"
"Cheyenne County",31033,38.2,3825,"1739 of 3141"
"Scotts Bluff County",31157,38.2,13958,"1734 of 3141"
"Stanton County",31167,38.4,2311,"1703 of 3141"
"Dodge County",31053,38.6,14106,"1675 of 3141"
"Lincoln County",31111,38.7,13768,"1640 of 3141"
"Cass County",31025,38.9,9918,"1606 of 3141"
"Washington County",31177,38.9,7950,"1589 of 3141"
"Nemaha County",31127,39.0,2743,"1586 of 3141"
"York County",31185,39.9,5514,"1375 of 3141"
"Saunders County",31155,39.9,8355,"1370 of 3141"
"Box Butte County",31013,39.9,4473,"1359 of 3141"
"Arthur County",31005,40.1,169,"1307 of 3141"
"Otoe County",31131,40.2,6387,"1286 of 3141"
"Red Willow County",31145,40.3,4381,"1272 of 3141"
"Kearney County",31099,40.3,2641,"1263 of 3141"
"Johnson County",31097,40.4,2099,"1257 of 3141"
"Logan County",31113,40.4,371,"1255 of 3141"
"Hamilton County",31081,40.5,3703,"1225 of 3141"
"Pierce County",31139,40.7,2922,"1165 of 3141"
"Thomas County",31171,40.9,263,"1127 of 3141"
"Phelps County",31137,41.0,3755,"1109 of 3141"
"Morrill County",31123,41.3,2024,"1039 of 3141"
"Dixon County",31051,41.3,2382,"1033 of 3141"
"Howard County",31093,41.8,2669,"960 of 3141"
"Clay County",31035,42.0,2630,"925 of 3141"
"Merrick County",31121,42.4,3320,"859 of 3141"
"Dundy County",31057,42.6,859,"830 of 3141"
"Butler County",31023,42.7,3462,"810 of 3141"
"Gage County",31067,42.9,9274,"776 of 3141"
"Cuming County",31039,42.9,3882,"767 of 3141"
"Custer County",31041,43.0,4655,"765 of 3141"
"Cherry County",31031,43.3,2507,"718 of 3141"
"Cedar County",31027,43.3,3707,"715 of 3141"
"Chase County",31029,43.4,1652,"695 of 3141"
"Banner County",31007,43.8,319,"645 of 3141"
"Perkins County",31135,43.9,1274,"637 of 3141"
"Polk County",31143,44.3,2325,"580 of 3141"
"Holt County",31089,44.6,4594,"549 of 3141"
"Boone County",31011,44.6,2391,"548 of 3141"
"Deuel County",31049,44.7,849,"544 of 3141"
"Frontier County",31063,45.2,1186,"498 of 3141"
"Nance County",31125,45.3,1615,"494 of 3141"
"Valley County",31175,45.3,1927,"488 of 3141"
"Webster County",31181,45.5,1635,"470 of 3141"
"Antelope County",31003,45.7,2930,"438 of 3141"
"Kimball County",31105,45.7,1687,"437 of 3141"
"Furnas County",31065,45.9,2209,"423 of 3141"
"Hayes County",31085,46.0,440,"417 of 3141"
"Blaine County",31009,46.0,231,"414 of 3141"
"Sheridan County",31161,46.0,2413,"410 of 3141"
"Greeley County",31077,46.3,1127,"393 of 3141"
"Jefferson County",31095,46.3,3369,"391 of 3141"
"Burt County",31021,46.3,3033,"387 of 3141"
"Knox County",31107,46.6,3959,"369 of 3141"
"Fillmore County",31059,46.8,2624,"348 of 3141"
"Hitchcock County",31087,46.9,1341,"342 of 3141"
"Richardson County",31147,47.0,3780,"337 of 3141"
"McPherson County",31117,47.2,204,"321 of 3141"
"Thayer County",31169,48.1,2467,"269 of 3141"
"Grant County",31075,48.1,328,"265 of 3141"
"Gosper County",31073,49.1,991,"215 of 3141"
"Sherman County",31163,49.2,1501,"209 of 3141"
"Keith County",31101,49.4,4015,"203 of 3141"
"Nuckolls County",31129,49.5,2138,"197 of 3141"
"Brown County",31017,49.5,1515,"194 of 3141"
"Harlan County",31083,49.6,1721,"190 of 3141"
"Pawnee County",31133,50.1,1354,"169 of 3141"
"Keya Paha County",31103,50.4,363,"158 of 3141"
"Sioux County",31165,50.6,636,"150 of 3141"
"Wheeler County",31183,50.7,429,"148 of 3141"
"Franklin County",31061,50.8,1535,"141 of 3141"
"Boyd County",31015,51.6,1058,"123 of 3141"
"Rock County",31149,52.1,720,"114 of 3141"
"Garfield County",31071,52.1,1021,"113 of 3141"
"Garden County",31069,53.9,1031,"60 of 3141"
"Loup County",31115,54.2,291,"57 of 3141"
"Hooker County",31091,61.5,421,"12 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
