------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Nebraska",31000,9.1,112366,"15 of 52"
"United States",00000,12.7,27437114,"N/A"
"Blaine County",31009,1.1,4,"1 of 3141"
"Loup County",31115,1.7,7,"3 of 3141"
"Grant County",31075,2.9,14,"13 of 3141"
"Frontier County",31063,3.9,69,"31 of 3141"
"Washington County",31177,3.9,533,"34 of 3141"
"Garfield County",31071,3.9,55,"36 of 3141"
"Banner County",31007,4.3,22,"52 of 3141"
"Cass County",31025,4.8,834,"81 of 3141"
"Sarpy County",31153,4.8,5360,"85 of 3141"
"Dawes County",31045,4.8,262,"88 of 3141"
"Wayne County",31179,4.9,264,"96 of 3141"
"Arthur County",31005,4.9,13,"97 of 3141"
"Cheyenne County",31033,5.1,350,"107 of 3141"
"Wheeler County",31183,5.2,34,"120 of 3141"
"Garden County",31069,5.2,79,"121 of 3141"
"Hooker County",31091,5.4,29,"135 of 3141"
"Gosper County",31073,5.7,85,"167 of 3141"
"Pierce County",31139,5.7,279,"169 of 3141"
"Boyd County",31015,5.8,88,"179 of 3141"
"Red Willow County",31145,5.9,434,"187 of 3141"
"Kearney County",31099,6.0,269,"195 of 3141"
"York County",31185,6.0,567,"200 of 3141"
"Thomas County",31171,6.1,28,"206 of 3141"
"Nemaha County",31127,6.1,281,"213 of 3141"
"Boone County",31011,6.2,229,"219 of 3141"
"Buffalo County",31019,6.2,1841,"220 of 3141"
"Rock County",31149,6.3,64,"246 of 3141"
"Hamilton County",31081,6.4,395,"249 of 3141"
"Polk County",31143,6.6,238,"284 of 3141"
"Phelps County",31137,6.6,413,"290 of 3141"
"Cedar County",31027,6.6,381,"291 of 3141"
"Lancaster County",31109,6.7,12594,"301 of 3141"
"Nuckolls County",31129,6.9,218,"331 of 3141"
"Greeley County",31077,6.9,117,"333 of 3141"
"Lincoln County",31111,6.9,1684,"334 of 3141"
"Saunders County",31155,6.9,986,"336 of 3141"
"Merrick County",31121,7.0,381,"338 of 3141"
"Seward County",31159,7.0,756,"342 of 3141"
"Keya Paha County",31103,7.1,38,"361 of 3141"
"Hitchcock County",31087,7.2,147,"373 of 3141"
"Valley County",31175,7.3,222,"393 of 3141"
"Sioux County",31165,7.4,67,"415 of 3141"
"Sherman County",31163,7.4,164,"428 of 3141"
"Custer County",31041,7.5,566,"451 of 3141"
"Logan County",31113,7.5,45,"452 of 3141"
"Brown County",31017,7.7,177,"503 of 3141"
"Howard County",31093,7.8,343,"515 of 3141"
"Cherry County",31031,7.8,324,"524 of 3141"
"Holt County",31089,7.9,566,"543 of 3141"
"Franklin County",31061,7.9,178,"550 of 3141"
"Fillmore County",31059,7.9,322,"554 of 3141"
"Butler County",31023,8.0,443,"560 of 3141"
"Thayer County",31169,8.0,296,"571 of 3141"
"Stanton County",31167,8.0,323,"575 of 3141"
"Webster County",31181,8.1,203,"595 of 3141"
"Box Butte County",31013,8.3,622,"637 of 3141"
"Keith County",31101,8.4,506,"664 of 3141"
"Knox County",31107,8.4,497,"665 of 3141"
"Richardson County",31147,8.5,496,"670 of 3141"
"Otoe County",31131,8.8,952,"745 of 3141"
"Harlan County",31083,9.0,225,"795 of 3141"
"Burt County",31021,9.1,427,"814 of 3141"
"Antelope County",31003,9.2,411,"828 of 3141"
"Nance County",31125,9.3,233,"851 of 3141"
"Sheridan County",31161,9.3,348,"861 of 3141"
"Jefferson County",31095,9.7,505,"947 of 3141"
"Pawnee County",31133,9.9,196,"1000 of 3141"
"Clay County",31035,9.9,425,"1003 of 3141"
"Deuel County",31049,9.9,135,"1004 of 3141"
"McPherson County",31117,9.9,32,"1016 of 3141"
"Adams County",31001,10.0,2047,"1031 of 3141"
"Gage County",31067,10.1,1557,"1066 of 3141"
"Douglas County",31055,10.3,36680,"1099 of 3141"
"Kimball County",31105,10.3,269,"1106 of 3141"
"Dodge County",31053,10.8,2651,"1227 of 3141"
"Perkins County",31135,10.9,227,"1242 of 3141"
"Chase County",31029,10.9,295,"1260 of 3141"
"Furnas County",31065,11.0,372,"1266 of 3141"
"Platte County",31141,11.2,2413,"1325 of 3141"
"Madison County",31119,11.4,2621,"1372 of 3141"
"Dixon County",31051,11.6,449,"1398 of 3141"
"Hayes County",31085,11.6,81,"1404 of 3141"
"Johnson County",31097,12.3,461,"1546 of 3141"
"Scotts Bluff County",31157,12.8,3120,"1639 of 3141"
"Cuming County",31039,12.9,790,"1657 of 3141"
"Morrill County",31123,13.0,441,"1664 of 3141"
"Thurston County",31173,13.6,519,"1760 of 3141"
"Dundy County",31057,14.3,195,"1882 of 3141"
"Saline County",31151,15.6,1373,"2085 of 3141"
"Hall County",31079,16.1,6301,"2146 of 3141"
"Dawson County",31047,23.6,3603,"2898 of 3141"
"Dakota County",31043,26.5,3340,"3021 of 3141"
"Colfax County",31037,28.8,1870,"3064 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
