------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Nebraska",31000,9.3,174450,"40 of 51"
"Loup County",31115,1.0,5,"25 of 3140"
"Hayes County",31085,1.3,12,"43 of 3140"
"Garfield County",31071,1.7,33,"70 of 3140"
"Sherman County",31163,1.8,53,"74 of 3140"
"Thomas County",31171,2.0,13,"102 of 3140"
"Arthur County",31005,2.1,9,"113 of 3140"
"McPherson County",31117,2.1,9,"114 of 3140"
"Sioux County",31165,2.3,29,"139 of 3140"
"Stanton County",31167,2.5,150,"160 of 3140"
"Franklin County",31061,2.6,77,"172 of 3140"
"Boyd County",31015,2.6,53,"178 of 3140"
"Harlan County",31083,2.8,95,"206 of 3140"
"Thayer County",31169,2.9,145,"221 of 3140"
"Webster County",31181,2.9,103,"229 of 3140"
"Banner County",31007,2.9,21,"235 of 3140"
"Pierce County",31139,3.1,216,"280 of 3140"
"Antelope County",31003,3.1,198,"289 of 3140"
"Howard County",31093,3.2,199,"294 of 3140"
"Hamilton County",31081,3.3,300,"320 of 3140"
"Hooker County",31091,3.5,24,"376 of 3140"
"Garden County",31069,3.7,70,"435 of 3140"
"Cedar County",31027,3.7,316,"447 of 3140"
"Johnson County",31097,3.9,200,"489 of 3140"
"Cass County",31025,3.9,982,"500 of 3140"
"Keya Paha County",31103,4.0,28,"520 of 3140"
"Holt County",31089,4.0,406,"529 of 3140"
"Hitchcock County",31087,4.0,113,"538 of 3140"
"Polk County",31143,4.1,210,"551 of 3140"
"Fillmore County",31059,4.2,231,"579 of 3140"
"Nance County",31125,4.3,150,"603 of 3140"
"Dakota County",31043,4.3,862,"613 of 3140"
"Washington County",31177,4.3,876,"627 of 3140"
"Grant County",31075,4.4,30,"678 of 3140"
"Deuel County",31049,4.5,84,"681 of 3140"
"Frontier County",31063,4.5,116,"685 of 3140"
"Boone County",31011,4.5,239,"703 of 3140"
"Sheridan County",31161,4.5,235,"714 of 3140"
"Jefferson County",31095,4.6,333,"763 of 3140"
"Chase County",31029,4.9,184,"876 of 3140"
"Rock County",31149,4.9,67,"878 of 3140"
"Dixon County",31051,5.0,284,"920 of 3140"
"Wheeler County",31183,5.1,42,"968 of 3140"
"Morrill County",31123,5.1,250,"974 of 3140"
"Cuming County",31039,5.1,459,"980 of 3140"
"Pawnee County",31133,5.2,139,"999 of 3140"
"Otoe County",31131,5.2,812,"1008 of 3140"
"Brown County",31017,5.2,158,"1010 of 3140"
"Merrick County",31121,5.2,400,"1017 of 3140"
"Perkins County",31135,5.2,150,"1019 of 3140"
"Logan County",31113,5.4,48,"1104 of 3140"
"Saunders County",31155,5.5,1135,"1152 of 3140"
"Dundy County",31057,5.6,111,"1212 of 3140"
"Knox County",31107,5.6,473,"1229 of 3140"
"Butler County",31023,5.8,461,"1296 of 3140"
"Greeley County",31077,5.8,139,"1305 of 3140"
"Furnas County",31065,5.8,279,"1337 of 3140"
"Blaine County",31009,5.8,29,"1342 of 3140"
"Phelps County",31137,5.9,538,"1378 of 3140"
"Clay County",31035,6.0,373,"1433 of 3140"
"Gage County",31067,6.1,1305,"1486 of 3140"
"Cherry County",31031,6.1,350,"1489 of 3140"
"Colfax County",31037,6.1,627,"1490 of 3140"
"Saline County",31151,6.1,870,"1491 of 3140"
"Keith County",31101,6.2,499,"1534 of 3140"
"Sarpy County",31153,6.2,10758,"1548 of 3140"
"Burt County",31021,6.3,413,"1606 of 3140"
"Wayne County",31179,6.4,593,"1619 of 3140"
"Valley County",31175,6.5,271,"1671 of 3140"
"Seward County",31159,6.7,1121,"1751 of 3140"
"Kearney County",31099,7.0,454,"1867 of 3140"
"Nuckolls County",31129,7.2,309,"1982 of 3140"
"York County",31185,7.4,1011,"2041 of 3140"
"Thurston County",31173,7.5,520,"2078 of 3140"
"Custer County",31041,7.8,834,"2196 of 3140"
"Richardson County",31147,8.0,640,"2278 of 3140"
"Cheyenne County",31033,8.1,797,"2302 of 3140"
"Lincoln County",31111,8.2,2863,"2321 of 3140"
"Adams County",31001,8.5,2638,"2395 of 3140"
"Dawson County",31047,8.5,1992,"2399 of 3140"
"Platte County",31141,8.6,2811,"2447 of 3140"
"Dodge County",31053,8.8,3178,"2498 of 3140"
"Madison County",31119,9.3,3219,"2630 of 3140"
