------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Nebraska",31000,2.1,15728,"30 of 52"
"United States",00000,3.3,3975282,"N/A"
"Arthur County",31005,0.0,0,"3097 of 3141"
"Banner County",31007,0.0,0,"3097 of 3141"
"Deuel County",31049,0.0,0,"3097 of 3141"
"Dundy County",31057,0.0,0,"3097 of 3141"
"Gosper County",31073,0.0,0,"3097 of 3141"
"Grant County",31075,0.0,0,"3097 of 3141"
"Hayes County",31085,0.0,0,"3097 of 3141"
"Loup County",31115,0.0,0,"3097 of 3141"
"Nance County",31125,0.0,0,"3097 of 3141"
"Sioux County",31165,0.0,0,"3097 of 3141"
"Thomas County",31171,0.0,0,"3097 of 3141"
"Frontier County",31063,0.1,1,"3092 of 3141"
"Phelps County",31137,0.2,6,"3085 of 3141"
"Perkins County",31135,0.2,2,"3083 of 3141"
"Harlan County",31083,0.2,3,"3081 of 3141"
"Jefferson County",31095,0.2,7,"3077 of 3141"
"Boyd County",31015,0.2,2,"3074 of 3141"
"Rock County",31149,0.3,2,"3054 of 3141"
"Hamilton County",31081,0.4,16,"3020 of 3141"
"Pierce County",31139,0.4,13,"3019 of 3141"
"Thayer County",31169,0.5,11,"3009 of 3141"
"Chase County",31029,0.5,8,"3004 of 3141"
"Fillmore County",31059,0.5,13,"2976 of 3141"
"Howard County",31093,0.6,15,"2964 of 3141"
"Seward County",31159,0.6,37,"2961 of 3141"
"Webster County",31181,0.6,9,"2942 of 3141"
"Richardson County",31147,0.6,23,"2939 of 3141"
"Kimball County",31105,0.6,10,"2918 of 3141"
"Gage County",31067,0.6,60,"2917 of 3141"
"Garfield County",31071,0.7,6,"2907 of 3141"
"York County",31185,0.7,38,"2903 of 3141"
"Red Willow County",31145,0.7,33,"2877 of 3141"
"Merrick County",31121,0.8,25,"2840 of 3141"
"Washington County",31177,0.8,63,"2835 of 3141"
"Nemaha County",31127,0.8,22,"2827 of 3141"
"Valley County",31175,0.8,16,"2796 of 3141"
"Cherry County",31031,0.8,22,"2794 of 3141"
"Hitchcock County",31087,0.9,11,"2758 of 3141"
"Cuming County",31039,0.9,33,"2751 of 3141"
"Keith County",31101,0.9,35,"2737 of 3141"
"Box Butte County",31013,0.9,41,"2722 of 3141"
"Otoe County",31131,0.9,58,"2709 of 3141"
"Cedar County",31027,0.9,32,"2694 of 3141"
"Holt County",31089,0.9,42,"2688 of 3141"
"Hooker County",31091,0.9,3,"2665 of 3141"
"Garden County",31069,1.0,9,"2608 of 3141"
"Saunders County",31155,1.0,82,"2605 of 3141"
"Sherman County",31163,1.0,14,"2596 of 3141"
"Franklin County",31061,1.0,14,"2585 of 3141"
"Adams County",31001,1.1,141,"2490 of 3141"
"Cass County",31025,1.2,118,"2384 of 3141"
"Keya Paha County",31103,1.2,4,"2378 of 3141"
"Nuckolls County",31129,1.2,24,"2369 of 3141"
"Johnson County",31097,1.2,23,"2346 of 3141"
"Antelope County",31003,1.2,34,"2336 of 3141"
"Furnas County",31065,1.2,27,"2329 of 3141"
"Greeley County",31077,1.3,13,"2284 of 3141"
"Cheyenne County",31033,1.3,58,"2227 of 3141"
"Clay County",31035,1.4,36,"2165 of 3141"
"Morrill County",31123,1.4,29,"2097 of 3141"
"Stanton County",31167,1.5,35,"2036 of 3141"
"Buffalo County",31019,1.5,289,"1994 of 3141"
"Boone County",31011,1.5,35,"1982 of 3141"
"Kearney County",31099,1.6,43,"1951 of 3141"
"Scotts Bluff County",31157,1.6,233,"1897 of 3141"
"Custer County",31041,1.6,78,"1883 of 3141"
"Brown County",31017,1.8,27,"1674 of 3141"
"Wheeler County",31183,1.9,7,"1649 of 3141"
"Burt County",31021,1.9,55,"1587 of 3141"
"Polk County",31143,1.9,39,"1580 of 3141"
"Dodge County",31053,1.9,293,"1555 of 3141"
"Douglas County",31055,2.2,4769,"1265 of 3141"
"Lancaster County",31109,2.2,2713,"1253 of 3141"
"Sarpy County",31153,2.3,1457,"1217 of 3141"
