------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Nebraska",31000,30.6,377452,"22 of 52"
"United States",00000,30.9,66887603,"N/A"
"Dakota County",31043,12.6,1586,"2730 of 3141"
"Saline County",31151,13.4,1181,"2589 of 3141"
"Colfax County",31037,14.4,939,"2415 of 3141"
"Jefferson County",31095,14.7,770,"2357 of 3141"
"Dawson County",31047,15.8,2415,"2151 of 3141"
"Pawnee County",31133,15.9,316,"2118 of 3141"
"Thurston County",31173,16.0,613,"2107 of 3141"
"Hayes County",31085,17.2,120,"1899 of 3141"
"Johnson County",31097,17.3,648,"1887 of 3141"
"Greeley County",31077,17.3,294,"1883 of 3141"
"Box Butte County",31013,17.4,1307,"1864 of 3141"
"Banner County",31007,17.4,90,"1856 of 3141"
"Hitchcock County",31087,17.4,358,"1850 of 3141"
"Kimball County",31105,17.5,456,"1847 of 3141"
"Merrick County",31121,17.6,963,"1828 of 3141"
"Stanton County",31167,17.6,713,"1819 of 3141"
"Clay County",31035,17.8,766,"1789 of 3141"
"Deuel County",31049,18.1,247,"1745 of 3141"
"Brown County",31017,18.2,418,"1727 of 3141"
"Furnas County",31065,18.2,619,"1717 of 3141"
"Sherman County",31163,18.3,404,"1708 of 3141"
"Nance County",31125,18.3,461,"1698 of 3141"
"Cedar County",31027,18.4,1067,"1682 of 3141"
"Antelope County",31003,18.6,835,"1643 of 3141"
"Butler County",31023,18.7,1040,"1633 of 3141"
"Harlan County",31083,18.7,467,"1629 of 3141"
"Red Willow County",31145,18.7,1377,"1621 of 3141"
"Dixon County",31051,18.8,732,"1605 of 3141"
"Rock County",31149,18.9,191,"1593 of 3141"
"Morrill County",31123,18.9,643,"1591 of 3141"
"Dodge County",31053,19.0,4677,"1569 of 3141"
"Wheeler County",31183,19.1,124,"1558 of 3141"
"Burt County",31021,19.1,892,"1554 of 3141"
"Nuckolls County",31129,19.1,606,"1547 of 3141"
"Fillmore County",31059,19.2,777,"1539 of 3141"
"Richardson County",31147,19.4,1138,"1499 of 3141"
"Chase County",31029,19.4,524,"1498 of 3141"
"Frontier County",31063,19.5,349,"1485 of 3141"
"Garfield County",31071,19.5,275,"1481 of 3141"
"Hall County",31079,19.8,7751,"1435 of 3141"
"Boone County",31011,19.8,735,"1430 of 3141"
"Franklin County",31061,20.0,448,"1407 of 3141"
"Cherry County",31031,20.1,831,"1396 of 3141"
"Howard County",31093,20.1,890,"1384 of 3141"
"Boyd County",31015,20.2,306,"1368 of 3141"
"Gage County",31067,20.3,3123,"1335 of 3141"
"Valley County",31175,20.3,622,"1335 of 3141"
"Madison County",31119,20.4,4669,"1326 of 3141"
"Keya Paha County",31103,20.6,110,"1293 of 3141"
"Thayer County",31169,20.7,766,"1290 of 3141"
"Knox County",31107,20.8,1229,"1256 of 3141"
"Polk County",31143,20.9,758,"1251 of 3141"
"Holt County",31089,21.0,1500,"1235 of 3141"
"Dundy County",31057,21.1,288,"1211 of 3141"
"Cuming County",31039,21.2,1297,"1200 of 3141"
"Otoe County",31131,21.4,2319,"1185 of 3141"
"Platte County",31141,21.5,4616,"1172 of 3141"
"Custer County",31041,21.7,1637,"1147 of 3141"
"Keith County",31101,22.0,1324,"1110 of 3141"
"Scotts Bluff County",31157,22.1,5369,"1108 of 3141"
"Lincoln County",31111,22.2,5418,"1087 of 3141"
"Kearney County",31099,22.3,1002,"1069 of 3141"
"Pierce County",31139,22.5,1094,"1053 of 3141"
"Logan County",31113,22.7,136,"1026 of 3141"
"Webster County",31181,22.8,573,"1006 of 3141"
"Perkins County",31135,22.9,478,"988 of 3141"
"Loup County",31115,22.9,92,"986 of 3141"
"Grant County",31075,23.0,111,"981 of 3141"
"Adams County",31001,23.5,4798,"928 of 3141"
"Gosper County",31073,24.1,357,"869 of 3141"
"Blaine County",31009,24.2,86,"859 of 3141"
"Garden County",31069,24.2,365,"856 of 3141"
"McPherson County",31117,25.2,81,"791 of 3141"
"Hooker County",31091,25.6,138,"767 of 3141"
"Hamilton County",31081,25.7,1596,"752 of 3141"
"Sheridan County",31161,25.8,966,"747 of 3141"
"Phelps County",31137,26.0,1632,"726 of 3141"
"Cheyenne County",31033,26.3,1816,"707 of 3141"
"Saunders County",31155,26.5,3756,"699 of 3141"
"Sioux County",31165,26.6,242,"683 of 3141"
"Cass County",31025,26.8,4657,"664 of 3141"
"Nemaha County",31127,28.0,1278,"590 of 3141"
"Seward County",31159,28.1,3037,"582 of 3141"
"York County",31185,28.1,2633,"581 of 3141"
"Thomas County",31171,29.0,133,"539 of 3141"
"Arthur County",31005,29.9,79,"491 of 3141"
"Washington County",31177,30.8,4227,"439 of 3141"
"Wayne County",31179,32.4,1742,"357 of 3141"
"Buffalo County",31019,33.6,10018,"317 of 3141"
"Dawes County",31045,37.0,1997,"220 of 3141"
