------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Nebraska",31000,20.6,378289,"19 of 52"
"United States",00000,23.7,74202606,"N/A"
"Perkins County",31135,9.9,284,"41 of 3141"
"Sarpy County",31153,10.0,17327,"42 of 3141"
"Gosper County",31073,10.8,214,"62 of 3141"
"Cass County",31025,11.7,2937,"81 of 3141"
"Keya Paha County",31103,12.8,92,"132 of 3141"
"Hamilton County",31081,13.4,1200,"151 of 3141"
"Saunders County",31155,13.4,2773,"154 of 3141"
"Phelps County",31137,13.9,1227,"172 of 3141"
"Blaine County",31009,14.7,74,"221 of 3141"
"Washington County",31177,14.9,2985,"231 of 3141"
"Pierce County",31139,15.7,1100,"279 of 3141"
"Cedar County",31027,15.9,1331,"295 of 3141"
"Howard County",31093,16.1,1027,"310 of 3141"
"Loup County",31115,16.4,88,"335 of 3141"
"Platte County",31141,16.4,5303,"338 of 3141"
"Cheyenne County",31033,16.5,1630,"344 of 3141"
"Fillmore County",31059,16.6,889,"350 of 3141"
"Frontier County",31063,16.9,419,"377 of 3141"
"Dixon County",31051,17.1,970,"400 of 3141"
"Polk County",31143,17.2,882,"406 of 3141"
"Boone County",31011,17.2,902,"408 of 3141"
"Butler County",31023,17.3,1371,"418 of 3141"
"Rock County",31149,17.4,230,"426 of 3141"
