------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Nebraska",31000,4.7,89718,"34 of 52"
"United States",00000,12.7,40610815,"N/A"
"Arthur County",31005,0.0,0,"3052 of 3141"
"Blaine County",31009,0.0,0,"3052 of 3141"
"Gosper County",31073,0.0,0,"3052 of 3141"
"Hayes County",31085,0.0,0,"3052 of 3141"
"Loup County",31115,0.0,0,"3052 of 3141"
"McPherson County",31117,0.0,0,"3052 of 3141"
"Pawnee County",31133,0.0,0,"3052 of 3141"
"Sherman County",31163,0.0,0,"3052 of 3141"
"Thomas County",31171,0.0,0,"3052 of 3141"
"Wheeler County",31183,0.0,0,"3052 of 3141"
"Jefferson County",31095,0.0,1,"3049 of 3141"
"Cedar County",31027,0.0,2,"3045 of 3141"
"Brown County",31017,0.0,1,"3036 of 3141"
"Cherry County",31031,0.0,2,"3034 of 3141"
"Frontier County",31063,0.0,1,"3029 of 3141"
"Howard County",31093,0.0,3,"3022 of 3141"
"Chase County",31029,0.1,2,"3011 of 3141"
"Deuel County",31049,0.1,1,"3011 of 3141"
"Nance County",31125,0.1,3,"2983 of 3141"
"Hitchcock County",31087,0.1,3,"2959 of 3141"
"Cuming County",31039,0.1,10,"2955 of 3141"
"Kearney County",31099,0.1,8,"2942 of 3141"
"Polk County",31143,0.1,7,"2928 of 3141"
"Kimball County",31105,0.1,5,"2925 of 3141"
"Perkins County",31135,0.1,4,"2920 of 3141"
"Keya Paha County",31103,0.1,1,"2917 of 3141"
"Phelps County",31137,0.1,13,"2910 of 3141"
"Holt County",31089,0.1,15,"2907 of 3141"
"Dundy County",31057,0.1,3,"2905 of 3141"
"Garden County",31069,0.2,3,"2900 of 3141"
"Garfield County",31071,0.2,4,"2856 of 3141"
"Richardson County",31147,0.2,17,"2852 of 3141"
"Otoe County",31131,0.2,35,"2843 of 3141"
"Webster County",31181,0.2,8,"2838 of 3141"
"Thurston County",31173,0.2,16,"2833 of 3141"
"Knox County",31107,0.2,20,"2825 of 3141"
"Antelope County",31003,0.2,16,"2812 of 3141"
"Thayer County",31169,0.3,13,"2809 of 3141"
"Nuckolls County",31129,0.3,11,"2806 of 3141"
"Rock County",31149,0.3,4,"2776 of 3141"
"Dixon County",31051,0.3,17,"2771 of 3141"
"Saunders County",31155,0.3,63,"2760 of 3141"
"Cass County",31025,0.3,81,"2737 of 3141"
"Furnas County",31065,0.3,16,"2707 of 3141"
"Pierce County",31139,0.3,25,"2700 of 3141"
"Sioux County",31165,0.4,5,"2651 of 3141"
"Valley County",31175,0.4,17,"2650 of 3141"
"Cheyenne County",31033,0.4,41,"2635 of 3141"
