------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Nebraska",31000,6.9,130660,"27 of 51"
"United States",00000,13.4,43028127,"N/A"
"Loup County",31115,0.0,0,"3128 of 3140"
"McPherson County",31117,0.0,0,"3128 of 3140"
"Banner County",31007,0.3,2,"3078 of 3140"
"Grant County",31075,0.3,2,"3073 of 3140"
"Cedar County",31027,0.4,34,"3038 of 3140"
"Hitchcock County",31087,0.5,13,"3015 of 3140"
"Arthur County",31005,0.5,2,"3004 of 3140"
"Richardson County",31147,0.5,39,"3000 of 3140"
"Rock County",31149,0.5,7,"2991 of 3140"
"Thomas County",31171,0.6,4,"2921 of 3140"
"Keya Paha County",31103,0.7,5,"2865 of 3140"
"Wheeler County",31183,0.7,6,"2852 of 3140"
"Hooker County",31091,0.7,5,"2838 of 3140"
"Thayer County",31169,0.8,41,"2791 of 3140"
"Harlan County",31083,0.9,30,"2745 of 3140"
"Garfield County",31071,0.9,17,"2743 of 3140"
"Nance County",31125,0.9,33,"2702 of 3140"
"Howard County",31093,1.0,61,"2679 of 3140"
"Greeley County",31077,1.0,24,"2656 of 3140"
"Pawnee County",31133,1.0,27,"2647 of 3140"
"Kimball County",31105,1.0,37,"2646 of 3140"
"Gosper County",31073,1.0,21,"2614 of 3140"
"Boone County",31011,1.1,58,"2584 of 3140"
