------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Oklahoma",40000,5.9,229586,"32 of 51"
"United States",00000,13.4,43028127,"N/A"
"Cotton County",40033,0.2,13,"3098 of 3140"
"Noble County",40103,0.3,33,"3074 of 3140"
"Coal County",40029,0.3,19,"3059 of 3140"
"Greer County",40055,0.7,45,"2828 of 3140"
"Lincoln County",40081,0.8,286,"2773 of 3140"
"Johnston County",40069,0.9,101,"2710 of 3140"
"Choctaw County",40023,0.9,140,"2695 of 3140"
"McIntosh County",40091,0.9,186,"2694 of 3140"
"Okmulgee County",40111,1.0,397,"2635 of 3140"
"Pawnee County",40117,1.1,182,"2560 of 3140"
"Mayes County",40097,1.2,487,"2492 of 3140"
"Hughes County",40063,1.2,165,"2461 of 3140"
"Nowata County",40105,1.2,129,"2451 of 3140"
"Pushmataha County",40127,1.3,140,"2429 of 3140"
"Haskell County",40061,1.4,173,"2354 of 3140"
"Osage County",40113,1.4,650,"2339 of 3140"
"Latimer County",40077,1.4,146,"2336 of 3140"
"Seminole County",40133,1.4,351,"2324 of 3140"
"Roger Mills County",40129,1.4,53,"2306 of 3140"
"Grant County",40053,1.4,64,"2297 of 3140"
"Kiowa County",40075,1.5,136,"2257 of 3140"
"Craig County",40035,1.6,227,"2202 of 3140"
"Atoka County",40005,1.6,217,"2201 of 3140"
"Okfuskee County",40107,1.7,208,"2104 of 3140"
"Pottawatomie County",40125,1.8,1273,"2046 of 3140"
"Sequoyah County",40135,1.8,764,"2017 of 3140"
"Adair County",40001,1.9,423,"1976 of 3140"
"Creek County",40037,2.0,1419,"1929 of 3140"
"Grady County",40051,2.0,1094,"1925 of 3140"
"Pittsburg County",40121,2.1,948,"1853 of 3140"
"Bryan County",40013,2.2,992,"1810 of 3140"
"Delaware County",40041,2.2,937,"1787 of 3140"
"Rogers County",40131,2.3,2085,"1740 of 3140"
"Ottawa County",40115,2.3,739,"1733 of 3140"
"Woods County",40151,2.4,221,"1710 of 3140"
"Ellis County",40045,2.5,104,"1660 of 3140"
"Washita County",40149,2.6,299,"1624 of 3140"
"Pontotoc County",40123,2.6,1011,"1602 of 3140"
"McCurtain County",40089,2.7,878,"1590 of 3140"
"Murray County",40099,2.7,370,"1578 of 3140"
"Kay County",40071,2.8,1248,"1527 of 3140"
"Muskogee County",40101,2.8,1929,"1522 of 3140"
"Alfalfa County",40003,2.8,166,"1505 of 3140"
"Cherokee County",40021,2.9,1408,"1470 of 3140"
"Jefferson County",40067,2.9,184,"1457 of 3140"
"Stephens County",40137,3.0,1310,"1444 of 3140"
"Logan County",40083,3.0,1349,"1433 of 3140"
"McClain County",40087,3.0,1131,"1429 of 3140"
"Garvin County",40049,3.0,840,"1410 of 3140"
"Carter County",40019,3.0,1468,"1406 of 3140"
"Dewey County",40043,3.1,154,"1379 of 3140"
"Beckham County",40009,3.3,758,"1317 of 3140"
"Wagoner County",40145,3.6,2750,"1235 of 3140"
"Le Flore County",40079,3.6,1800,"1226 of 3140"
"Washington County",40147,4.2,2202,"1050 of 3140"
"Caddo County",40015,4.5,1311,"1019 of 3140"
"Canadian County",40017,4.7,6193,"977 of 3140"
"Major County",40093,5.0,385,"921 of 3140"
"Comanche County",40031,5.1,6279,"901 of 3140"
"Woodward County",40153,5.1,1088,"893 of 3140"
"Love County",40085,5.5,540,"835 of 3140"
"Blaine County",40011,5.7,548,"796 of 3140"
"Jackson County",40065,6.0,1528,"749 of 3140"
"Tillman County",40141,6.0,458,"741 of 3140"
"Custer County",40039,6.1,1789,"727 of 3140"
"Harmon County",40057,6.2,170,"722 of 3140"
"Cleveland County",40027,6.2,17008,"717 of 3140"
"Marshall County",40095,6.5,1049,"677 of 3140"
"Payne County",40119,6.7,5415,"646 of 3140"
"Garfield County",40047,7.3,4582,"567 of 3140"
"Kingfisher County",40073,7.5,1168,"551 of 3140"
"Tulsa County",40143,8.6,55084,"448 of 3140"
"Beaver County",40007,9.2,499,"407 of 3140"
"Cimarron County",40025,9.3,206,"397 of 3140"
"Oklahoma County",40109,10.5,81541,"318 of 3140"
"Harper County",40059,13.1,502,"224 of 3140"
"Texas County",40139,25.4,5441,"55 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
