------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Oklahoma",40000,10.1,394879,"23 of 52"
"United States",00000,17.6,56510571,"N/A"
"McIntosh County",40091,2.6,517,"2065 of 3141"
"Pawnee County",40117,2.8,468,"1945 of 3141"
"Nowata County",40105,2.9,300,"1928 of 3141"
"Lincoln County",40081,3.2,1123,"1784 of 3141"
"Mayes County",40097,3.3,1364,"1747 of 3141"
"Atoka County",40005,3.4,469,"1740 of 3141"
"Latimer County",40077,3.4,360,"1735 of 3141"
"Osage County",40113,3.4,1616,"1725 of 3141"
"Craig County",40035,3.4,501,"1719 of 3141"
"Pushmataha County",40127,3.5,386,"1710 of 3141"
"Noble County",40103,3.5,398,"1705 of 3141"
"Delaware County",40041,3.6,1526,"1662 of 3141"
"Okmulgee County",40111,3.8,1491,"1613 of 3141"
"Okfuskee County",40107,3.9,469,"1599 of 3141"
"Creek County",40037,3.9,2758,"1592 of 3141"
"Sequoyah County",40135,3.9,1621,"1582 of 3141"
"Choctaw County",40023,4.0,600,"1562 of 3141"
"Haskell County",40061,4.2,530,"1517 of 3141"
"Coal County",40029,4.4,250,"1453 of 3141"
"Rogers County",40131,4.4,3980,"1451 of 3141"
"Payne County",40119,4.6,3699,"1405 of 3141"
"Grant County",40053,4.6,207,"1395 of 3141"
"Pittsburg County",40121,4.8,2124,"1371 of 3141"
"Seminole County",40133,4.8,1207,"1362 of 3141"
"Pottawatomie County",40125,4.9,3527,"1334 of 3141"
"Johnston County",40069,5.0,552,"1314 of 3141"
"Alfalfa County",40003,5.0,296,"1311 of 3141"
"Hughes County",40063,5.1,684,"1302 of 3141"
"Pontotoc County",40123,5.1,1944,"1301 of 3141"
"Ottawa County",40115,5.4,1716,"1237 of 3141"
"Grady County",40051,5.5,2997,"1218 of 3141"
"Bryan County",40013,5.6,2543,"1195 of 3141"
"McCurtain County",40089,5.7,1878,"1182 of 3141"
"Wagoner County",40145,5.7,4375,"1181 of 3141"
"Washington County",40147,5.7,2971,"1177 of 3141"
"Logan County",40083,5.7,2598,"1176 of 3141"
"Muskogee County",40101,5.9,4076,"1145 of 3141"
"Murray County",40099,6.0,827,"1129 of 3141"
"Adair County",40001,6.4,1407,"1080 of 3141"
"Dewey County",40043,6.6,323,"1046 of 3141"
"Woods County",40151,6.8,618,"1021 of 3141"
"Le Flore County",40079,6.8,3387,"1017 of 3141"
"Roger Mills County",40129,6.8,255,"1012 of 3141"
"Carter County",40019,6.8,3306,"1011 of 3141"
"Cherokee County",40021,6.9,3322,"1007 of 3141"
"Stephens County",40137,7.2,3208,"972 of 3141"
"Ellis County",40045,7.3,298,"969 of 3141"
"Cotton County",40033,7.3,438,"964 of 3141"
"Kay County",40071,7.6,3430,"926 of 3141"
"McClain County",40087,7.8,2939,"910 of 3141"
"Garvin County",40049,8.2,2267,"883 of 3141"
"Cleveland County",40027,8.2,22426,"881 of 3141"
"Canadian County",40017,8.3,10987,"876 of 3141"
"Major County",40093,9.2,714,"791 of 3141"
"Washita County",40149,9.6,1113,"764 of 3141"
"Blaine County",40011,9.8,948,"750 of 3141"
"Jefferson County",40067,10.0,624,"737 of 3141"
"Greer County",40055,11.0,662,"677 of 3141"
"Kiowa County",40075,11.2,1019,"665 of 3141"
"Garfield County",40047,11.6,7267,"642 of 3141"
"Caddo County",40015,12.1,3563,"620 of 3141"
"Tulsa County",40143,12.1,77359,"617 of 3141"
"Woodward County",40153,12.2,2575,"616 of 3141"
"Comanche County",40031,12.7,15608,"588 of 3141"
"Beckham County",40009,14.2,3272,"540 of 3141"
"Love County",40085,14.9,1468,"517 of 3141"
"Kingfisher County",40073,15.2,2353,"508 of 3141"
"Oklahoma County",40109,16.8,130090,"460 of 3141"
"Marshall County",40095,16.8,2733,"459 of 3141"
"Custer County",40039,17.5,5095,"442 of 3141"
"Cimarron County",40025,20.8,463,"362 of 3141"
"Beaver County",40007,22.1,1202,"340 of 3141"
"Harper County",40059,22.2,855,"338 of 3141"
"Jackson County",40065,23.3,5962,"317 of 3141"
"Tillman County",40141,25.8,1956,"283 of 3141"
"Harmon County",40057,27.9,770,"248 of 3141"
"Texas County",40139,45.1,9649,"120 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
