------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Oklahoma",40000,49767.000000000,"42 of 52"
"United States",00000,57652.000000000,"N/A"
"Choctaw County",40023,30298.000000000,"3052 of 3141"
"Adair County",40001,33366.000000000,"2948 of 3141"
"McCurtain County",40089,34250.000000000,"2908 of 3141"
"Pushmataha County",40127,35414.000000000,"2845 of 3141"
"Greer County",40055,35898.000000000,"2812 of 3141"
"Jefferson County",40067,35933.000000000,"2806 of 3141"
"Atoka County",40005,37106.000000000,"2713 of 3141"
"Sequoyah County",40135,37455.000000000,"2680 of 3141"
"Seminole County",40133,37741.000000000,"2658 of 3141"
"Haskell County",40061,38017.000000000,"2635 of 3141"
"McIntosh County",40091,38163.000000000,"2622 of 3141"
"Kiowa County",40075,38191.000000000,"2620 of 3141"
"Delaware County",40041,38234.000000000,"2618 of 3141"
"Harmon County",40057,38264.000000000,"2613 of 3141"
"Okfuskee County",40107,38346.000000000,"2610 of 3141"
"Hughes County",40063,38425.000000000,"2606 of 3141"
"Ottawa County",40115,38472.000000000,"2604 of 3141"
"Johnston County",40069,38636.000000000,"2599 of 3141"
"Payne County",40119,39149.000000000,"2548 of 3141"
"Cherokee County",40021,39187.000000000,"2546 of 3141"
"Le Flore County",40079,39253.000000000,"2538 of 3141"
"Okmulgee County",40111,39567.000000000,"2500 of 3141"
"Coal County",40029,39931.000000000,"2476 of 3141"
"Craig County",40035,40465.000000000,"2432 of 3141"
"Latimer County",40077,40539.000000000,"2425 of 3141"
"Tillman County",40141,40728.000000000,"2396 of 3141"
"Bryan County",40013,41197.000000000,"2344 of 3141"
"Nowata County",40105,41282.000000000,"2330 of 3141"
"Muskogee County",40101,41329.000000000,"2327 of 3141"
"Caddo County",40015,41626.000000000,"2289 of 3141"
"Garvin County",40049,42567.000000000,"2186 of 3141"
"Kay County",40071,44067.000000000,"2028 of 3141"
"Cimarron County",40025,44667.000000000,"1967 of 3141"
"Stephens County",40137,44805.000000000,"1950 of 3141"
"Pittsburg County",40121,44941.000000000,"1928 of 3141"
"Jackson County",40065,45189.000000000,"1905 of 3141"
"Mayes County",40097,45302.000000000,"1894 of 3141"
"Marshall County",40095,45671.000000000,"1848 of 3141"
"Pottawatomie County",40125,46159.000000000,"1794 of 3141"
"Blaine County",40011,46362.000000000,"1763 of 3141"
"Pawnee County",40117,46460.000000000,"1750 of 3141"
"Pontotoc County",40123,46689.000000000,"1714 of 3141"
"Harper County",40059,46915.000000000,"1691 of 3141"
"Creek County",40037,47147.000000000,"1667 of 3141"
"Lincoln County",40081,47539.000000000,"1618 of 3141"
"Osage County",40113,47683.000000000,"1604 of 3141"
"Carter County",40019,47754.000000000,"1601 of 3141"
"Custer County",40039,48520.000000000,"1509 of 3141"
"Love County",40085,49409.000000000,"1428 of 3141"
"Texas County",40139,49469.000000000,"1423 of 3141"
"Comanche County",40031,49569.000000000,"1413 of 3141"
"Beckham County",40009,49625.000000000,"1408 of 3141"
"Cotton County",40033,49962.000000000,"1368 of 3141"
"Washington County",40147,50388.000000000,"1309 of 3141"
"Ellis County",40045,50594.000000000,"1288 of 3141"
"Garfield County",40047,50724.000000000,"1270 of 3141"
"Oklahoma County",40109,50762.000000000,"1265 of 3141"
