------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Oklahoma",40000,4.2,107434,"28 of 52"
"United States",00000,5.4,11759554,"N/A"
"Grant County",40053,1.3,41,"98 of 3141"
"Roger Mills County",40129,1.7,41,"197 of 3141"
"Cotton County",40033,1.7,71,"218 of 3141"
"Dewey County",40043,1.8,59,"255 of 3141"
"Noble County",40103,2.0,158,"338 of 3141"
"Washington County",40147,2.0,726,"351 of 3141"
"Cleveland County",40027,2.3,3985,"478 of 3141"
"Comanche County",40031,2.5,1972,"600 of 3141"
"Canadian County",40017,2.6,2254,"613 of 3141"
"Rogers County",40131,2.6,1581,"650 of 3141"
"Logan County",40083,2.8,822,"734 of 3141"
"Payne County",40119,2.8,1201,"739 of 3141"
"Wagoner County",40145,2.8,1448,"767 of 3141"
"Pawnee County",40117,3.0,334,"875 of 3141"
"Pontotoc County",40123,3.0,743,"895 of 3141"
"Beckham County",40009,3.2,491,"1030 of 3141"
"Osage County",40113,3.3,1073,"1036 of 3141"
"Creek County",40037,3.3,1578,"1054 of 3141"
"Muskogee County",40101,3.3,1529,"1076 of 3141"
"Woods County",40151,3.4,194,"1104 of 3141"
"Pottawatomie County",40125,3.5,1625,"1152 of 3141"
"Kay County",40071,3.5,1034,"1161 of 3141"
"Greer County",40055,3.5,150,"1172 of 3141"
"Lincoln County",40081,3.5,826,"1182 of 3141"
"Grady County",40051,3.6,1329,"1251 of 3141"
"Carter County",40019,3.7,1174,"1268 of 3141"
"Ellis County",40045,3.7,105,"1283 of 3141"
"Okmulgee County",40111,3.7,968,"1305 of 3141"
"Delaware County",40041,3.8,1135,"1328 of 3141"
"McIntosh County",40091,3.8,545,"1330 of 3141"
"Woodward County",40153,3.8,523,"1337 of 3141"
"Pittsburg County",40121,3.8,1200,"1359 of 3141"
"Alfalfa County",40003,3.9,171,"1412 of 3141"
"Stephens County",40137,4.0,1201,"1415 of 3141"
"Washita County",40149,4.0,307,"1424 of 3141"
"Garfield County",40047,4.0,1619,"1426 of 3141"
"Craig County",40035,4.0,413,"1453 of 3141"
"Latimer County",40077,4.1,292,"1475 of 3141"
"Bryan County",40013,4.1,1229,"1487 of 3141"
"Mayes County",40097,4.2,1150,"1509 of 3141"
"McClain County",40087,4.2,1059,"1536 of 3141"
"Tulsa County",40143,4.3,17801,"1552 of 3141"
"Caddo County",40015,4.3,830,"1555 of 3141"
"Cherokee County",40021,4.3,1296,"1583 of 3141"
"Seminole County",40133,4.4,726,"1615 of 3141"
"Ottawa County",40115,4.6,946,"1713 of 3141"
"Kiowa County",40075,4.7,297,"1751 of 3141"
"Garvin County",40049,4.7,878,"1768 of 3141"
"Kingfisher County",40073,4.9,494,"1829 of 3141"
"Murray County",40099,4.9,472,"1850 of 3141"
"Atoka County",40005,5.1,497,"1897 of 3141"
"Choctaw County",40023,5.2,537,"1941 of 3141"
"Nowata County",40105,5.3,383,"1965 of 3141"
"Haskell County",40061,5.3,463,"1976 of 3141"
"Sequoyah County",40135,5.4,1523,"1985 of 3141"
"Oklahoma County",40109,5.4,27126,"1987 of 3141"
"Custer County",40039,5.5,935,"2017 of 3141"
"Hughes County",40063,5.6,529,"2069 of 3141"
"Coal County",40029,5.8,221,"2145 of 3141"
"Adair County",40001,5.8,837,"2152 of 3141"
"Blaine County",40011,5.9,412,"2196 of 3141"
"Le Flore County",40079,6.0,2018,"2209 of 3141"
"Major County",40093,6.0,316,"2212 of 3141"
"McCurtain County",40089,6.1,1334,"2235 of 3141"
"Johnston County",40069,6.1,454,"2245 of 3141"
"Okfuskee County",40107,6.4,525,"2316 of 3141"
"Pushmataha County",40127,6.4,503,"2325 of 3141"
"Jefferson County",40067,6.7,287,"2400 of 3141"
"Love County",40085,7.5,489,"2571 of 3141"
"Beaver County",40007,7.8,282,"2621 of 3141"
"Marshall County",40095,8.1,902,"2658 of 3141"
"Jackson County",40065,8.1,1326,"2666 of 3141"
"Cimarron County",40025,8.8,138,"2755 of 3141"
"Harmon County",40057,9.5,186,"2833 of 3141"
"Harper County",40059,10.2,261,"2885 of 3141"
"Tillman County",40141,11.6,599,"2961 of 3141"
"Texas County",40139,17.3,2255,"3092 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
