------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Oklahoma",40000,4.3,164417,"46 of 51"
"Texas County",40139,1.1,240,"68 of 3140"
"McCurtain County",40089,1.4,461,"127 of 3140"
"Adair County",40001,1.6,340,"165 of 3140"
"Kingfisher County",40073,1.8,269,"237 of 3140"
"Bryan County",40013,2.0,888,"332 of 3140"
"Cimarron County",40025,2.1,46,"377 of 3140"
"Garvin County",40049,2.2,607,"458 of 3140"
"Le Flore County",40079,2.3,1141,"509 of 3140"
"Beaver County",40007,2.5,137,"659 of 3140"
"Love County",40085,2.5,248,"661 of 3140"
"Carter County",40019,2.6,1241,"693 of 3140"
"Roger Mills County",40129,2.8,103,"823 of 3140"
"Sequoyah County",40135,2.8,1159,"868 of 3140"
"Delaware County",40041,2.9,1187,"877 of 3140"
"McIntosh County",40091,2.9,565,"898 of 3140"
"Choctaw County",40023,2.9,431,"933 of 3140"
"Mayes County",40097,3.0,1216,"972 of 3140"
"Tulsa County",40143,3.0,19038,"997 of 3140"
"Garfield County",40047,3.2,1934,"1084 of 3140"
"Creek County",40037,3.2,2218,"1106 of 3140"
"Harmon County",40057,3.2,89,"1151 of 3140"
"Oklahoma County",40109,3.4,25885,"1253 of 3140"
"Ottawa County",40115,3.5,1085,"1322 of 3140"
"Pushmataha County",40127,3.6,392,"1385 of 3140"
"Grant County",40053,3.6,158,"1398 of 3140"
"Comanche County",40031,3.6,4367,"1429 of 3140"
"Haskell County",40061,3.7,461,"1467 of 3140"
"Lincoln County",40081,3.7,1266,"1490 of 3140"
"Okfuskee County",40107,3.7,444,"1509 of 3140"
"Coal County",40029,3.7,209,"1518 of 3140"
"Jackson County",40065,3.7,933,"1528 of 3140"
"Washita County",40149,3.8,435,"1583 of 3140"
"Johnston County",40069,3.8,417,"1586 of 3140"
"Stephens County",40137,3.9,1729,"1667 of 3140"
"Washington County",40147,4.0,2035,"1690 of 3140"
"Murray County",40099,4.0,550,"1727 of 3140"
"Caddo County",40015,4.1,1201,"1776 of 3140"
"Nowata County",40105,4.1,431,"1785 of 3140"
"Grady County",40051,4.2,2240,"1798 of 3140"
"Kay County",40071,4.2,1859,"1799 of 3140"
"Marshall County",40095,4.2,668,"1800 of 3140"
"Major County",40093,4.2,323,"1825 of 3140"
"Woodward County",40153,4.4,916,"1908 of 3140"
"Pontotoc County",40123,4.4,1663,"1930 of 3140"
"Latimer County",40077,4.5,477,"2013 of 3140"
"Cotton County",40033,4.6,275,"2051 of 3140"
"Cherokee County",40021,4.7,2245,"2096 of 3140"
"Pawnee County",40117,4.8,776,"2147 of 3140"
"Blaine County",40011,4.9,468,"2204 of 3140"
"Tillman County",40141,5.2,385,"2327 of 3140"
"Noble County",40103,5.2,591,"2361 of 3140"
"Rogers County",40131,5.2,4663,"2368 of 3140"
"Canadian County",40017,5.4,7041,"2423 of 3140"
"Kiowa County",40075,5.4,494,"2460 of 3140"
"Okmulgee County",40111,5.5,2124,"2486 of 3140"
"Seminole County",40133,5.6,1389,"2510 of 3140"
"Pittsburg County",40121,5.6,2477,"2518 of 3140"
"Pottawatomie County",40125,5.6,3995,"2530 of 3140"
"Hughes County",40063,5.8,769,"2579 of 3140"
"Harper County",40059,6.0,228,"2642 of 3140"
"Osage County",40113,6.1,2851,"2648 of 3140"
"Logan County",40083,6.1,2757,"2664 of 3140"
"Muskogee County",40101,6.2,4224,"2666 of 3140"
"Beckham County",40009,6.2,1397,"2668 of 3140"
"Custer County",40039,6.5,1885,"2748 of 3140"
"Alfalfa County",40003,6.6,386,"2764 of 3140"
"Ellis County",40045,6.8,276,"2798 of 3140"
"Cleveland County",40027,6.8,18472,"2801 of 3140"
"Wagoner County",40145,7.1,5387,"2840 of 3140"
"Dewey County",40043,7.1,347,"2845 of 3140"
"Jefferson County",40067,7.3,453,"2869 of 3140"
"Craig County",40035,8.0,1149,"2944 of 3140"
"Atoka County",40005,8.5,1163,"2989 of 3140"
"Woods County",40151,8.7,774,"3003 of 3140"
"McClain County",40087,9.0,3381,"3022 of 3140"
"Payne County",40119,9.0,7175,"3023 of 3140"
"Greer County",40055,12.0,718,"3106 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
