------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Oklahoma",40000,7.3,283821,"28 of 52"
"United States",00000,12.7,40610815,"N/A"
"Ellis County",40045,0.0,0,"3052 of 3141"
"Beaver County",40007,0.1,4,"2993 of 3141"
"Harper County",40059,0.1,3,"2990 of 3141"
"Washita County",40149,0.1,15,"2932 of 3141"
"Roger Mills County",40129,0.1,5,"2927 of 3141"
"Grant County",40053,0.2,7,"2899 of 3141"
"Coal County",40029,0.2,9,"2897 of 3141"
"Dewey County",40043,0.2,8,"2894 of 3141"
"Delaware County",40041,0.3,107,"2805 of 3141"
"Adair County",40001,0.3,67,"2759 of 3141"
"Cimarron County",40025,0.3,7,"2742 of 3141"
"Major County",40093,0.3,25,"2727 of 3141"
"Mayes County",40097,0.5,220,"2482 of 3141"
"Haskell County",40061,0.8,105,"2176 of 3141"
"Woodward County",40153,0.8,176,"2168 of 3141"
"Pushmataha County",40127,0.8,94,"2160 of 3141"
"Noble County",40103,0.8,97,"2152 of 3141"
"Pawnee County",40117,1.0,170,"2021 of 3141"
"Rogers County",40131,1.1,947,"2008 of 3141"
"Ottawa County",40115,1.1,334,"2007 of 3141"
"Latimer County",40077,1.1,114,"1999 of 3141"
"McClain County",40087,1.1,419,"1982 of 3141"
"Kingfisher County",40073,1.1,172,"1981 of 3141"
"Johnston County",40069,1.2,132,"1940 of 3141"
"Jefferson County",40067,1.3,81,"1902 of 3141"
"Cherokee County",40021,1.4,672,"1851 of 3141"
"Marshall County",40095,1.6,256,"1761 of 3141"
"Murray County",40099,1.7,230,"1727 of 3141"
"Stephens County",40137,1.8,794,"1689 of 3141"
"Lincoln County",40081,1.8,638,"1673 of 3141"
"Bryan County",40013,1.9,834,"1669 of 3141"
"Love County",40085,1.9,189,"1651 of 3141"
"Sequoyah County",40135,2.0,811,"1642 of 3141"
"Kay County",40071,2.0,895,"1636 of 3141"
"Cotton County",40033,2.0,119,"1635 of 3141"
"Grady County",40051,2.2,1170,"1590 of 3141"
"Pontotoc County",40123,2.2,829,"1588 of 3141"
"Creek County",40037,2.2,1573,"1574 of 3141"
"Nowata County",40105,2.2,234,"1572 of 3141"
"Caddo County",40015,2.2,661,"1569 of 3141"
"Le Flore County",40079,2.3,1134,"1562 of 3141"
"Canadian County",40017,2.4,3183,"1534 of 3141"
"Garvin County",40049,2.4,665,"1533 of 3141"
"Alfalfa County",40003,2.4,142,"1530 of 3141"
"Woods County",40151,2.5,232,"1498 of 3141"
"Washington County",40147,2.5,1318,"1496 of 3141"
"McIntosh County",40091,2.8,549,"1454 of 3141"
"Craig County",40035,3.0,441,"1406 of 3141"
"Custer County",40039,3.1,891,"1402 of 3141"
"Garfield County",40047,3.2,1969,"1386 of 3141"
"Pittsburg County",40121,3.2,1421,"1381 of 3141"
"Pottawatomie County",40125,3.2,2283,"1380 of 3141"
"Kiowa County",40075,3.2,296,"1369 of 3141"
"Beckham County",40009,3.4,772,"1348 of 3141"
"Wagoner County",40145,3.5,2680,"1325 of 3141"
"Atoka County",40005,3.7,518,"1300 of 3141"
"Blaine County",40011,4.0,384,"1262 of 3141"
"Payne County",40119,4.0,3227,"1256 of 3141"
"Texas County",40139,4.0,864,"1250 of 3141"
"Cleveland County",40027,4.7,12848,"1174 of 3141"
"Seminole County",40133,4.8,1214,"1167 of 3141"
"Hughes County",40063,6.0,810,"1042 of 3141"
"Carter County",40019,6.4,3080,"1005 of 3141"
"Jackson County",40065,7.3,1861,"938 of 3141"
"Harmon County",40057,7.4,203,"934 of 3141"
"Okfuskee County",40107,7.7,931,"918 of 3141"
"McCurtain County",40089,8.0,2649,"898 of 3141"
"Greer County",40055,8.4,506,"881 of 3141"
"Tillman County",40141,8.5,648,"871 of 3141"
"Okmulgee County",40111,8.6,3370,"867 of 3141"
"Logan County",40083,8.7,3930,"861 of 3141"
"Tulsa County",40143,10.0,63631,"795 of 3141"
"Muskogee County",40101,10.8,7514,"763 of 3141"
"Osage County",40113,11.3,5358,"735 of 3141"
"Choctaw County",40023,11.4,1702,"733 of 3141"
"Oklahoma County",40109,15.0,116174,"612 of 3141"
"Comanche County",40031,17.2,21200,"562 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
