------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Oklahoma",40000,82.8,3185821,"41 of 51"
"United States",00000,85.4,270854872,"N/A"
"Comanche County",40031,70.8,85810,"3123 of 3140"
"Payne County",40119,74.0,58866,"3098 of 3140"
"Jackson County",40065,76.4,19122,"3064 of 3140"
"Woods County",40151,76.6,6816,"3057 of 3140"
"Greer County",40055,78.6,4686,"3009 of 3140"
"Cleveland County",40027,78.9,213817,"3000 of 3140"
"Custer County",40039,80.1,23126,"2928 of 3140"
"Kay County",40071,80.6,35989,"2891 of 3140"
"Oklahoma County",40109,80.8,616001,"2869 of 3140"
"Tulsa County",40143,81.0,508855,"2853 of 3140"
"Muskogee County",40101,81.5,55901,"2811 of 3140"
"Pittsburg County",40121,81.5,36013,"2809 of 3140"
"Woodward County",40153,81.8,17163,"2781 of 3140"
"Garfield County",40047,82.2,50408,"2726 of 3140"
"Washington County",40147,82.4,42181,"2700 of 3140"
"Pontotoc County",40123,82.8,31253,"2651 of 3140"
"Okmulgee County",40111,82.9,32008,"2635 of 3140"
"Kiowa County",40075,82.9,7536,"2631 of 3140"
"Tillman County",40141,83.0,6195,"2624 of 3140"
"Atoka County",40005,83.2,11431,"2599 of 3140"
"Latimer County",40077,83.4,8767,"2553 of 3140"
"Bryan County",40013,83.6,37178,"2514 of 3140"
"Jefferson County",40067,83.6,5205,"2509 of 3140"
"Alfalfa County",40003,83.9,4897,"2457 of 3140"
"Sequoyah County",40135,84.1,34358,"2415 of 3140"
"Stephens County",40137,84.1,36910,"2414 of 3140"
"Pottawatomie County",40125,84.2,59588,"2407 of 3140"
"Blaine County",40011,84.2,8047,"2405 of 3140"
"Texas County",40139,84.3,17807,"2384 of 3140"
"Carter County",40019,84.8,40628,"2266 of 3140"
"Noble County",40103,85.0,9627,"2223 of 3140"
"Ottawa County",40115,85.1,26643,"2194 of 3140"
"Canadian County",40017,85.1,111902,"2187 of 3140"
"Cotton County",40033,85.3,5072,"2152 of 3140"
"Cherokee County",40021,85.3,40772,"2140 of 3140"
"Murray County",40099,85.4,11638,"2103 of 3140"
"Nowata County",40105,85.5,8891,"2080 of 3140"
"Choctaw County",40023,85.6,12604,"2054 of 3140"
"Seminole County",40133,85.9,21404,"1983 of 3140"
"Craig County",40035,86.0,12418,"1939 of 3140"
"Beckham County",40009,86.1,19511,"1918 of 3140"
"McClain County",40087,86.1,32321,"1914 of 3140"
"Wagoner County",40145,86.3,65645,"1860 of 3140"
"Logan County",40083,86.5,38830,"1781 of 3140"
"Beaver County",40007,86.6,4663,"1765 of 3140"
"Johnston County",40069,86.6,9475,"1738 of 3140"
"Ellis County",40045,86.7,3518,"1709 of 3140"
"Harper County",40059,86.9,3277,"1655 of 3140"
"Rogers County",40131,86.9,77524,"1635 of 3140"
"Caddo County",40015,87.3,25389,"1526 of 3140"
"Pushmataha County",40127,87.7,9683,"1384 of 3140"
"Le Flore County",40079,87.8,43249,"1352 of 3140"
"Marshall County",40095,87.9,14094,"1320 of 3140"
"Delaware County",40041,87.9,36570,"1307 of 3140"
"Grady County",40051,88.2,47498,"1192 of 3140"
"Coal County",40029,88.2,4957,"1182 of 3140"
"Haskell County",40061,88.6,11185,"1072 of 3140"
"Harmon County",40057,88.6,2435,"1053 of 3140"
"Pawnee County",40117,89.0,14472,"899 of 3140"
"Dewey County",40043,89.2,4357,"861 of 3140"
"Okfuskee County",40107,89.4,10706,"813 of 3140"
"Hughes County",40063,89.4,11930,"806 of 3140"
"Major County",40093,89.4,6862,"802 of 3140"
"Osage County",40113,89.4,41937,"797 of 3140"
"Grant County",40053,89.6,3978,"749 of 3140"
"Mayes County",40097,89.8,36437,"687 of 3140"
"Cimarron County",40025,90.1,1989,"598 of 3140"
"Love County",40085,90.3,8796,"552 of 3140"
"Washita County",40149,90.4,10332,"533 of 3140"
"Lincoln County",40081,90.8,31263,"455 of 3140"
"Adair County",40001,91.4,19937,"343 of 3140"
"Creek County",40037,91.8,64260,"259 of 3140"
"McIntosh County",40091,92.0,18054,"232 of 3140"
"Roger Mills County",40129,92.2,3429,"211 of 3140"
"McCurtain County",40089,92.3,30171,"206 of 3140"
"Kingfisher County",40073,92.4,14100,"193 of 3140"
"Garvin County",40049,93.1,25454,"134 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
