------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Oklahoma",40000,2.1,30995,"23 of 51"
"United States",00000,4.5,5305440,"N/A"
"Pawnee County",40117,0.1,8,"452 of 3140"
"Hughes County",40063,0.2,8,"567 of 3140"
"Latimer County",40077,0.2,8,"588 of 3140"
"Cotton County",40033,0.2,5,"632 of 3140"
"Osage County",40113,0.2,44,"669 of 3140"
"Lincoln County",40081,0.2,32,"685 of 3140"
"Choctaw County",40023,0.3,18,"788 of 3140"
"Noble County",40103,0.3,14,"792 of 3140"
"Johnston County",40069,0.3,14,"835 of 3140"
"Grady County",40051,0.3,68,"864 of 3140"
"Creek County",40037,0.4,103,"954 of 3140"
"Nowata County",40105,0.4,16,"959 of 3140"
"Ellis County",40045,0.4,7,"1031 of 3140"
"McIntosh County",40091,0.5,42,"1135 of 3140"
"Pushmataha County",40127,0.5,23,"1139 of 3140"
"Okfuskee County",40107,0.5,21,"1167 of 3140"
"Logan County",40083,0.5,84,"1182 of 3140"
"Atoka County",40005,0.5,29,"1195 of 3140"
"Garvin County",40049,0.6,62,"1267 of 3140"
"Okmulgee County",40111,0.6,88,"1269 of 3140"
"Greer County",40055,0.6,13,"1289 of 3140"
"Pottawatomie County",40125,0.6,157,"1292 of 3140"
"Sequoyah County",40135,0.6,99,"1343 of 3140"
"Pontotoc County",40123,0.7,97,"1373 of 3140"
"Roger Mills County",40129,0.7,10,"1466 of 3140"
"Delaware County",40041,0.8,126,"1486 of 3140"
"Beckham County",40009,0.8,58,"1493 of 3140"
"Adair County",40001,0.8,61,"1515 of 3140"
"Washington County",40147,0.8,165,"1529 of 3140"
"Alfalfa County",40003,0.8,16,"1541 of 3140"
"Seminole County",40133,0.8,77,"1570 of 3140"
"Rogers County",40131,0.9,290,"1587 of 3140"
"Stephens County",40137,0.9,150,"1601 of 3140"
"Coal County",40029,0.9,20,"1621 of 3140"
"Wagoner County",40145,0.9,257,"1639 of 3140"
"Haskell County",40061,0.9,45,"1655 of 3140"
"Bryan County",40013,0.9,158,"1664 of 3140"
"Woods County",40151,0.9,32,"1668 of 3140"
"Craig County",40035,0.9,51,"1670 of 3140"
"Mayes County",40097,1.0,150,"1679 of 3140"
"Washita County",40149,1.0,43,"1685 of 3140"
"Ottawa County",40115,1.0,119,"1705 of 3140"
"Canadian County",40017,1.0,442,"1723 of 3140"
"Carter County",40019,1.0,185,"1727 of 3140"
"Kiowa County",40075,1.0,39,"1732 of 3140"
"Muskogee County",40101,1.1,282,"1790 of 3140"
"McClain County",40087,1.1,159,"1840 of 3140"
"Woodward County",40153,1.2,85,"1843 of 3140"
"Dewey County",40043,1.2,20,"1850 of 3140"
"Grant County",40053,1.2,23,"1901 of 3140"
"Pittsburg County",40121,1.4,249,"2016 of 3140"
"Blaine County",40011,1.4,54,"2032 of 3140"
"Payne County",40119,1.4,432,"2036 of 3140"
"Cherokee County",40021,1.5,250,"2094 of 3140"
"Jefferson County",40067,1.5,37,"2121 of 3140"
"Major County",40093,1.6,47,"2125 of 3140"
"Comanche County",40031,1.6,672,"2133 of 3140"
"Kay County",40071,1.6,280,"2134 of 3140"
"McCurtain County",40089,1.6,208,"2156 of 3140"
"Murray County",40099,1.6,85,"2165 of 3140"
"Cleveland County",40027,1.7,1773,"2217 of 3140"
"Le Flore County",40079,1.8,335,"2268 of 3140"
"Marshall County",40095,2.6,163,"2543 of 3140"
"Caddo County",40015,2.6,270,"2547 of 3140"
"Custer County",40039,2.8,296,"2600 of 3140"
"Garfield County",40047,3.1,726,"2645 of 3140"
"Tulsa County",40143,3.1,7807,"2653 of 3140"
"Jackson County",40065,3.2,315,"2664 of 3140"
"Love County",40085,3.7,116,"2745 of 3140"
"Oklahoma County",40109,3.8,11342,"2757 of 3140"
"Kingfisher County",40073,3.9,220,"2763 of 3140"
"Cimarron County",40025,4.1,41,"2785 of 3140"
"Beaver County",40007,4.3,90,"2800 of 3140"
"Tillman County",40141,4.4,133,"2816 of 3140"
"Harmon County",40057,5.0,59,"2864 of 3140"
"Harper County",40059,5.4,73,"2886 of 3140"
"Texas County",40139,11.4,799,"3079 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
