------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Oklahoma",40000,2.8,41283,"16 of 52"
"United States",00000,3.3,3975282,"N/A"
"Greer County",40055,0.0,0,"3097 of 3141"
"Woods County",40151,0.1,3,"3093 of 3141"
"Grant County",40053,0.7,13,"2896 of 3141"
"Roger Mills County",40129,0.7,10,"2858 of 3141"
"Kiowa County",40075,1.0,40,"2568 of 3141"
"Ellis County",40045,1.0,17,"2565 of 3141"
"Alfalfa County",40003,1.1,22,"2495 of 3141"
"Noble County",40103,1.2,53,"2437 of 3141"
"Beaver County",40007,1.2,26,"2339 of 3141"
"Dewey County",40043,1.4,24,"2154 of 3141"
"McClain County",40087,1.5,211,"1997 of 3141"
"Craig County",40035,1.6,85,"1942 of 3141"
"Love County",40085,1.7,54,"1765 of 3141"
"Nowata County",40105,1.8,73,"1714 of 3141"
"Stephens County",40137,1.8,312,"1698 of 3141"
"Atoka County",40005,1.8,97,"1669 of 3141"
"Washington County",40147,1.8,382,"1656 of 3141"
"Washita County",40149,1.9,83,"1650 of 3141"
"Hughes County",40063,1.9,81,"1594 of 3141"
"Johnston County",40069,1.9,81,"1591 of 3141"
"Kingfisher County",40073,1.9,109,"1578 of 3141"
"Muskogee County",40101,2.0,515,"1527 of 3141"
"Jefferson County",40067,2.0,48,"1491 of 3141"
"Pittsburg County",40121,2.0,358,"1490 of 3141"
"Okmulgee County",40111,2.1,305,"1446 of 3141"
"Grady County",40051,2.2,428,"1328 of 3141"
"Woodward County",40153,2.2,160,"1323 of 3141"
"Canadian County",40017,2.3,993,"1232 of 3141"
"Comanche County",40031,2.3,993,"1190 of 3141"
"Pontotoc County",40123,2.4,344,"1130 of 3141"
"Jackson County",40065,2.4,238,"1114 of 3141"
"Blaine County",40011,2.5,94,"1059 of 3141"
"Pottawatomie County",40125,2.5,639,"1056 of 3141"
"Garvin County",40049,2.5,259,"1046 of 3141"
"Cleveland County",40027,2.5,2566,"1028 of 3141"
"Le Flore County",40079,2.6,471,"971 of 3141"
"Rogers County",40131,2.6,894,"943 of 3141"
"Kay County",40071,2.7,478,"906 of 3141"
"Lincoln County",40081,2.7,351,"872 of 3141"
"Coal County",40029,2.8,62,"840 of 3141"
"Tulsa County",40143,2.8,7052,"816 of 3141"
"Wagoner County",40145,2.8,800,"814 of 3141"
"Delaware County",40041,2.8,470,"807 of 3141"
"Beckham County",40009,2.8,215,"804 of 3141"
"Oklahoma County",40109,2.8,8431,"801 of 3141"
"Harmon County",40057,3.0,35,"763 of 3141"
"Osage County",40113,3.0,548,"749 of 3141"
"Garfield County",40047,3.0,716,"735 of 3141"
"Harper County",40059,3.0,41,"716 of 3141"
"Choctaw County",40023,3.1,183,"705 of 3141"
"Pushmataha County",40127,3.1,143,"658 of 3141"
"Carter County",40019,3.2,593,"618 of 3141"
"Major County",40093,3.3,100,"595 of 3141"
"Payne County",40119,3.3,1008,"586 of 3141"
"Custer County",40039,3.4,351,"568 of 3141"
"Latimer County",40077,3.4,135,"566 of 3141"
"Cherokee County",40021,3.4,551,"563 of 3141"
"Cotton County",40033,3.4,78,"540 of 3141"
"Marshall County",40095,3.4,215,"539 of 3141"
"Caddo County",40015,3.5,358,"529 of 3141"
"Pawnee County",40117,3.5,220,"506 of 3141"
"Seminole County",40133,3.5,328,"502 of 3141"
"Creek County",40037,3.6,939,"501 of 3141"
"Cimarron County",40025,3.6,36,"479 of 3141"
"Logan County",40083,3.7,579,"459 of 3141"
"Bryan County",40013,3.7,626,"458 of 3141"
"Mayes County",40097,3.8,590,"441 of 3141"
"Murray County",40099,3.8,203,"419 of 3141"
"Haskell County",40061,4.0,195,"375 of 3141"
"Tillman County",40141,4.1,123,"362 of 3141"
"Ottawa County",40115,4.2,506,"331 of 3141"
"Okfuskee County",40107,4.2,169,"326 of 3141"
"McCurtain County",40089,4.7,608,"253 of 3141"
"Sequoyah County",40135,4.8,745,"239 of 3141"
"McIntosh County",40091,5.0,421,"218 of 3141"
"Adair County",40001,5.9,462,"157 of 3141"
"Texas County",40139,7.7,538,"87 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
