------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Oklahoma",40000,9.7,371780,"43 of 51"
"Roger Mills County",40129,1.8,67,"80 of 3140"
"Dewey County",40043,2.7,133,"193 of 3140"
"Ellis County",40045,2.9,118,"235 of 3140"
"Harper County",40059,2.9,110,"238 of 3140"
"Osage County",40113,3.1,1457,"284 of 3140"
"Washita County",40149,3.6,413,"402 of 3140"
"McClain County",40087,3.7,1397,"441 of 3140"
"Logan County",40083,3.9,1755,"505 of 3140"
"Garvin County",40049,4.0,1100,"543 of 3140"
"McIntosh County",40091,4.1,799,"557 of 3140"
"Hughes County",40063,4.2,554,"575 of 3140"
"Lincoln County",40081,4.3,1467,"607 of 3140"
"Creek County",40037,4.3,3019,"626 of 3140"
"Craig County",40035,4.6,665,"746 of 3140"
"Major County",40093,4.8,371,"842 of 3140"
"Marshall County",40095,4.9,790,"887 of 3140"
"Wagoner County",40145,5.0,3801,"915 of 3140"
"Love County",40085,5.0,488,"921 of 3140"
"Kingfisher County",40073,5.1,775,"956 of 3140"
"McCurtain County",40089,5.2,1692,"996 of 3140"
"Adair County",40001,5.2,1129,"997 of 3140"
"Pawnee County",40117,5.3,866,"1081 of 3140"
"Beckham County",40009,5.4,1215,"1095 of 3140"
"Alfalfa County",40003,5.4,316,"1123 of 3140"
"Mayes County",40097,5.7,2303,"1247 of 3140"
"Grant County",40053,5.7,254,"1272 of 3140"
"Delaware County",40041,5.7,2383,"1274 of 3140"
"Cimarron County",40025,5.9,130,"1369 of 3140"
"Tillman County",40141,6.1,453,"1469 of 3140"
"Grady County",40051,6.1,3277,"1476 of 3140"
"Rogers County",40131,6.3,5597,"1571 of 3140"
"Coal County",40029,6.4,360,"1636 of 3140"
"Okfuskee County",40107,6.4,768,"1637 of 3140"
"Johnston County",40069,6.5,714,"1693 of 3140"
"Cotton County",40033,6.5,389,"1696 of 3140"
"Noble County",40103,6.6,744,"1708 of 3140"
"Canadian County",40017,6.6,8660,"1717 of 3140"
"Pushmataha County",40127,6.6,729,"1722 of 3140"
"Haskell County",40061,6.7,852,"1778 of 3140"
"Greer County",40055,6.8,404,"1792 of 3140"
"Caddo County",40015,6.8,1979,"1800 of 3140"
"Harmon County",40057,6.8,187,"1804 of 3140"
"Blaine County",40011,6.8,651,"1805 of 3140"
"Seminole County",40133,6.9,1709,"1815 of 3140"
"Le Flore County",40079,6.9,3418,"1842 of 3140"
"Atoka County",40005,7.3,998,"1987 of 3140"
"Jefferson County",40067,7.4,458,"2030 of 3140"
"Cherokee County",40021,8.2,3926,"2340 of 3140"
"Pottawatomie County",40125,8.3,5875,"2363 of 3140"
"Ottawa County",40115,8.4,2631,"2380 of 3140"
"Choctaw County",40023,8.8,1297,"2501 of 3140"
"Beaver County",40007,9.1,488,"2580 of 3140"
"Nowata County",40105,9.2,952,"2596 of 3140"
"Kiowa County",40075,9.2,833,"2599 of 3140"
"Latimer County",40077,9.2,967,"2608 of 3140"
"Murray County",40099,9.2,1255,"2614 of 3140"
"Bryan County",40013,9.6,4250,"2695 of 3140"
"Muskogee County",40101,9.6,6599,"2706 of 3140"
"Carter County",40019,9.7,4626,"2712 of 3140"
"Stephens County",40137,9.7,4274,"2733 of 3140"
"Texas County",40139,9.8,2071,"2745 of 3140"
"Washington County",40147,9.9,5072,"2766 of 3140"
"Sequoyah County",40135,9.9,4056,"2772 of 3140"
"Okmulgee County",40111,10.0,3843,"2773 of 3140"
"Custer County",40039,10.1,2915,"2802 of 3140"
"Garfield County",40047,10.1,6202,"2804 of 3140"
"Woods County",40151,10.2,911,"2825 of 3140"
"Cleveland County",40027,10.2,27762,"2830 of 3140"
"Pittsburg County",40121,10.7,4713,"2890 of 3140"
"Pontotoc County",40123,10.9,4103,"2917 of 3140"
"Kay County",40071,11.0,4923,"2941 of 3140"
"Payne County",40119,11.3,9018,"2978 of 3140"
"Woodward County",40153,11.4,2392,"2986 of 3140"
"Oklahoma County",40109,12.4,94537,"3060 of 3140"
"Tulsa County",40143,12.6,78865,"3067 of 3140"
"Jackson County",40065,13.9,3489,"3111 of 3140"
"Comanche County",40031,14.0,17021,"3112 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
