------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Oklahoma",40000,5.7,105375,"18 of 52"
"United States",00000,6.6,10560305,"N/A"
"Cimarron County",40025,2.3,24,"174 of 3141"
"Dewey County",40043,2.3,49,"175 of 3141"
"Texas County",40139,3.1,361,"338 of 3141"
"Harper County",40059,3.2,54,"360 of 3141"
"Roger Mills County",40129,3.4,60,"428 of 3141"
"Grant County",40053,3.5,75,"454 of 3141"
"Garvin County",40049,3.5,392,"465 of 3141"
"Custer County",40039,3.6,509,"473 of 3141"
"Blaine County",40011,3.6,129,"480 of 3141"
"McClain County",40087,3.8,693,"548 of 3141"
"Grady County",40051,3.8,966,"557 of 3141"
"Love County",40085,3.9,160,"579 of 3141"
"Murray County",40099,3.9,248,"603 of 3141"
"Beaver County",40007,3.9,102,"606 of 3141"
"Creek County",40037,4.2,1318,"678 of 3141"
"Canadian County",40017,4.3,3027,"739 of 3141"
"Payne County",40119,4.5,1700,"809 of 3141"
"Alfalfa County",40003,4.5,106,"840 of 3141"
"Washita County",40149,4.6,237,"856 of 3141"
"Woods County",40151,4.6,223,"857 of 3141"
"Beckham County",40009,4.6,449,"869 of 3141"
"Major County",40093,4.6,163,"891 of 3141"
"Washington County",40147,4.7,1124,"915 of 3141"
"Cleveland County",40027,4.8,6987,"974 of 3141"
"Logan County",40083,4.8,1061,"975 of 3141"
"Noble County",40103,4.9,264,"986 of 3141"
"Rogers County",40131,5.0,2283,"1050 of 3141"
"Pontotoc County",40123,5.1,926,"1098 of 3141"
"Jackson County",40065,5.2,582,"1125 of 3141"
"Pawnee County",40117,5.2,361,"1130 of 3141"
"Kingfisher County",40073,5.2,389,"1155 of 3141"
"Oklahoma County",40109,5.2,20135,"1160 of 3141"
"Marshall County",40095,5.3,354,"1174 of 3141"
"Garfield County",40047,5.3,1561,"1190 of 3141"
"Mayes County",40097,5.3,967,"1200 of 3141"
"Tillman County",40141,5.5,181,"1269 of 3141"
"Adair County",40001,5.5,471,"1273 of 3141"
"Craig County",40035,5.5,338,"1299 of 3141"
"Ellis County",40045,5.6,106,"1323 of 3141"
"Woodward County",40153,5.6,551,"1324 of 3141"
"McCurtain County",40089,5.7,750,"1375 of 3141"
"Tulsa County",40143,5.9,19326,"1476 of 3141"
"Lincoln County",40081,5.9,907,"1505 of 3141"
"Osage County",40113,6.1,1249,"1584 of 3141"
"Kiowa County",40075,6.1,256,"1611 of 3141"
"Harmon County",40057,6.2,79,"1659 of 3141"
"Pittsburg County",40121,6.3,1227,"1694 of 3141"
"Wagoner County",40145,6.4,2437,"1731 of 3141"
"Bryan County",40013,6.4,1288,"1753 of 3141"
"Carter County",40019,6.4,1412,"1762 of 3141"
"Johnston County",40069,6.6,288,"1864 of 3141"
"Greer County",40055,6.6,151,"1877 of 3141"
"Atoka County",40005,6.6,330,"1880 of 3141"
"Pottawatomie County",40125,6.7,2118,"1906 of 3141"
"Stephens County",40137,6.8,1340,"1952 of 3141"
"Kay County",40071,6.9,1423,"1988 of 3141"
"Muskogee County",40101,6.9,1979,"1991 of 3141"
"Le Flore County",40079,6.9,1377,"1993 of 3141"
"Ottawa County",40115,7.2,995,"2104 of 3141"
"Jefferson County",40067,7.2,178,"2125 of 3141"
"Latimer County",40077,7.4,310,"2204 of 3141"
"Caddo County",40015,7.6,919,"2262 of 3141"
"Pushmataha County",40127,7.9,362,"2383 of 3141"
"Cherokee County",40021,7.9,1661,"2389 of 3141"
"Coal County",40029,7.9,193,"2397 of 3141"
"Seminole County",40133,8.0,807,"2423 of 3141"
"Okfuskee County",40107,8.2,347,"2487 of 3141"
"Delaware County",40041,8.3,1422,"2517 of 3141"
"McIntosh County",40091,8.5,653,"2558 of 3141"
"Hughes County",40063,8.6,403,"2577 of 3141"
"Choctaw County",40023,8.6,479,"2591 of 3141"
"Sequoyah County",40135,8.7,1485,"2604 of 3141"
"Cotton County",40033,8.7,233,"2616 of 3141"
"Comanche County",40031,8.8,4741,"2619 of 3141"
"Haskell County",40061,8.9,457,"2655 of 3141"
"Nowata County",40105,9.5,447,"2773 of 3141"
"Okmulgee County",40111,10.0,1660,"2839 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
