------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Louisiana",22000,31.5,1469812,"13 of 52"
"United States",00000,32.4,104105673,"N/A"
"Lincoln Parish",22061,23.4,11124,"29 of 3141"
"Vernon Parish",22115,24.4,12665,"37 of 3141"
"Natchitoches Parish",22069,27.9,10903,"180 of 3141"
"East Baton Rouge Parish",22033,29.1,129860,"286 of 3141"
"East Carroll Parish",22035,29.7,2171,"347 of 3141"
"Bossier Parish",22015,30.0,37739,"399 of 3141"
"Madison Parish",22065,30.1,3491,"404 of 3141"
"Franklin Parish",22041,30.3,6170,"444 of 3141"
"Tangipahoa Parish",22105,30.4,39113,"462 of 3141"
"St. Bernard Parish",22087,30.4,13707,"472 of 3141"
"Ouachita Parish",22073,30.5,47712,"485 of 3141"
"Evangeline Parish",22039,30.5,10309,"495 of 3141"
"Lafayette Parish",22055,30.6,72798,"499 of 3141"
"Acadia Parish",22001,30.7,19232,"534 of 3141"
"St. Landry Parish",22097,31.0,25888,"590 of 3141"
"Terrebonne Parish",22109,31.2,35279,"648 of 3141"
"Calcasieu Parish",22019,31.2,62059,"654 of 3141"
"Livingston Parish",22063,31.3,42924,"675 of 3141"
"Caddo Parish",22017,31.3,78616,"676 of 3141"
"St. Helena Parish",22091,31.3,3293,"686 of 3141"
"Iberia Parish",22045,31.4,23058,"720 of 3141"
"Rapides Parish",22079,31.5,41595,"736 of 3141"
"Concordia Parish",22029,31.6,6380,"761 of 3141"
"Jefferson Davis Parish",22053,31.7,9945,"795 of 3141"
"West Baton Rouge Parish",22121,31.7,8096,"813 of 3141"
"Jackson Parish",22049,31.7,5064,"824 of 3141"
"Richland Parish",22083,31.8,6553,"830 of 3141"
"Catahoula Parish",22025,31.8,3194,"834 of 3141"
"Sabine Parish",22085,31.8,7682,"838 of 3141"
"Orleans Parish",22071,31.9,123644,"854 of 3141"
"LaFourche Parish",22057,31.9,31290,"873 of 3141"
"Beauregard Parish",22011,32.0,11695,"889 of 3141"
"Avoyelles Parish",22009,32.0,13149,"907 of 3141"
"Red River Parish",22081,32.1,2798,"936 of 3141"
"West Carroll Parish",22123,32.1,3622,"962 of 3141"
"Webster Parish",22119,32.1,12873,"972 of 3141"
"Vermilion Parish",22113,32.2,19270,"988 of 3141"
"La Salle Parish",22059,32.2,4809,"991 of 3141"
"St. Mary Parish",22101,32.3,17005,"1047 of 3141"
"Morehouse Parish",22067,32.4,8516,"1069 of 3141"
"Ascension Parish",22005,32.5,38728,"1117 of 3141"
"Caldwell Parish",22021,32.6,3260,"1153 of 3141"
"St. John the Baptist Parish",22095,32.7,14261,"1207 of 3141"
"De Soto Parish",22031,32.8,8918,"1254 of 3141"
"St. Martin Parish",22099,32.9,17616,"1268 of 3141"
"Grant Parish",22043,32.9,7330,"1272 of 3141"
"Washington Parish",22117,33.0,15340,"1348 of 3141"
"Jefferson Parish",22051,33.2,145301,"1450 of 3141"
"Union Parish",22111,33.3,7501,"1471 of 3141"
"Tensas Parish",22107,33.3,1588,"1472 of 3141"
"St. James Parish",22093,33.3,7164,"1497 of 3141"
"Plaquemines Parish",22075,33.4,7817,"1541 of 3141"
"Bienville Parish",22013,33.5,4624,"1588 of 3141"
"Allen Parish",22003,33.6,8632,"1664 of 3141"
"Assumption Parish",22007,33.7,7703,"1686 of 3141"
"Iberville Parish",22047,33.7,11169,"1711 of 3141"
"Claiborne Parish",22027,33.8,5511,"1770 of 3141"
"Pointe Coupee Parish",22077,33.8,7538,"1793 of 3141"
"Winn Parish",22127,34.2,5011,"1992 of 3141"
"St. Charles Parish",22089,34.3,18102,"2033 of 3141"
"St. Tammany Parish",22103,34.4,85706,"2067 of 3141"
"East Feliciana Parish",22037,37.2,7271,"2950 of 3141"
"West Feliciana Parish",22125,37.6,5778,"3002 of 3141"
"Cameron Parish",22023,39.0,2652,"3076 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
