------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Louisiana",22000,30.6,1425068,"44 of 52"
"Tensas Parish",22107,20.3,968,"214 of 3141"
"Cameron Parish",22023,22.1,1506,"466 of 3141"
"Pointe Coupee Parish",22077,24.8,5515,"1219 of 3141"
"Bienville Parish",22013,24.8,3428,"1248 of 3141"
"Sabine Parish",22085,24.9,6017,"1286 of 3141"
"Union Parish",22111,25.2,5680,"1383 of 3141"
"Morehouse Parish",22067,25.8,6773,"1575 of 3141"
"St. Tammany Parish",22103,25.8,64273,"1587 of 3141"
"West Carroll Parish",22123,25.9,2925,"1641 of 3141"
"Washington Parish",22117,26.1,12111,"1675 of 3141"
"Red River Parish",22081,26.1,2275,"1676 of 3141"
"De Soto Parish",22031,26.2,7122,"1722 of 3141"
"Webster Parish",22119,26.5,10607,"1809 of 3141"
"St. Landry Parish",22097,26.8,22369,"1900 of 3141"
"Caldwell Parish",22021,27.0,2700,"1965 of 3141"
"Franklin Parish",22041,27.0,5510,"1978 of 3141"
"Jefferson Davis Parish",22053,27.2,8539,"2016 of 3141"
"Winn Parish",22127,27.2,3983,"2028 of 3141"
"Jackson Parish",22049,27.4,4368,"2083 of 3141"
"Vermilion Parish",22113,27.4,16396,"2089 of 3141"
"East Feliciana Parish",22037,27.5,5383,"2116 of 3141"
"Richland Parish",22083,27.7,5709,"2156 of 3141"
"Assumption Parish",22007,27.9,6378,"2190 of 3141"
"St. James Parish",22093,28.0,6008,"2213 of 3141"
"Rapides Parish",22079,28.2,37246,"2266 of 3141"
"Concordia Parish",22029,28.2,5701,"2268 of 3141"
"Plaquemines Parish",22075,28.2,6599,"2269 of 3141"
"St. Mary Parish",22101,28.3,14858,"2281 of 3141"
"Beauregard Parish",22011,28.3,10361,"2295 of 3141"
"Avoyelles Parish",22009,28.3,11647,"2301 of 3141"
"Iberia Parish",22045,28.4,20808,"2309 of 3141"
"Acadia Parish",22001,28.5,17855,"2348 of 3141"
"La Salle Parish",22059,28.7,4279,"2382 of 3141"
"St. Charles Parish",22089,28.7,15149,"2399 of 3141"
"St. Martin Parish",22099,28.8,15440,"2410 of 3141"
"St. Helena Parish",22091,28.8,3030,"2413 of 3141"
"Caddo Parish",22017,29.0,72907,"2450 of 3141"
"Jefferson Parish",22051,29.2,127500,"2470 of 3141"
"Ascension Parish",22005,29.4,34988,"2509 of 3141"
"Evangeline Parish",22039,29.5,9943,"2526 of 3141"
"St. John the Baptist Parish",22095,29.6,12903,"2545 of 3141"
"Claiborne Parish",22027,29.8,4850,"2564 of 3141"
"Calcasieu Parish",22019,29.9,59469,"2598 of 3141"
"Terrebonne Parish",22109,30.1,34051,"2626 of 3141"
"Allen Parish",22003,30.2,7743,"2635 of 3141"
"Livingston Parish",22063,30.2,41411,"2641 of 3141"
"Catahoula Parish",22025,30.3,3040,"2650 of 3141"
"LaFourche Parish",22057,30.3,29774,"2656 of 3141"
"Ouachita Parish",22073,30.4,47568,"2660 of 3141"
"Iberville Parish",22047,30.6,10149,"2693 of 3141"
"West Baton Rouge Parish",22121,31.4,8019,"2773 of 3141"
"Grant Parish",22043,31.5,7033,"2783 of 3141"
"Bossier Parish",22015,31.6,39766,"2790 of 3141"
"Tangipahoa Parish",22105,31.7,40798,"2795 of 3141"
"St. Bernard Parish",22087,32.4,14587,"2843 of 3141"
"Madison Parish",22065,32.5,3774,"2851 of 3141"
"West Feliciana Parish",22125,32.6,5014,"2857 of 3141"
"Natchitoches Parish",22069,32.8,12822,"2873 of 3141"
"Lafayette Parish",22055,33.8,80617,"2928 of 3141"
"Orleans Parish",22071,34.9,135647,"2969 of 3141"
"East Baton Rouge Parish",22033,35.2,157252,"2980 of 3141"
"East Carroll Parish",22035,38.9,2847,"3059 of 3141"
"Vernon Parish",22115,39.1,20275,"3061 of 3141"
"Lincoln Parish",22061,43.8,20805,"3106 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
