------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Louisiana",22000,4.2,193655,"41 of 51"
"United States",00000,13.4,43028127,"N/A"
"East Carroll Parish",22035,0.2,18,"3091 of 3140"
"Richland Parish",22083,0.3,52,"3087 of 3140"
"Franklin Parish",22041,0.3,55,"3082 of 3140"
"Tensas Parish",22107,0.4,20,"3032 of 3140"
"East Feliciana Parish",22037,0.4,85,"3026 of 3140"
"Winn Parish",22127,0.4,64,"3025 of 3140"
"Bienville Parish",22013,0.5,71,"2988 of 3140"
"St. Helena Parish",22091,0.5,56,"2978 of 3140"
"Iberville Parish",22047,0.6,191,"2950 of 3140"
"St. James Parish",22093,0.6,139,"2903 of 3140"
"Morehouse Parish",22067,0.7,176,"2884 of 3140"
"Madison Parish",22065,0.7,78,"2881 of 3140"
"Claiborne Parish",22027,0.7,111,"2875 of 3140"
"Avoyelles Parish",22009,0.7,281,"2873 of 3140"
"Webster Parish",22119,0.7,274,"2872 of 3140"
"Jefferson Davis Parish",22053,0.7,227,"2843 of 3140"
"Red River Parish",22081,0.9,79,"2719 of 3140"
"Concordia Parish",22029,0.9,187,"2701 of 3140"
"West Carroll Parish",22123,1.0,118,"2608 of 3140"
"West Feliciana Parish",22125,1.1,175,"2544 of 3140"
"West Baton Rouge Parish",22121,1.2,304,"2491 of 3140"
"St. Landry Parish",22097,1.2,1007,"2476 of 3140"
"De Soto Parish",22031,1.2,337,"2442 of 3140"
"Assumption Parish",22007,1.3,302,"2378 of 3140"
"Jackson Parish",22049,1.3,213,"2370 of 3140"
"Sabine Parish",22085,1.4,349,"2289 of 3140"
"Acadia Parish",22001,1.5,964,"2218 of 3140"
"Catahoula Parish",22025,1.6,157,"2199 of 3140"
"Pointe Coupee Parish",22077,1.6,353,"2190 of 3140"
"Ouachita Parish",22073,1.6,2512,"2174 of 3140"
"St. Martin Parish",22099,1.6,873,"2158 of 3140"
"Natchitoches Parish",22069,1.7,655,"2125 of 3140"
"Union Parish",22111,1.7,390,"2081 of 3140"
"Washington Parish",22117,1.8,846,"2032 of 3140"
"Tangipahoa Parish",22105,2.1,2673,"1883 of 3140"
"Caldwell Parish",22021,2.2,216,"1830 of 3140"
"Livingston Parish",22063,2.2,3039,"1798 of 3140"
"Caddo Parish",22017,2.3,5649,"1780 of 3140"
"La Salle Parish",22059,2.4,352,"1728 of 3140"
"Vermilion Parish",22113,2.7,1588,"1593 of 3140"
"Calcasieu Parish",22019,2.8,5538,"1519 of 3140"
"Ascension Parish",22005,3.0,3527,"1442 of 3140"
"Beauregard Parish",22011,3.0,1100,"1419 of 3140"
"Rapides Parish",22079,3.0,3989,"1412 of 3140"
"LaFourche Parish",22057,3.2,3102,"1364 of 3140"
"Grant Parish",22043,3.2,723,"1342 of 3140"
"Evangeline Parish",22039,3.2,1096,"1335 of 3140"
"St. John the Baptist Parish",22095,3.3,1423,"1328 of 3140"
"Terrebonne Parish",22109,3.4,3839,"1292 of 3140"
"St. Charles Parish",22089,3.4,1800,"1285 of 3140"
"Allen Parish",22003,3.6,918,"1236 of 3140"
"St. Tammany Parish",22103,3.7,9253,"1199 of 3140"
"Vernon Parish",22115,3.8,1969,"1182 of 3140"
"Iberia Parish",22045,3.9,2824,"1166 of 3140"
"St. Mary Parish",22101,4.0,2082,"1130 of 3140"
"Bossier Parish",22015,4.1,5209,"1080 of 3140"
"Lafayette Parish",22055,4.2,9924,"1074 of 3140"
"Lincoln Parish",22061,4.3,2052,"1036 of 3140"
"Cameron Parish",22023,4.6,315,"984 of 3140"
"Plaquemines Parish",22075,5.4,1265,"849 of 3140"
"East Baton Rouge Parish",22033,5.5,24606,"828 of 3140"
"St. Bernard Parish",22087,5.6,2506,"819 of 3140"
"Orleans Parish",22071,5.9,22781,"760 of 3140"
"Jefferson Parish",22051,12.9,56578,"226 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
