------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Louisiana",22000,86.7,3993629,"10 of 51"
"East Carroll Parish",22035,73.0,5297,"3108 of 3140"
"Lincoln Parish",22061,77.2,36158,"3047 of 3140"
"Vernon Parish",22115,79.1,40392,"2987 of 3140"
"Lafayette Parish",22055,83.0,194844,"2623 of 3140"
"East Baton Rouge Parish",22033,83.3,367174,"2580 of 3140"
"Calcasieu Parish",22019,84.2,165274,"2389 of 3140"
"Tangipahoa Parish",22105,84.4,107547,"2357 of 3140"
"Orleans Parish",22071,84.8,325570,"2259 of 3140"
"Bossier Parish",22015,84.9,105268,"2242 of 3140"
"West Baton Rouge Parish",22121,85.0,21354,"2206 of 3140"
"Vermilion Parish",22113,85.2,50232,"2172 of 3140"
"Allen Parish",22003,85.2,21593,"2156 of 3140"
"Iberia Parish",22045,85.3,61601,"2143 of 3140"
"Madison Parish",22065,85.3,9759,"2136 of 3140"
"Winn Parish",22127,85.5,12441,"2091 of 3140"
"Jefferson Davis Parish",22053,85.5,26502,"2088 of 3140"
"Beauregard Parish",22011,85.8,31111,"2017 of 3140"
"Washington Parish",22117,85.9,39354,"1973 of 3140"
"Evangeline Parish",22039,86.0,28424,"1953 of 3140"
"Iberville Parish",22047,86.0,28309,"1949 of 3140"
"Jackson Parish",22049,86.5,13731,"1803 of 3140"
"Concordia Parish",22029,86.5,17304,"1782 of 3140"
"St. Bernard Parish",22087,86.8,38530,"1695 of 3140"
"Terrebonne Parish",22109,86.8,96884,"1662 of 3140"
"La Salle Parish",22059,87.1,12801,"1594 of 3140"
"Ouachita Parish",22073,87.1,134346,"1593 of 3140"
"Catahoula Parish",22025,87.2,8690,"1551 of 3140"
"Caddo Parish",22017,87.2,216496,"1531 of 3140"
"St. Mary Parish",22101,87.3,45300,"1527 of 3140"
"Caldwell Parish",22021,87.3,8696,"1521 of 3140"
"Richland Parish",22083,87.3,17815,"1515 of 3140"
"St. Tammany Parish",22103,87.3,215111,"1501 of 3140"
"East Feliciana Parish",22037,87.7,16952,"1371 of 3140"
"Rapides Parish",22079,88.2,114960,"1199 of 3140"
"Pointe Coupee Parish",22077,88.2,19515,"1180 of 3140"
"Bienville Parish",22013,88.4,12037,"1125 of 3140"
"Natchitoches Parish",22069,88.6,34185,"1071 of 3140"
"Livingston Parish",22063,88.8,120303,"991 of 3140"
"Ascension Parish",22005,88.9,104234,"983 of 3140"
"Jefferson Parish",22051,88.9,383775,"970 of 3140"
"Acadia Parish",22001,89.0,54802,"932 of 3140"
"Avoyelles Parish",22009,89.1,36171,"883 of 3140"
"LaFourche Parish",22057,89.1,86370,"881 of 3140"
"St. John the Baptist Parish",22095,89.7,38753,"709 of 3140"
"Franklin Parish",22041,90.0,18097,"638 of 3140"
"Assumption Parish",22007,90.3,20457,"557 of 3140"
"Grant Parish",22043,90.6,20062,"496 of 3140"
"De Soto Parish",22031,90.8,24351,"466 of 3140"
"Sabine Parish",22085,90.9,21695,"433 of 3140"
"St. Landry Parish",22097,90.9,75023,"432 of 3140"
"West Carroll Parish",22123,91.1,10182,"388 of 3140"
"Webster Parish",22119,91.2,36020,"376 of 3140"
"Plaquemines Parish",22075,91.3,21103,"359 of 3140"
"West Feliciana Parish",22125,91.6,13891,"303 of 3140"
"Claiborne Parish",22027,92.0,14803,"233 of 3140"
"St. Charles Parish",22089,92.4,48259,"192 of 3140"
"St. Martin Parish",22099,92.5,49040,"189 of 3140"
"Tensas Parish",22107,92.8,4351,"151 of 3140"
"Red River Parish",22081,93.1,8020,"128 of 3140"
"St. Helena Parish",22091,93.3,9739,"118 of 3140"
"Morehouse Parish",22067,94.3,24579,"64 of 3140"
"St. James Parish",22093,94.5,20056,"55 of 3140"
"Union Parish",22111,95.8,21403,"22 of 3140"
"Cameron Parish",22023,97.3,6533,"5 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
