------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Louisiana",22000,5.4,166320,"42 of 52"
"United States",00000,5.4,11759554,"N/A"
"East Baton Rouge Parish",22033,2.9,8005,"807 of 3141"
"St. Tammany Parish",22103,3.0,5053,"885 of 3141"
"Bossier Parish",22015,3.1,2559,"963 of 3141"
"Lincoln Parish",22061,3.3,852,"1081 of 3141"
"Caddo Parish",22017,3.8,6305,"1319 of 3141"
"Ouachita Parish",22073,3.8,3817,"1348 of 3141"
"Union Parish",22111,3.9,614,"1405 of 3141"
"St. Charles Parish",22089,4.0,1383,"1421 of 3141"
"Ascension Parish",22005,4.1,3120,"1470 of 3141"
"Vernon Parish",22115,4.1,1271,"1474 of 3141"
"De Soto Parish",22031,4.1,758,"1504 of 3141"
"Orleans Parish",22071,4.3,11560,"1545 of 3141"
"Webster Parish",22119,4.3,1189,"1591 of 3141"
"Lafayette Parish",22055,4.3,6817,"1593 of 3141"
"Bienville Parish",22013,4.4,419,"1603 of 3141"
"Tangipahoa Parish",22105,4.5,3772,"1690 of 3141"
"Calcasieu Parish",22019,4.6,5948,"1693 of 3141"
"Red River Parish",22081,4.7,273,"1757 of 3141"
"East Feliciana Parish",22037,4.8,683,"1811 of 3141"
"Rapides Parish",22079,4.9,4232,"1822 of 3141"
"Natchitoches Parish",22069,4.9,1130,"1826 of 3141"
"West Baton Rouge Parish",22121,4.9,833,"1830 of 3141"
"Sabine Parish",22085,4.9,809,"1839 of 3141"
"St. James Parish",22093,5.0,722,"1855 of 3141"
"Livingston Parish",22063,5.2,4640,"1912 of 3141"
"St. John the Baptist Parish",22095,5.2,1489,"1918 of 3141"
"Tensas Parish",22107,5.2,171,"1936 of 3141"
"West Feliciana Parish",22125,5.7,598,"2097 of 3141"
"East Carroll Parish",22035,5.8,279,"2133 of 3141"
"St. Helena Parish",22091,5.8,419,"2144 of 3141"
"Cameron Parish",22023,5.9,280,"2187 of 3141"
"Grant Parish",22043,5.9,932,"2191 of 3141"
"Pointe Coupee Parish",22077,6.0,925,"2206 of 3141"
"Jefferson Parish",22051,6.2,18836,"2252 of 3141"
"Claiborne Parish",22027,6.3,747,"2278 of 3141"
"St. Bernard Parish",22087,6.3,1821,"2288 of 3141"
"Jackson Parish",22049,6.3,705,"2290 of 3141"
"Catahoula Parish",22025,6.3,434,"2308 of 3141"
"Winn Parish",22127,6.5,663,"2339 of 3141"
"Richland Parish",22083,6.6,921,"2382 of 3141"
"Allen Parish",22003,6.8,1211,"2417 of 3141"
"West Carroll Parish",22123,6.8,529,"2437 of 3141"
"Iberville Parish",22047,7.0,1614,"2473 of 3141"
"Beauregard Parish",22011,7.1,1737,"2502 of 3141"
"Franklin Parish",22041,7.3,988,"2543 of 3141"
"Morehouse Parish",22067,7.6,1323,"2589 of 3141"
"Jefferson Davis Parish",22053,7.7,1592,"2610 of 3141"
"Caldwell Parish",22021,7.9,537,"2635 of 3141"
"St. Mary Parish",22101,8.3,2926,"2688 of 3141"
"Plaquemines Parish",22075,8.4,1275,"2694 of 3141"
"Washington Parish",22117,8.5,2669,"2707 of 3141"
"Concordia Parish",22029,8.6,1160,"2722 of 3141"
"La Salle Parish",22059,8.6,863,"2728 of 3141"
"Madison Parish",22065,8.6,662,"2730 of 3141"
"St. Martin Parish",22099,8.7,3097,"2743 of 3141"
"Avoyelles Parish",22009,8.7,2424,"2744 of 3141"
"Iberia Parish",22045,8.9,4184,"2765 of 3141"
"St. Landry Parish",22097,9.7,5185,"2849 of 3141"
"Terrebonne Parish",22109,9.8,7214,"2854 of 3141"
"Vermilion Parish",22113,9.9,3878,"2859 of 3141"
"Assumption Parish",22007,10.0,1554,"2867 of 3141"
"LaFourche Parish",22057,10.2,6690,"2881 of 3141"
"Acadia Parish",22001,10.3,4144,"2894 of 3141"
"Evangeline Parish",22039,13.3,2880,"3028 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
