------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Louisiana",22000,0.3,14914,"5 of 51"
"United States",00000,0.7,2074097,"N/A"
"East Carroll Parish",22035,0.0,0,"1 of 3140"
"East Feliciana Parish",22037,0.0,0,"1 of 3140"
"Jackson Parish",22049,0.0,0,"1 of 3140"
"Jefferson Davis Parish",22053,0.0,0,"1 of 3140"
"Morehouse Parish",22067,0.0,0,"1 of 3140"
"St. Helena Parish",22091,0.0,0,"1 of 3140"
"Tensas Parish",22107,0.0,0,"1 of 3140"
"Union Parish",22111,0.0,0,"1 of 3140"
"St. James Parish",22093,0.0,2,"372 of 3140"
"Sabine Parish",22085,0.0,10,"538 of 3140"
"Richland Parish",22083,0.0,9,"546 of 3140"
"West Carroll Parish",22123,0.0,5,"552 of 3140"
"Assumption Parish",22007,0.0,11,"578 of 3140"
"Concordia Parish",22029,0.1,10,"583 of 3140"
"Catahoula Parish",22025,0.1,6,"635 of 3140"
"Winn Parish",22127,0.1,10,"705 of 3140"
"La Salle Parish",22059,0.1,11,"753 of 3140"
"Rapides Parish",22079,0.1,98,"759 of 3140"
"Iberville Parish",22047,0.1,26,"786 of 3140"
"West Baton Rouge Parish",22121,0.1,25,"917 of 3140"
"Bienville Parish",22013,0.1,14,"940 of 3140"
"St. Landry Parish",22097,0.1,89,"972 of 3140"
"Avoyelles Parish",22009,0.1,50,"1096 of 3140"
"De Soto Parish",22031,0.1,34,"1126 of 3140"
"St. John the Baptist Parish",22095,0.1,60,"1191 of 3140"
"Ascension Parish",22005,0.1,165,"1203 of 3140"
"Vermilion Parish",22113,0.2,90,"1279 of 3140"
"Washington Parish",22117,0.2,72,"1307 of 3140"
"Lincoln Parish",22061,0.2,75,"1326 of 3140"
"Tangipahoa Parish",22105,0.2,204,"1327 of 3140"
"Ouachita Parish",22073,0.2,251,"1346 of 3140"
"Cameron Parish",22023,0.2,11,"1359 of 3140"
"Franklin Parish",22041,0.2,33,"1362 of 3140"
"Livingston Parish",22063,0.2,255,"1512 of 3140"
"Calcasieu Parish",22019,0.2,373,"1523 of 3140"
"Webster Parish",22119,0.2,77,"1548 of 3140"
"Red River Parish",22081,0.2,18,"1616 of 3140"
"Claiborne Parish",22027,0.2,34,"1625 of 3140"
"West Feliciana Parish",22125,0.2,33,"1666 of 3140"
"Caddo Parish",22017,0.2,543,"1670 of 3140"
"Terrebonne Parish",22109,0.2,269,"1777 of 3140"
"Madison Parish",22065,0.3,29,"1832 of 3140"
"St. Tammany Parish",22103,0.3,647,"1870 of 3140"
"Acadia Parish",22001,0.3,178,"1984 of 3140"
"Caldwell Parish",22021,0.3,31,"2053 of 3140"
"LaFourche Parish",22057,0.3,322,"2123 of 3140"
"East Baton Rouge Parish",22033,0.3,1500,"2150 of 3140"
"Natchitoches Parish",22069,0.4,136,"2193 of 3140"
"Plaquemines Parish",22075,0.4,86,"2250 of 3140"
"Jefferson Parish",22051,0.4,1634,"2262 of 3140"
"Pointe Coupee Parish",22077,0.4,87,"2303 of 3140"
"Allen Parish",22003,0.4,110,"2382 of 3140"
"Lafayette Parish",22055,0.4,1024,"2388 of 3140"
"Iberia Parish",22045,0.5,330,"2425 of 3140"
"St. Martin Parish",22099,0.5,248,"2450 of 3140"
"Grant Parish",22043,0.5,106,"2471 of 3140"
"St. Bernard Parish",22087,0.5,214,"2473 of 3140"
"St. Charles Parish",22089,0.5,266,"2520 of 3140"
"Bossier Parish",22015,0.5,670,"2581 of 3140"
"St. Mary Parish",22101,0.6,293,"2621 of 3140"
"Beauregard Parish",22011,0.6,227,"2698 of 3140"
"Orleans Parish",22071,0.7,2617,"2758 of 3140"
"Evangeline Parish",22039,1.1,371,"2997 of 3140"
"Vernon Parish",22115,1.6,815,"3066 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
