------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Louisiana",22000,33.5,1562258,"43 of 52"
"United States",00000,34.5,110609456,"N/A"
"Vernon Parish",22115,24.7,12813,"3104 of 3141"
"Lincoln Parish",22061,27.4,13033,"3023 of 3141"
"St. Bernard Parish",22087,28.6,12908,"2962 of 3141"
"Ascension Parish",22005,28.9,34386,"2949 of 3141"
"Livingston Parish",22063,30.4,41640,"2852 of 3141"
"Lafayette Parish",22055,30.4,72447,"2850 of 3141"
"East Baton Rouge Parish",22033,30.8,137201,"2826 of 3141"
"Bossier Parish",22015,30.9,38817,"2816 of 3141"
"Madison Parish",22065,31.1,3615,"2799 of 3141"
"Plaquemines Parish",22075,31.3,7323,"2785 of 3141"
"Ouachita Parish",22073,31.8,49807,"2747 of 3141"
"Tangipahoa Parish",22105,32.0,41220,"2728 of 3141"
"Terrebonne Parish",22109,32.1,36344,"2705 of 3141"
"East Carroll Parish",22035,32.4,2370,"2686 of 3141"
"Natchitoches Parish",22069,32.5,12709,"2669 of 3141"
"Orleans Parish",22071,32.6,126430,"2663 of 3141"
"West Baton Rouge Parish",22121,32.8,8369,"2641 of 3141"
"Grant Parish",22043,32.9,7328,"2633 of 3141"
"Allen Parish",22003,33.2,8515,"2599 of 3141"
"Evangeline Parish",22039,33.4,11267,"2583 of 3141"
"Calcasieu Parish",22019,33.4,66356,"2582 of 3141"
"St. Charles Parish",22089,33.5,17643,"2575 of 3141"
"Acadia Parish",22001,33.5,20978,"2568 of 3141"
"St. John the Baptist Parish",22095,33.6,14649,"2548 of 3141"
"Iberia Parish",22045,33.7,24687,"2544 of 3141"
"Beauregard Parish",22011,34.0,12443,"2499 of 3141"
"LaFourche Parish",22057,34.1,33426,"2488 of 3141"
"St. Martin Parish",22099,34.1,18275,"2482 of 3141"
"La Salle Parish",22059,34.2,5106,"2469 of 3141"
"Vermilion Parish",22113,34.3,20517,"2455 of 3141"
"Rapides Parish",22079,34.6,45689,"2427 of 3141"
"St. Landry Parish",22097,34.8,29050,"2396 of 3141"
"Caddo Parish",22017,35.0,87779,"2364 of 3141"
"Iberville Parish",22047,35.1,11610,"2344 of 3141"
"West Feliciana Parish",22125,35.1,5397,"2334 of 3141"
"St. Mary Parish",22101,35.3,18567,"2306 of 3141"
"Avoyelles Parish",22009,35.5,14596,"2278 of 3141"
"Jefferson Davis Parish",22053,35.9,11284,"2203 of 3141"
"Catahoula Parish",22025,36.0,3613,"2196 of 3141"
"Richland Parish",22083,36.2,7458,"2174 of 3141"
"Concordia Parish",22029,36.2,7314,"2168 of 3141"
"Jefferson Parish",22051,36.4,159278,"2125 of 3141"
"St. Tammany Parish",22103,36.7,91369,"2096 of 3141"
"Winn Parish",22127,36.8,5389,"2056 of 3141"
"St. Helena Parish",22091,36.8,3871,"2055 of 3141"
"St. James Parish",22093,37.0,7954,"2011 of 3141"
"Franklin Parish",22041,37.1,7562,"1993 of 3141"
"De Soto Parish",22031,37.3,10138,"1950 of 3141"
"Assumption Parish",22007,37.3,8545,"1938 of 3141"
"Caldwell Parish",22021,37.5,3751,"1891 of 3141"
"Washington Parish",22117,37.5,17441,"1881 of 3141"
"Morehouse Parish",22067,37.8,9949,"1824 of 3141"
"West Carroll Parish",22123,37.9,4269,"1822 of 3141"
"Claiborne Parish",22027,38.6,6289,"1667 of 3141"
"Red River Parish",22081,38.7,3372,"1655 of 3141"
"Jackson Parish",22049,38.7,6173,"1645 of 3141"
"Webster Parish",22119,39.0,15619,"1576 of 3141"
"Sabine Parish",22085,39.6,9553,"1438 of 3141"
"East Feliciana Parish",22037,39.8,7781,"1395 of 3141"
"Cameron Parish",22023,40.9,2786,"1117 of 3141"
"Pointe Coupee Parish",22077,41.0,9120,"1113 of 3141"
"Union Parish",22111,41.1,9260,"1082 of 3141"
"Bienville Parish",22013,41.4,5709,"1028 of 3141"
"Tensas Parish",22107,44.0,2101,"613 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
