------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (AI/AN),Rank within US
"Louisiana",22000,0.6,27094,"23 of 52"
"United States",00000,0.8,2632102,"N/A"
"Cameron Parish",22023,0.0,0,"2960 of 3141"
"East Carroll Parish",22035,0.0,0,"2960 of 3141"
"Richland Parish",22083,0.0,0,"2960 of 3141"
"St. John the Baptist Parish",22095,0.0,0,"2960 of 3141"
"Tensas Parish",22107,0.0,0,"2960 of 3141"
"Franklin Parish",22041,0.0,8,"2858 of 3141"
"Ascension Parish",22005,0.0,47,"2855 of 3141"
"Acadia Parish",22001,0.1,36,"2794 of 3141"
"Concordia Parish",22029,0.1,12,"2787 of 3141"
"Union Parish",22111,0.1,14,"2781 of 3141"
"Jackson Parish",22049,0.1,10,"2776 of 3141"
"Bienville Parish",22013,0.1,11,"2704 of 3141"
"Madison Parish",22065,0.1,10,"2682 of 3141"
"Morehouse Parish",22067,0.1,23,"2672 of 3141"
"St. James Parish",22093,0.1,21,"2637 of 3141"
"Iberia Parish",22045,0.1,78,"2608 of 3141"
"Evangeline Parish",22039,0.1,37,"2589 of 3141"
"St. Landry Parish",22097,0.1,112,"2480 of 3141"
"Catahoula Parish",22025,0.1,15,"2417 of 3141"
"Orleans Parish",22071,0.2,602,"2390 of 3141"
"Lincoln Parish",22061,0.2,89,"2229 of 3141"
"West Feliciana Parish",22125,0.2,30,"2189 of 3141"
"Lafayette Parish",22055,0.2,468,"2179 of 3141"
"East Baton Rouge Parish",22033,0.2,944,"2105 of 3141"
"Ouachita Parish",22073,0.2,363,"2020 of 3141"
"Livingston Parish",22063,0.2,330,"1986 of 3141"
"Iberville Parish",22047,0.3,83,"1948 of 3141"
"Washington Parish",22117,0.3,119,"1922 of 3141"
"St. Charles Parish",22089,0.3,136,"1915 of 3141"
"Pointe Coupee Parish",22077,0.3,59,"1870 of 3141"
"Tangipahoa Parish",22105,0.3,354,"1830 of 3141"
"East Feliciana Parish",22037,0.3,57,"1766 of 3141"
"Claiborne Parish",22027,0.3,48,"1751 of 3141"
"Calcasieu Parish",22019,0.3,648,"1616 of 3141"
"West Baton Rouge Parish",22121,0.3,89,"1530 of 3141"
"West Carroll Parish",22123,0.4,43,"1433 of 3141"
"Webster Parish",22119,0.4,157,"1401 of 3141"
"Jefferson Parish",22051,0.4,1793,"1354 of 3141"
"Caddo Parish",22017,0.4,1048,"1336 of 3141"
"Red River Parish",22081,0.4,38,"1283 of 3141"
"Vermilion Parish",22113,0.5,289,"1195 of 3141"
"Winn Parish",22127,0.5,72,"1174 of 3141"
"St. Tammany Parish",22103,0.5,1279,"1135 of 3141"
"Caldwell Parish",22021,0.6,59,"1031 of 3141"
"St. Martin Parish",22099,0.6,328,"1001 of 3141"
"Rapides Parish",22079,0.6,821,"992 of 3141"
"Assumption Parish",22007,0.6,144,"976 of 3141"
"Bossier Parish",22015,0.6,791,"976 of 3141"
"St. Bernard Parish",22087,0.6,289,"957 of 3141"
"St. Helena Parish",22091,0.8,79,"838 of 3141"
"Beauregard Parish",22011,0.8,276,"834 of 3141"
"Jefferson Davis Parish",22053,0.9,298,"698 of 3141"
"Plaquemines Parish",22075,1.0,239,"655 of 3141"
"St. Mary Parish",22101,1.1,562,"620 of 3141"
"De Soto Parish",22031,1.1,299,"601 of 3141"
"Natchitoches Parish",22069,1.2,451,"574 of 3141"
"Avoyelles Parish",22009,1.2,500,"549 of 3141"
"La Salle Parish",22059,1.3,191,"527 of 3141"
"Vernon Parish",22115,1.5,773,"471 of 3141"
"Grant Parish",22043,1.5,333,"468 of 3141"
"Allen Parish",22003,2.0,511,"386 of 3141"
"LaFourche Parish",22057,2.5,2442,"323 of 3141"
"Terrebonne Parish",22109,5.5,6205,"188 of 3141"
"Sabine Parish",22085,8.0,1931,"142 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
