------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Male),Rank within US
"Louisiana",22000,48.9,2281239,"17 of 52"
"United States",00000,49.2,158018753,"N/A"
"Caddo Parish",22017,47.5,119235,"135 of 3141"
"Morehouse Parish",22067,47.6,12505,"147 of 3141"
"Natchitoches Parish",22069,47.7,18610,"166 of 3141"
"Orleans Parish",22071,47.7,185063,"171 of 3141"
"Ouachita Parish",22073,48.0,75019,"239 of 3141"
"East Baton Rouge Parish",22033,48.0,214073,"244 of 3141"
"Pointe Coupee Parish",22077,48.0,10692,"251 of 3141"
"St. Landry Parish",22097,48.0,40144,"259 of 3141"
"Red River Parish",22081,48.1,4192,"267 of 3141"
"St. James Parish",22093,48.1,10340,"284 of 3141"
"Cameron Parish",22023,48.3,3289,"382 of 3141"
"Rapides Parish",22079,48.4,63888,"410 of 3141"
"De Soto Parish",22031,48.4,13154,"440 of 3141"
"Assumption Parish",22007,48.4,11085,"454 of 3141"
"St. Helena Parish",22091,48.5,5093,"463 of 3141"
"Bienville Parish",22013,48.5,6692,"469 of 3141"
"Vermilion Parish",22113,48.5,29021,"488 of 3141"
"Webster Parish",22119,48.5,19435,"508 of 3141"
"Tangipahoa Parish",22105,48.5,62548,"512 of 3141"
"Jefferson Parish",22051,48.6,212326,"538 of 3141"
"Acadia Parish",22001,48.6,30433,"556 of 3141"
"Richland Parish",22083,48.6,10028,"577 of 3141"
"St. Tammany Parish",22103,48.7,121268,"589 of 3141"
"Tensas Parish",22107,48.7,2322,"593 of 3141"
"Plaquemines Parish",22075,48.7,11393,"620 of 3141"
"Calcasieu Parish",22019,48.8,96906,"661 of 3141"
"Iberia Parish",22045,48.8,35791,"693 of 3141"
"Lincoln Parish",22061,48.8,23206,"709 of 3141"
"Lafayette Parish",22055,48.8,116361,"738 of 3141"
"St. John the Baptist Parish",22095,48.9,21285,"749 of 3141"
"Livingston Parish",22063,49.0,67159,"887 of 3141"
"Franklin Parish",22041,49.0,9991,"897 of 3141"
"St. Charles Parish",22089,49.1,25901,"1007 of 3141"
"Jefferson Davis Parish",22053,49.1,15431,"1017 of 3141"
"LaFourche Parish",22057,49.2,48235,"1050 of 3141"
"Ascension Parish",22005,49.3,58718,"1188 of 3141"
"St. Martin Parish",22099,49.3,26445,"1231 of 3141"
"Terrebonne Parish",22109,49.3,55794,"1254 of 3141"
"St. Bernard Parish",22087,49.4,22256,"1318 of 3141"
"Washington Parish",22117,49.4,22944,"1338 of 3141"
"Bossier Parish",22015,49.5,62214,"1453 of 3141"
"West Baton Rouge Parish",22121,49.5,12631,"1457 of 3141"
"Sabine Parish",22085,49.7,11997,"1655 of 3141"
"St. Mary Parish",22101,49.7,26153,"1710 of 3141"
"Union Parish",22111,49.7,11212,"1720 of 3141"
"Madison Parish",22065,49.8,5786,"1774 of 3141"
"Avoyelles Parish",22009,50.4,20693,"2236 of 3141"
"West Carroll Parish",22123,50.5,5696,"2335 of 3141"
"Iberville Parish",22047,50.6,16772,"2391 of 3141"
"Jackson Parish",22049,50.7,8086,"2424 of 3141"
"Beauregard Parish",22011,50.9,18631,"2510 of 3141"
"Concordia Parish",22029,51.1,10319,"2555 of 3141"
"Evangeline Parish",22039,51.1,17232,"2556 of 3141"
"La Salle Parish",22059,51.5,7691,"2685 of 3141"
"Winn Parish",22127,52.7,7712,"2873 of 3141"
"Caldwell Parish",22021,53.1,5313,"2911 of 3141"
"Vernon Parish",22115,53.2,27614,"2919 of 3141"
"Catahoula Parish",22025,53.4,5359,"2931 of 3141"
"East Feliciana Parish",22037,54.6,10667,"3008 of 3141"
"Allen Parish",22003,56.7,14542,"3064 of 3141"
"Grant Parish",22043,56.8,12669,"3068 of 3141"
"Claiborne Parish",22027,57.4,9360,"3075 of 3141"
"East Carroll Parish",22035,60.2,4409,"3107 of 3141"
"West Feliciana Parish",22125,66.4,10210,"3137 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
