------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Hispanic),Rank within US
"Louisiana",22000,5.0,231708,"39 of 52"
"United States",00000,17.6,56510571,"N/A"
"Franklin Parish",22041,0.2,41,"3118 of 3141"
"St. Helena Parish",22091,0.2,24,"3117 of 3141"
"East Carroll Parish",22035,0.5,38,"3062 of 3141"
"Morehouse Parish",22067,1.3,330,"2834 of 3141"
"Concordia Parish",22029,1.3,266,"2791 of 3141"
"Claiborne Parish",22027,1.4,234,"2726 of 3141"
"East Feliciana Parish",22037,1.5,296,"2668 of 3141"
"West Feliciana Parish",22125,1.5,233,"2664 of 3141"
"Catahoula Parish",22025,1.5,153,"2663 of 3141"
"St. James Parish",22093,1.6,336,"2628 of 3141"
"Jackson Parish",22049,1.6,251,"2621 of 3141"
"Bienville Parish",22013,1.7,238,"2539 of 3141"
"Tensas Parish",22107,1.8,87,"2478 of 3141"
"Webster Parish",22119,1.8,733,"2473 of 3141"
"Avoyelles Parish",22009,1.8,754,"2470 of 3141"
"Winn Parish",22127,1.9,281,"2425 of 3141"
"Red River Parish",22081,1.9,170,"2411 of 3141"
"Madison Parish",22065,2.0,231,"2388 of 3141"
"St. Landry Parish",22097,2.0,1683,"2368 of 3141"
"Richland Parish",22083,2.1,427,"2347 of 3141"
"Washington Parish",22117,2.1,969,"2337 of 3141"
"Natchitoches Parish",22069,2.2,844,"2290 of 3141"
"Ouachita Parish",22073,2.2,3411,"2280 of 3141"
"Jefferson Davis Parish",22053,2.3,709,"2241 of 3141"
"Acadia Parish",22001,2.4,1500,"2165 of 3141"
"Pointe Coupee Parish",22077,2.5,550,"2135 of 3141"
"Iberville Parish",22047,2.5,837,"2102 of 3141"
"Assumption Parish",22007,2.8,634,"1982 of 3141"
"Caddo Parish",22017,2.8,6979,"1979 of 3141"
"De Soto Parish",22031,2.8,756,"1977 of 3141"
"La Salle Parish",22059,2.8,417,"1975 of 3141"
"St. Martin Parish",22099,2.8,1504,"1963 of 3141"
"Lincoln Parish",22061,2.9,1386,"1913 of 3141"
"Rapides Parish",22079,3.0,3959,"1885 of 3141"
"West Baton Rouge Parish",22121,3.0,768,"1881 of 3141"
"Caldwell Parish",22021,3.1,313,"1827 of 3141"
"Calcasieu Parish",22019,3.2,6395,"1789 of 3141"
"West Carroll Parish",22123,3.2,365,"1780 of 3141"
"Vermilion Parish",22113,3.3,1963,"1762 of 3141"
"Evangeline Parish",22039,3.4,1162,"1717 of 3141"
"Livingston Parish",22063,3.5,4741,"1714 of 3141"
"Beauregard Parish",22011,3.7,1343,"1650 of 3141"
"Sabine Parish",22085,3.8,921,"1609 of 3141"
"East Baton Rouge Parish",22033,4.0,17825,"1565 of 3141"
"Iberia Parish",22045,4.0,2961,"1553 of 3141"
"Tangipahoa Parish",22105,4.1,5274,"1539 of 3141"
"LaFourche Parish",22057,4.4,4281,"1461 of 3141"
"Lafayette Parish",22055,4.6,10872,"1413 of 3141"
"Union Parish",22111,4.7,1050,"1389 of 3141"
"Allen Parish",22003,4.9,1245,"1349 of 3141"
"Grant Parish",22043,4.9,1084,"1348 of 3141"
"Terrebonne Parish",22109,5.0,5698,"1309 of 3141"
"Ascension Parish",22005,5.3,6261,"1264 of 3141"
"St. Tammany Parish",22103,5.4,13500,"1235 of 3141"
"Orleans Parish",22071,5.5,21448,"1214 of 3141"
"Cameron Parish",22023,5.5,377,"1211 of 3141"
"St. John the Baptist Parish",22095,5.8,2524,"1161 of 3141"
"St. Charles Parish",22089,5.8,3062,"1157 of 3141"
"Bossier Parish",22015,6.5,8204,"1054 of 3141"
"Plaquemines Parish",22075,6.7,1562,"1035 of 3141"
"St. Mary Parish",22101,6.8,3598,"1010 of 3141"
"Vernon Parish",22115,9.4,4857,"780 of 3141"
"St. Bernard Parish",22087,9.9,4459,"741 of 3141"
"Jefferson Parish",22051,14.3,62334,"536 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
