------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Louisiana",22000,23.4,723452,"48 of 52"
"United States",00000,30.9,66887603,"N/A"
"Grant Parish",22043,8.5,1326,"3106 of 3141"
"Tensas Parish",22107,9.7,317,"3045 of 3141"
"East Carroll Parish",22035,9.8,471,"3042 of 3141"
"Assumption Parish",22007,10.3,1610,"3009 of 3141"
"St. Mary Parish",22101,10.6,3734,"2991 of 3141"
"St. Helena Parish",22091,11.2,807,"2931 of 3141"
"Avoyelles Parish",22009,11.3,3143,"2922 of 3141"
"Concordia Parish",22029,11.4,1540,"2913 of 3141"
"Franklin Parish",22041,11.4,1541,"2898 of 3141"
"West Carroll Parish",22123,12.0,924,"2840 of 3141"
"Cameron Parish",22023,12.0,567,"2834 of 3141"
"East Feliciana Parish",22037,12.1,1702,"2830 of 3141"
"St. Bernard Parish",22087,12.1,3500,"2828 of 3141"
"Vermilion Parish",22113,12.1,4752,"2820 of 3141"
"Acadia Parish",22001,12.2,4904,"2801 of 3141"
"Washington Parish",22117,12.2,3838,"2800 of 3141"
"La Salle Parish",22059,12.2,1226,"2797 of 3141"
"Caldwell Parish",22021,12.4,841,"2776 of 3141"
"Bienville Parish",22013,12.4,1190,"2773 of 3141"
"Iberia Parish",22045,12.7,5995,"2717 of 3141"
"Union Parish",22111,12.8,1990,"2704 of 3141"
"Evangeline Parish",22039,12.9,2793,"2685 of 3141"
"Jackson Parish",22049,13.0,1458,"2663 of 3141"
"Winn Parish",22127,13.1,1341,"2648 of 3141"
"Allen Parish",22003,13.1,2352,"2637 of 3141"
"Madison Parish",22065,13.4,1031,"2599 of 3141"
"St. Landry Parish",22097,13.5,7254,"2581 of 3141"
"De Soto Parish",22031,13.5,2480,"2580 of 3141"
"Morehouse Parish",22067,13.9,2424,"2519 of 3141"
"Catahoula Parish",22025,13.9,952,"2515 of 3141"
"Claiborne Parish",22027,14.0,1664,"2504 of 3141"
"St. James Parish",22093,14.0,2033,"2494 of 3141"
"Sabine Parish",22085,14.2,2335,"2468 of 3141"
"St. Martin Parish",22099,14.2,5061,"2457 of 3141"
"Terrebonne Parish",22109,14.4,10644,"2414 of 3141"
"Iberville Parish",22047,15.0,3438,"2316 of 3141"
"Richland Parish",22083,15.4,2131,"2240 of 3141"
"Webster Parish",22119,15.5,4247,"2223 of 3141"
"Red River Parish",22081,15.6,906,"2192 of 3141"
"Jefferson Davis Parish",22053,15.8,3264,"2168 of 3141"
"Pointe Coupee Parish",22077,15.8,2435,"2158 of 3141"
"LaFourche Parish",22057,16.3,10706,"2051 of 3141"
"Beauregard Parish",22011,16.3,3965,"2044 of 3141"
"St. John the Baptist Parish",22095,16.4,4696,"2038 of 3141"
"Livingston Parish",22063,17.4,15585,"1857 of 3141"
"Vernon Parish",22115,17.7,5503,"1811 of 3141"
"Plaquemines Parish",22075,19.3,2936,"1523 of 3141"
"Natchitoches Parish",22069,19.4,4494,"1504 of 3141"
"Tangipahoa Parish",22105,19.9,16499,"1418 of 3141"
"Rapides Parish",22079,20.1,17433,"1391 of 3141"
"West Baton Rouge Parish",22121,20.1,3424,"1390 of 3141"
"Calcasieu Parish",22019,21.7,28396,"1142 of 3141"
"St. Charles Parish",22089,22.3,7747,"1079 of 3141"
"West Feliciana Parish",22125,23.0,2412,"983 of 3141"
"Caddo Parish",22017,24.0,40161,"877 of 3141"
"Ouachita Parish",22073,24.3,24406,"847 of 3141"
"Jefferson Parish",22051,25.2,76845,"788 of 3141"
"Bossier Parish",22015,25.7,21078,"750 of 3141"
"Ascension Parish",22005,27.6,21121,"609 of 3141"
"Lafayette Parish",22055,31.8,50004,"387 of 3141"
"St. Tammany Parish",22103,32.5,55030,"352 of 3141"
"East Baton Rouge Parish",22033,34.5,96490,"284 of 3141"
"Lincoln Parish",22061,36.2,9290,"236 of 3141"
"Orleans Parish",22071,36.5,99070,"231 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
