------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Louisiana",22000,30.1,1363323,"48 of 52"
"Ascension Parish",22005,17.4,20555,"428 of 3141"
"St. Tammany Parish",22103,17.9,44222,"486 of 3141"
"St. Charles Parish",22089,19.6,10184,"686 of 3141"
"Livingston Parish",22063,22.2,30228,"1038 of 3141"
"Cameron Parish",22023,23.7,1612,"1243 of 3141"
"West Baton Rouge Parish",22121,24.6,6087,"1389 of 3141"
"St. James Parish",22093,24.6,5243,"1390 of 3141"
"LaFourche Parish",22057,25.7,24521,"1542 of 3141"
"Jefferson Parish",22051,25.8,111642,"1552 of 3141"
"Plaquemines Parish",22075,25.8,5949,"1561 of 3141"
"Bossier Parish",22015,25.8,31542,"1562 of 3141"
"St. John the Baptist Parish",22095,26.5,11339,"1657 of 3141"
"Lafayette Parish",22055,26.6,62013,"1681 of 3141"
"Pointe Coupee Parish",22077,27.2,5976,"1766 of 3141"
"East Baton Rouge Parish",22033,27.6,120575,"1822 of 3141"
"Calcasieu Parish",22019,28.1,54819,"1889 of 3141"
"East Feliciana Parish",22037,28.2,4597,"1896 of 3141"
"West Feliciana Parish",22125,28.5,3441,"1951 of 3141"
"St. Martin Parish",22099,28.9,15328,"2001 of 3141"
"Beauregard Parish",22011,28.9,10469,"2008 of 3141"
"Sabine Parish",22085,29.0,6882,"2019 of 3141"
"Vernon Parish",22115,29.1,14546,"2026 of 3141"
"Vermilion Parish",22113,29.8,17542,"2110 of 3141"
"Grant Parish",22043,30.1,5679,"2147 of 3141"
"Assumption Parish",22007,30.1,6800,"2155 of 3141"
"Allen Parish",22003,30.3,6403,"2178 of 3141"
"Iberville Parish",22047,31.3,9255,"2292 of 3141"
"Union Parish",22111,31.4,6847,"2299 of 3141"
"Terrebonne Parish",22109,31.4,34908,"2306 of 3141"
"St. Mary Parish",22101,31.5,16218,"2313 of 3141"
"Iberia Parish",22045,32.1,23193,"2370 of 3141"
"Tangipahoa Parish",22105,32.2,40185,"2378 of 3141"
"Jefferson Davis Parish",22053,32.2,9900,"2379 of 3141"
"Rapides Parish",22079,32.8,42118,"2431 of 3141"
"Acadia Parish",22001,33.3,20376,"2484 of 3141"
"St. Bernard Parish",22087,33.6,15008,"2513 of 3141"
"Red River Parish",22081,34.7,2951,"2610 of 3141"
"Caddo Parish",22017,35.3,86917,"2657 of 3141"
"Catahoula Parish",22025,35.7,3218,"2687 of 3141"
"West Carroll Parish",22123,35.8,3818,"2692 of 3141"
"Avoyelles Parish",22009,35.9,13419,"2701 of 3141"
"Orleans Parish",22071,36.0,135297,"2705 of 3141"
"Jackson Parish",22049,36.3,5327,"2734 of 3141"
"De Soto Parish",22031,36.3,9784,"2736 of 3141"
"Ouachita Parish",22073,36.8,54712,"2780 of 3141"
"La Salle Parish",22059,37.1,5005,"2794 of 3141"
"Bienville Parish",22013,37.9,5113,"2840 of 3141"
"Caldwell Parish",22021,38.5,3628,"2863 of 3141"
"Washington Parish",22117,40.0,17809,"2921 of 3141"
"Webster Parish",22119,40.5,15805,"2940 of 3141"
"Winn Parish",22127,40.7,5213,"2949 of 3141"
"St. Landry Parish",22097,40.8,33505,"2951 of 3141"
"Franklin Parish",22041,40.9,7779,"2955 of 3141"
"Richland Parish",22083,41.2,8122,"2961 of 3141"
"Lincoln Parish",22061,41.2,18222,"2964 of 3141"
"St. Helena Parish",22091,42.5,4366,"2994 of 3141"
"Morehouse Parish",22067,42.8,10874,"3005 of 3141"
"Evangeline Parish",22039,42.9,13714,"3009 of 3141"
"Natchitoches Parish",22069,43.4,16569,"3019 of 3141"
"Claiborne Parish",22027,45.6,6503,"3058 of 3141"
"Concordia Parish",22029,45.8,8300,"3060 of 3141"
"Madison Parish",22065,51.4,5062,"3103 of 3141"
"Tensas Parish",22107,61.7,2933,"3136 of 3141"
"East Carroll Parish",22035,63.4,3156,"3138 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
