------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Louisiana by Parish
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Parish, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Louisiana",22000,19.6,887574,"49 of 52"
"Cameron Parish",22023,8.7,590,"309 of 3141"
"St. Tammany Parish",22103,10.8,26554,"671 of 3141"
"Ascension Parish",22005,11.7,13824,"866 of 3141"
"St. Charles Parish",22089,12.2,6337,"951 of 3141"
"West Feliciana Parish",22125,12.5,1504,"1004 of 3141"
"Livingston Parish",22063,13.2,17959,"1166 of 3141"
"St. James Parish",22093,15.6,3316,"1649 of 3141"
"Assumption Parish",22007,15.7,3547,"1674 of 3141"
"LaFourche Parish",22057,16.0,15299,"1745 of 3141"
"Jefferson Parish",22051,16.3,70702,"1790 of 3141"
"Bossier Parish",22015,16.4,20009,"1801 of 3141"
"Allen Parish",22003,16.6,3518,"1864 of 3141"
"Lafayette Parish",22055,16.6,38761,"1866 of 3141"
"Calcasieu Parish",22019,16.8,32789,"1910 of 3141"
"Vernon Parish",22115,16.9,8433,"1918 of 3141"
"Beauregard Parish",22011,17.3,6246,"1997 of 3141"
"Pointe Coupee Parish",22077,17.5,3843,"2043 of 3141"
"St. Martin Parish",22099,17.7,9367,"2077 of 3141"
"St. John the Baptist Parish",22095,17.9,7643,"2117 of 3141"
"Vermilion Parish",22113,17.9,10517,"2118 of 3141"
"West Baton Rouge Parish",22121,17.9,4417,"2125 of 3141"
"East Feliciana Parish",22037,17.9,2928,"2133 of 3141"
"East Baton Rouge Parish",22033,19.1,83483,"2314 of 3141"
"Plaquemines Parish",22075,19.3,4437,"2334 of 3141"
"Iberville Parish",22047,19.3,5708,"2340 of 3141"
"St. Mary Parish",22101,19.5,10046,"2366 of 3141"
"Rapides Parish",22079,19.5,25112,"2370 of 3141"
"Sabine Parish",22085,19.6,4639,"2373 of 3141"
"Jefferson Davis Parish",22053,19.6,6025,"2380 of 3141"
"St. Bernard Parish",22087,19.7,8801,"2391 of 3141"
"Terrebonne Parish",22109,20.1,22272,"2436 of 3141"
"Grant Parish",22043,20.2,3813,"2449 of 3141"
"Iberia Parish",22045,20.4,14695,"2470 of 3141"
"Red River Parish",22081,20.4,1737,"2473 of 3141"
"Acadia Parish",22001,21.5,13196,"2613 of 3141"
"Catahoula Parish",22025,21.8,1964,"2634 of 3141"
"Tangipahoa Parish",22105,21.9,27355,"2645 of 3141"
"West Carroll Parish",22123,22.0,2344,"2650 of 3141"
"Union Parish",22111,22.0,4801,"2653 of 3141"
"Caddo Parish",22017,23.4,57607,"2776 of 3141"
"Avoyelles Parish",22009,23.7,8863,"2789 of 3141"
"Ouachita Parish",22073,24.5,36450,"2839 of 3141"
"La Salle Parish",22059,24.8,3351,"2853 of 3141"
"Webster Parish",22119,24.9,9697,"2854 of 3141"
"Bienville Parish",22013,25.3,3409,"2879 of 3141"
"Orleans Parish",22071,25.4,95346,"2888 of 3141"
"Jackson Parish",22049,25.4,3726,"2891 of 3141"
"Caldwell Parish",22021,26.2,2471,"2923 of 3141"
"Washington Parish",22117,26.3,11679,"2924 of 3141"
"De Soto Parish",22031,26.3,7092,"2929 of 3141"
"Evangeline Parish",22039,26.4,8454,"2936 of 3141"
"St. Helena Parish",22091,26.4,2719,"2939 of 3141"
"Winn Parish",22127,27.3,3498,"2972 of 3141"
"Morehouse Parish",22067,27.6,7022,"2982 of 3141"
"St. Landry Parish",22097,27.9,22942,"2993 of 3141"
"Richland Parish",22083,28.2,5567,"2997 of 3141"
"Franklin Parish",22041,28.8,5481,"3010 of 3141"
"Claiborne Parish",22027,29.9,4263,"3030 of 3141"
"Lincoln Parish",22061,31.2,13771,"3053 of 3141"
"Concordia Parish",22029,31.2,5659,"3054 of 3141"
"Natchitoches Parish",22069,31.9,12179,"3066 of 3141"
"Madison Parish",22065,36.4,3591,"3106 of 3141"
"Tensas Parish",22107,38.0,1808,"3115 of 3141"
"East Carroll Parish",22035,48.2,2398,"3139 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
