------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=45&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for South Carolina by County

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"South Carolina(6,10)",45000,No,7.7 ,7.2, 8.2,201,stable,2.0 ,-3.6, 7.9
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"Sumter County(6,10)",45085,No,11 ,7.4, 15.7,6,stable,-10.4 ,-41.4, 37.0
"Beaufort County(6,10)",45013,No,10.5 ,7.4, 14.4,8,stable,-13.8 ,-38.4, 20.6
"Cherokee County(6,10)",45021,No,10.4 ,5.9, 17.1,3,*,*,*,*
"Horry County(6,10)",45051,No,10 ,7.9, 12.6,17,stable,-8.5 ,-35.3, 29.4
"Pickens County(6,10)",45077,No,9.7 ,6.2, 14.3,5,stable,9.6 ,-30.0, 71.7
"Darlington County(6,10)",45031,No,9 ,5.1, 14.7,3,*,*,*,*
"Laurens County(6,10)",45059,No,8.6 ,4.7, 14.3,3,*,*,*,*
"Orangeburg County(6,10)",45075,No,8.6 ,5.2, 13.3,4,stable,-1.7 ,-15.3, 14.1
"Spartanburg County(6,10)",45083,No,8.3 ,6.3, 10.7,12,stable,-9.1 ,-37.8, 32.8
"Aiken County(6,10)",45003,No,8.3 ,5.8, 11.6,8,stable,20.5 ,-5.1, 53.0
"Florence County(6,10)",45041,No,8.3 ,5.6, 11.8,7,stable,6.5 ,-25.6, 52.4
"Berkeley County(6,10)",45015,No,7.9 ,5.6, 10.8,8,stable,-1.5 ,-36.4, 52.8
"York County(6,10)",45091,No,7.8 ,5.8, 10.3,10,stable,4.7 ,-26.0, 48.2
"Dorchester County(6,10)",45035,No,7.4 ,4.9, 10.7,6,stable,18.9 ,-2.6, 45.2
"Greenville County(6,10)",45045,Yes,6.7 ,5.3, 8.3,17,stable,-2.9 ,-19.7, 17.3
"Lexington County(6,10)",45063,Yes,6.7 ,4.9, 8.9,10,stable,21.9 ,-14.5, 73.9
"Charleston County(6,10)",45019,Yes,6.7 ,5.2, 8.5,14,stable,0.4 ,-22.9, 30.9
"Anderson County(6,10)",45007,Yes,6.5 ,4.4, 9.1,7,stable,25.3 ,-26.7, 114.3
"Richland County(6,10)",45079,Yes,6 ,4.6, 7.8,12,stable,-7.6 ,-20.1, 6.9
"Abbeville County(6,10)",45001,***,* ,*, *,3 or fewer,*,*,*,*
"Allendale County(6,10)",45005,***,* ,*, *,3 or fewer,*,*,*,*
"Bamberg County(6,10)",45009,***,* ,*, *,3 or fewer,*,*,*,*
"Barnwell County(6,10)",45011,***,* ,*, *,3 or fewer,*,*,*,*
"Calhoun County(6,10)",45017,***,* ,*, *,3 or fewer,*,*,*,*
"Chester County(6,10)",45023,***,* ,*, *,3 or fewer,*,*,*,*
"Chesterfield County(6,10)",45025,***,* ,*, *,3 or fewer,*,*,*,*
"Clarendon County(6,10)",45027,***,* ,*, *,3 or fewer,*,*,*,*
"Colleton County(6,10)",45029,***,* ,*, *,3 or fewer,*,*,*,*
"Dillon County(6,10)",45033,***,* ,*, *,3 or fewer,*,*,*,*
"Edgefield County(6,10)",45037,***,* ,*, *,3 or fewer,*,*,*,*
"Fairfield County(6,10)",45039,***,* ,*, *,3 or fewer,*,*,*,*
"Georgetown County(6,10)",45043,***,* ,*, *,3 or fewer,*,*,*,*
"Greenwood County(6,10)",45047,***,* ,*, *,3 or fewer,*,*,*,*
"Hampton County(6,10)",45049,***,* ,*, *,3 or fewer,*,*,*,*
"Jasper County(6,10)",45053,***,* ,*, *,3 or fewer,*,*,*,*
"Kershaw County(6,10)",45055,***,* ,*, *,3 or fewer,*,*,*,*
"Lancaster County(6,10)",45057,***,* ,*, *,3 or fewer,*,*,*,*
"Lee County(6,10)",45061,***,* ,*, *,3 or fewer,*,*,*,*
"Marion County(6,10)",45067,***,* ,*, *,3 or fewer,*,*,*,*
"Marlboro County(6,10)",45069,***,* ,*, *,3 or fewer,*,*,*,*
"McCormick County(6,10)",45065,***,* ,*, *,3 or fewer,*,*,*,*
"Newberry County(6,10)",45071,***,* ,*, *,3 or fewer,*,*,*,*
"Oconee County(6,10)",45073,***,* ,*, *,3 or fewer,*,*,*,*
"Saluda County(6,10)",45081,***,* ,*, *,3 or fewer,*,*,*,*
"Union County(6,10)",45087,***,* ,*, *,3 or fewer,*,*,*,*
