------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Kansas",20000,11.5,334860,"18 of 52"
"United States",00000,17.6,56510571,"N/A"
"Anderson County",20003,0.7,58,"3011 of 3141"
"Woodson County",20207,0.8,26,"2992 of 3141"
"Trego County",20195,1.2,36,"2844 of 3141"
"Republic County",20157,1.6,76,"2599 of 3141"
"Nemaha County",20131,1.8,177,"2522 of 3141"
"Smith County",20183,1.9,70,"2437 of 3141"
"Osborne County",20141,2.0,73,"2395 of 3141"
"Mitchell County",20123,2.2,139,"2249 of 3141"
"Marshall County",20117,2.4,232,"2184 of 3141"
"Cherokee County",20021,2.4,492,"2163 of 3141"
"Clay County",20027,2.4,199,"2150 of 3141"
"Jewell County",20089,2.4,72,"2147 of 3141"
"Bourbon County",20011,2.5,366,"2129 of 3141"
"Jefferson County",20087,2.5,470,"2122 of 3141"
"Rooks County",20163,2.5,129,"2116 of 3141"
"Coffey County",20031,2.5,211,"2101 of 3141"
"Linn County",20107,2.6,247,"2079 of 3141"
"Decatur County",20039,2.6,75,"2070 of 3141"
"Gove County",20063,2.7,70,"2046 of 3141"
"Doniphan County",20043,2.7,213,"2002 of 3141"
"Ottawa County",20143,2.7,163,"2000 of 3141"
"Russell County",20167,2.8,193,"1988 of 3141"
"Wilson County",20205,2.9,256,"1922 of 3141"
