------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Kansas",20000,29.7,861895,"32 of 52"
"United States",00000,29.8,95565066,"N/A"
"Elk County",20049,17.3,446,"45 of 3141"
"Graham County",20065,18.5,473,"94 of 3141"
"Jewell County",20089,18.7,554,"106 of 3141"
"Smith County",20183,19.0,702,"120 of 3141"
"Republic County",20157,19.2,904,"130 of 3141"
"Edwards County",20047,19.2,567,"131 of 3141"
"Decatur County",20039,19.4,561,"146 of 3141"
"Sheridan County",20179,19.5,488,"155 of 3141"
"Trego County",20195,20.1,584,"196 of 3141"
"Comanche County",20033,20.2,351,"198 of 3141"
"Rush County",20165,20.4,635,"220 of 3141"
"Ness County",20135,20.5,616,"232 of 3141"
"Clark County",20025,20.5,429,"236 of 3141"
"Cheyenne County",20023,20.7,554,"251 of 3141"
"Woodson County",20207,20.7,658,"252 of 3141"
"Wabaunsee County",20197,20.8,1436,"259 of 3141"
"Wichita County",20203,20.8,449,"263 of 3141"
"Gove County",20063,20.8,548,"264 of 3141"
"Washington County",20201,20.9,1162,"272 of 3141"
"Greenwood County",20073,20.9,1300,"277 of 3141"
"Hodgeman County",20083,20.9,392,"283 of 3141"
"Chase County",20017,21.4,570,"341 of 3141"
"Lincoln County",20105,21.7,677,"383 of 3141"
"Kingman County",20095,21.8,1653,"402 of 3141"
"Stanton County",20187,21.8,460,"407 of 3141"
"Morris County",20127,21.9,1227,"419 of 3141"
"Marshall County",20117,21.9,2159,"421 of 3141"
"Osborne County",20141,21.9,807,"422 of 3141"
"Chautauqua County",20019,22.0,752,"429 of 3141"
"Jefferson County",20087,22.0,4146,"435 of 3141"
"Linn County",20107,22.0,2114,"442 of 3141"
"Wallace County",20199,22.1,351,"450 of 3141"
"Stafford County",20185,22.2,943,"475 of 3141"
"Ottawa County",20143,22.2,1322,"478 of 3141"
"Brown County",20013,22.3,2170,"499 of 3141"
"Anderson County",20003,22.3,1749,"506 of 3141"
"Clay County",20027,22.3,1831,"510 of 3141"
"Wilson County",20205,22.5,1994,"556 of 3141"
"Rawlins County",20153,22.5,568,"565 of 3141"
"Phillips County",20147,22.6,1233,"588 of 3141"
"Jackson County",20085,22.7,3025,"603 of 3141"
"Greeley County",20071,22.7,275,"610 of 3141"
"Miami County",20121,22.8,7534,"643 of 3141"
"Marion County",20115,23.0,2785,"706 of 3141"
"Harper County",20077,23.2,1332,"742 of 3141"
"Nemaha County",20131,23.2,2347,"761 of 3141"
"Russell County",20167,23.4,1638,"802 of 3141"
"Coffey County",20031,23.5,1955,"813 of 3141"
"Osage County",20139,23.6,3748,"848 of 3141"
"Barber County",20007,23.9,1171,"932 of 3141"
"Cherokee County",20021,24.0,4922,"977 of 3141"
"Lane County",20101,24.1,410,"1006 of 3141"
"Sumner County",20191,24.4,5689,"1079 of 3141"
"Rooks County",20163,24.6,1265,"1137 of 3141"
"Mitchell County",20123,24.9,1549,"1257 of 3141"
"Allen County",20001,24.9,3172,"1262 of 3141"
"Dickinson County",20041,24.9,4767,"1264 of 3141"
"Scott County",20171,24.9,1240,"1275 of 3141"
"Labette County",20099,25.0,5132,"1306 of 3141"
"Meade County",20119,25.1,1080,"1365 of 3141"
"Stevens County",20189,25.2,1448,"1389 of 3141"
"Bourbon County",20011,25.3,3738,"1424 of 3141"
"Franklin County",20059,25.4,6510,"1461 of 3141"
"Kearny County",20093,25.5,1001,"1478 of 3141"
"Neosho County",20133,25.5,4136,"1501 of 3141"
"McPherson County",20113,25.6,7367,"1519 of 3141"
"Logan County",20109,25.9,723,"1628 of 3141"
"Cloud County",20029,26.0,2386,"1647 of 3141"
"Barton County",20009,26.1,7071,"1691 of 3141"
"Montgomery County",20125,26.1,8743,"1692 of 3141"
"Butler County",20015,26.2,17349,"1711 of 3141"
"Harvey County",20079,26.3,9113,"1742 of 3141"
"Pottawatomie County",20149,26.3,6098,"1747 of 3141"
"Pratt County",20151,26.4,2554,"1775 of 3141"
"Morton County",20129,26.5,777,"1816 of 3141"
"Haskell County",20081,26.6,1084,"1833 of 3141"
"Pawnee County",20145,26.8,1813,"1898 of 3141"
"Gray County",20069,26.8,1612,"1922 of 3141"
"Norton County",20137,26.9,1485,"1925 of 3141"
"Reno County",20155,26.9,17075,"1954 of 3141"
"Shawnee County",20177,27.0,48216,"1979 of 3141"
"Kiowa County",20097,27.3,690,"2071 of 3141"
"Cowley County",20035,27.6,9870,"2137 of 3141"
"Ellsworth County",20053,27.7,1753,"2157 of 3141"
"Sherman County",20181,28.1,1683,"2234 of 3141"
"Rice County",20159,28.2,2786,"2276 of 3141"
"Grant County",20067,28.4,2189,"2309 of 3141"
"Saline County",20169,28.5,15781,"2349 of 3141"
"Hamilton County",20075,28.6,749,"2363 of 3141"
