------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Kansas",20000,0.6,16396,"33 of 51"
"United States",00000,0.7,2074097,"N/A"
"Allen County",20001,0.0,0,"1 of 3140"
"Chautauqua County",20019,0.0,0,"1 of 3140"
"Cheyenne County",20023,0.0,0,"1 of 3140"
"Comanche County",20033,0.0,0,"1 of 3140"
"Decatur County",20039,0.0,0,"1 of 3140"
"Edwards County",20047,0.0,0,"1 of 3140"
"Elk County",20049,0.0,0,"1 of 3140"
"Graham County",20065,0.0,0,"1 of 3140"
"Haskell County",20081,0.0,0,"1 of 3140"
"Kingman County",20095,0.0,0,"1 of 3140"
"Lane County",20101,0.0,0,"1 of 3140"
"Logan County",20109,0.0,0,"1 of 3140"
"Morton County",20129,0.0,0,"1 of 3140"
"Norton County",20137,0.0,0,"1 of 3140"
"Republic County",20157,0.0,0,"1 of 3140"
"Scott County",20171,0.0,0,"1 of 3140"
"Sherman County",20181,0.0,0,"1 of 3140"
"Smith County",20183,0.0,0,"1 of 3140"
"Stafford County",20185,0.0,0,"1 of 3140"
"Wichita County",20203,0.0,0,"1 of 3140"
"Wilson County",20205,0.0,0,"1 of 3140"
"Woodson County",20207,0.0,0,"1 of 3140"
"Jefferson County",20087,0.0,2,"377 of 3140"
"Osage County",20139,0.0,2,"382 of 3140"
"Russell County",20167,0.0,1,"389 of 3140"
"Barber County",20007,0.0,1,"420 of 3140"
"Linn County",20107,0.0,3,"472 of 3140"
"Greenwood County",20073,0.0,2,"477 of 3140"
"Ness County",20135,0.0,1,"487 of 3140"
"Cherokee County",20021,0.0,8,"518 of 3140"
"Bourbon County",20011,0.0,6,"534 of 3140"
"Pawnee County",20145,0.0,3,"549 of 3140"
"Phillips County",20147,0.1,3,"608 of 3140"
"Brown County",20013,0.1,6,"649 of 3140"
"Harper County",20077,0.1,4,"715 of 3140"
"Osborne County",20141,0.1,3,"810 of 3140"
"Sumner County",20191,0.1,21,"869 of 3140"
"Stevens County",20189,0.1,6,"953 of 3140"
"Washington County",20201,0.1,6,"979 of 3140"
"Chase County",20017,0.1,3,"1013 of 3140"
"Doniphan County",20043,0.1,9,"1051 of 3140"
"Miami County",20121,0.1,39,"1074 of 3140"
"Rice County",20159,0.1,12,"1094 of 3140"
"Wallace County",20199,0.1,2,"1130 of 3140"
"Mitchell County",20123,0.1,8,"1144 of 3140"
"Nemaha County",20131,0.1,13,"1150 of 3140"
"Labette County",20099,0.1,27,"1168 of 3140"
"Jackson County",20085,0.1,19,"1230 of 3140"
"Gray County",20069,0.2,9,"1273 of 3140"
"Ellsworth County",20053,0.2,10,"1318 of 3140"
"Wabaunsee County",20197,0.2,11,"1333 of 3140"
"Franklin County",20059,0.2,41,"1342 of 3140"
"Neosho County",20133,0.2,26,"1352 of 3140"
"Pottawatomie County",20149,0.2,38,"1371 of 3140"
"Coffey County",20031,0.2,14,"1396 of 3140"
"Atchison County",20005,0.2,28,"1413 of 3140"
"Trego County",20195,0.2,5,"1414 of 3140"
"Rush County",20165,0.2,6,"1542 of 3140"
"Jewell County",20089,0.2,6,"1605 of 3140"
"Rooks County",20163,0.2,11,"1656 of 3140"
"Butler County",20015,0.2,146,"1690 of 3140"
"Lincoln County",20105,0.2,7,"1704 of 3140"
"Marshall County",20117,0.2,23,"1747 of 3140"
"Dickinson County",20041,0.2,45,"1754 of 3140"
"Clark County",20025,0.2,5,"1780 of 3140"
"Montgomery County",20125,0.3,83,"1822 of 3140"
"Ottawa County",20143,0.3,15,"1825 of 3140"
"Cloud County",20029,0.3,24,"1885 of 3140"
"Reno County",20155,0.3,172,"1913 of 3140"
"Kiowa County",20097,0.3,7,"1932 of 3140"
"McPherson County",20113,0.3,84,"1995 of 3140"
"Saline County",20169,0.3,168,"2046 of 3140"
"Shawnee County",20177,0.3,611,"2168 of 3140"
"Anderson County",20003,0.3,27,"2176 of 3140"
"Marion County",20115,0.4,43,"2212 of 3140"
"Hamilton County",20075,0.4,10,"2283 of 3140"
"Grant County",20067,0.4,30,"2291 of 3140"
"Meade County",20119,0.4,17,"2322 of 3140"
"Rawlins County",20153,0.4,11,"2400 of 3140"
"Clay County",20027,0.5,39,"2472 of 3140"
"Finney County",20055,0.5,179,"2485 of 3140"
"Sedgwick County",20173,0.5,2471,"2488 of 3140"
"Gove County",20063,0.5,13,"2505 of 3140"
"Pratt County",20151,0.5,49,"2527 of 3140"
"Thomas County",20193,0.5,40,"2529 of 3140"
"Johnson County",20091,0.5,2946,"2530 of 3140"
"Lyon County",20111,0.5,171,"2544 of 3140"
"Wyandotte County",20209,0.5,843,"2554 of 3140"
"Harvey County",20079,0.5,187,"2591 of 3140"
"Ellis County",20051,0.6,168,"2647 of 3140"
"Barton County",20009,0.6,166,"2689 of 3140"
"Leavenworth County",20103,0.7,540,"2766 of 3140"
"Hodgeman County",20083,0.7,13,"2774 of 3140"
"Morris County",20127,0.7,39,"2781 of 3140"
"Seward County",20175,0.9,196,"2902 of 3140"
"Ford County",20057,1.2,411,"3012 of 3140"
"Sheridan County",20179,1.3,31,"3024 of 3140"
"Greeley County",20071,1.3,16,"3041 of 3140"
"Crawford County",20037,1.4,521,"3046 of 3140"
"Douglas County",20045,1.5,1725,"3058 of 3140"
"Cowley County",20035,1.6,567,"3069 of 3140"
"Kearny County",20093,2.2,86,"3107 of 3140"
"Stanton County",20187,2.4,49,"3113 of 3140"
"Riley County",20161,2.5,1830,"3115 of 3140"
"Geary County",20061,3.3,1157,"3128 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
