------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Kansas",20000,2.1,23645,"29 of 52"
"United States",00000,3.3,3975282,"N/A"
"Comanche County",20033,0.0,0,"3097 of 3141"
"Graham County",20065,0.0,0,"3097 of 3141"
"Morton County",20129,0.0,0,"3097 of 3141"
"Trego County",20195,0.0,0,"3097 of 3141"
"Wallace County",20199,0.0,0,"3097 of 3141"
"McPherson County",20113,0.2,26,"3076 of 3141"
"Cheyenne County",20023,0.2,3,"3071 of 3141"
"Smith County",20183,0.2,4,"3070 of 3141"
"Jewell County",20089,0.3,4,"3060 of 3141"
"Rawlins County",20153,0.3,4,"3046 of 3141"
"Sheridan County",20179,0.3,4,"3043 of 3141"
"Decatur County",20039,0.4,6,"3025 of 3141"
"Morris County",20127,0.5,11,"3008 of 3141"
"Pawnee County",20145,0.5,13,"2992 of 3141"
"Miami County",20121,0.6,74,"2955 of 3141"
"Russell County",20167,0.6,20,"2924 of 3141"
"Thomas County",20193,0.6,21,"2919 of 3141"
"Clay County",20027,0.7,23,"2904 of 3141"
"Elk County",20049,0.7,8,"2895 of 3141"
"Cloud County",20029,0.7,28,"2875 of 3141"
"Harper County",20077,0.7,17,"2872 of 3141"
"Kearny County",20093,0.7,9,"2869 of 3141"
"Lane County",20101,0.7,6,"2869 of 3141"
"Ellis County",20051,0.8,95,"2801 of 3141"
"Harvey County",20079,0.8,110,"2797 of 3141"
"Anderson County",20003,0.8,27,"2781 of 3141"
"Washington County",20201,0.9,20,"2765 of 3141"
"Kingman County",20095,0.9,27,"2762 of 3141"
"Hodgeman County",20083,0.9,7,"2720 of 3141"
"Rush County",20165,0.9,13,"2702 of 3141"
"Jefferson County",20087,0.9,70,"2695 of 3141"
"Osborne County",20141,0.9,16,"2678 of 3141"
"Allen County",20001,1.1,57,"2539 of 3141"
"Kiowa County",20097,1.1,11,"2517 of 3141"
"Chase County",20017,1.1,12,"2516 of 3141"
"Ottawa County",20143,1.1,27,"2499 of 3141"
"Saline County",20169,1.1,251,"2470 of 3141"
"Republic County",20157,1.1,26,"2468 of 3141"
"Sherman County",20181,1.1,31,"2459 of 3141"
"Atchison County",20005,1.1,68,"2454 of 3141"
"Nemaha County",20131,1.1,47,"2453 of 3141"
"Cherokee County",20021,1.1,91,"2450 of 3141"
"Sumner County",20191,1.2,109,"2394 of 3141"
"Norton County",20137,1.2,23,"2370 of 3141"
"Barber County",20007,1.2,24,"2358 of 3141"
"Leavenworth County",20103,1.3,346,"2305 of 3141"
"Ellsworth County",20053,1.3,32,"2285 of 3141"
"Woodson County",20207,1.3,20,"2237 of 3141"
"Edwards County",20047,1.3,17,"2211 of 3141"
"Gove County",20063,1.3,16,"2203 of 3141"
"Ness County",20135,1.4,18,"2192 of 3141"
"Johnson County",20091,1.4,3055,"2186 of 3141"
