------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Kansas",20000,33.9,984033,"39 of 52"
"United States",00000,34.5,110609456,"N/A"
"Geary County",20061,16.8,6028,"3139 of 3141"
"Riley County",20161,19.3,14641,"3136 of 3141"
"Seward County",20175,24.6,5645,"3106 of 3141"
"Douglas County",20045,25.8,30372,"3080 of 3141"
"Ford County",20057,26.9,9323,"3049 of 3141"
"Finney County",20055,27.0,10019,"3047 of 3141"
"Grant County",20067,27.8,2146,"3000 of 3141"
"Wyandotte County",20209,29.5,48116,"2913 of 3141"
"Stevens County",20189,30.9,1775,"2812 of 3141"
"Kearny County",20093,31.1,1222,"2801 of 3141"
"Ellis County",20051,31.6,9128,"2760 of 3141"
"Hamilton County",20075,31.7,830,"2757 of 3141"
"Pottawatomie County",20149,31.9,7395,"2738 of 3141"
"Crawford County",20037,32.0,12501,"2729 of 3141"
"Sedgwick County",20173,32.1,164044,"2709 of 3141"
"Lyon County",20111,32.2,10709,"2704 of 3141"
"Johnson County",20091,32.6,188407,"2667 of 3141"
"Haskell County",20081,32.7,1333,"2656 of 3141"
"Leavenworth County",20103,32.8,26029,"2640 of 3141"
"Gray County",20069,33.1,1990,"2605 of 3141"
"Butler County",20015,34.7,22985,"2408 of 3141"
"Atchison County",20005,35.4,5826,"2296 of 3141"
"Thomas County",20193,35.9,2818,"2209 of 3141"
"Cowley County",20035,36.5,13037,"2121 of 3141"
"Saline County",20169,36.5,20209,"2116 of 3141"
"Meade County",20119,36.7,1576,"2090 of 3141"
"Scott County",20171,36.7,1829,"2079 of 3141"
"Shawnee County",20177,37.1,66210,"1987 of 3141"
"Harvey County",20079,37.7,13071,"1854 of 3141"
"Franklin County",20059,37.7,9649,"1853 of 3141"
"Bourbon County",20011,38.6,5698,"1666 of 3141"
"Miami County",20121,38.6,12742,"1659 of 3141"
"Doniphan County",20043,38.7,3012,"1652 of 3141"
